Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,24462,21337,17334,19022
"Revenue 24462 21337 17334 19022  Other Revenue, Total - - - -","Revenue 24462 21337 17334 19022  Other Revenue, Total - - - -","Revenue 24462 21337 17334 19022  Other Revenue, Total - - - -","Revenue 24462 21337 17334 19022  Other Revenue, Total - - - -","Revenue 24462 21337 17334 19022  Other Revenue, Total - - - -"
Revenue,24462,21337,17334,19022
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",20519,17977,14365,15855
Gross Profit,3943,3360,2969,3167
Total Operating Expenses,23790,20893,17249,18996
"Selling/General/Admin. Expenses, Total 3271 2880 2870 3087  Research & Development - - - -  Depreciation / Amortization 947 - - -  Interest Expense (Income) - Net Operating -197 - - -  Unusual Expense (Income) - 34 13 53  Other Operating Expenses, Total -834 2 1 1","Selling/General/Admin. Expenses, Total 3271 2880 2870 3087  Research & Development - - - -  Depreciation / Amortization 947 - - -  Interest Expense (Income) - Net Operating -197 - - -  Unusual Expense (Income) - 34 13 53  Other Operating Expenses, Total -834 2 1 1","Selling/General/Admin. Expenses, Total 3271 2880 2870 3087  Research & Development - - - -  Depreciation / Amortization 947 - - -  Interest Expense (Income) - Net Operating -197 - - -  Unusual Expense (Income) - 34 13 53  Other Operating Expenses, Total -834 2 1 1","Selling/General/Admin. Expenses, Total 3271 2880 2870 3087  Research & Development - - - -  Depreciation / Amortization 947 - - -  Interest Expense (Income) - Net Operating -197 - - -  Unusual Expense (Income) - 34 13 53  Other Operating Expenses, Total -834 2 1 1","Selling/General/Admin. Expenses, Total 3271 2880 2870 3087  Research & Development - - - -  Depreciation / Amortization 947 - - -  Interest Expense (Income) - Net Operating -197 - - -  Unusual Expense (Income) - 34 13 53  Other Operating Expenses, Total -834 2 1 1"
"Selling/General/Admin. Expenses, Total",3271,2880,2870,3087
Research & Development,-,-,-,-
Depreciation / Amortization,947,-,-,-
Interest Expense (Income) - Net Operating,-197,-,-,-
Unusual Expense (Income),-,34,13,53
"Other Operating Expenses, Total",-834,2,1,1
Operating Income,672,444,85,26
"Interest Income (Expense), Net Non-Operating",-,-70,-41,70
Gain (Loss) on Sale of Assets,-255,-9,-9,14
"Other, Net",1161,111,134,30
Net Income Before Taxes,-,476,169,140
Provision for Income Taxes,256,204,327,138
Net Income After Taxes,-490,272,-158,2
Minority Interest,213,16,22,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,-485,288,-136,2
Total Extraordinary Items,-,-,-,-
Net Income,-485,288,-136,2
Total Adjustments to Net Income,-,1,1,-1
Income Available to Common Excluding Extraordinary Items,-485,289,-135,1
Dilution Adjustment,-,-,-,-
Diluted Net Income,-485,289,-135,1
Diluted Weighted Average Shares,14.37,14.33,14.33,14.33
Diluted EPS Excluding Extraordinary Items,-33.75,20.17,-9.42,0.07
DPS - Common Stock Primary Issue,-,5,-,4
Diluted Normalized EPS,27.31,21.88,-8.42,2.47
