Period Ending:,202331/03,202231/03,202128/02,202029/02
Total Revenue,4983,5344,4509,5583.32
"Revenue 4983 5344 4509 5583.32  Other Revenue, Total - - - -","Revenue 4983 5344 4509 5583.32  Other Revenue, Total - - - -","Revenue 4983 5344 4509 5583.32  Other Revenue, Total - - - -","Revenue 4983 5344 4509 5583.32  Other Revenue, Total - - - -","Revenue 4983 5344 4509 5583.32  Other Revenue, Total - - - -"
Revenue,4983,5344,4509,5583.32
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",3174,3438,2759,3551.74
Gross Profit,1809,1906,1750,2031.58
Total Operating Expenses,-,5158,4344,5336.08
"Selling/General/Admin. Expenses, Total 1625 1720 1585 1784.34  Research & Development - - - -  Depreciation / Amortization 66 73 64 -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 7.57 -1.19 -  Other Operating Expenses, Total -66 -140.38 -64 -","Selling/General/Admin. Expenses, Total 1625 1720 1585 1784.34  Research & Development - - - -  Depreciation / Amortization 66 73 64 -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 7.57 -1.19 -  Other Operating Expenses, Total -66 -140.38 -64 -","Selling/General/Admin. Expenses, Total 1625 1720 1585 1784.34  Research & Development - - - -  Depreciation / Amortization 66 73 64 -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 7.57 -1.19 -  Other Operating Expenses, Total -66 -140.38 -64 -","Selling/General/Admin. Expenses, Total 1625 1720 1585 1784.34  Research & Development - - - -  Depreciation / Amortization 66 73 64 -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 7.57 -1.19 -  Other Operating Expenses, Total -66 -140.38 -64 -","Selling/General/Admin. Expenses, Total 1625 1720 1585 1784.34  Research & Development - - - -  Depreciation / Amortization 66 73 64 -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 7.57 -1.19 -  Other Operating Expenses, Total -66 -140.38 -64 -"
"Selling/General/Admin. Expenses, Total",1625,1720,1585,1784.34
Research & Development,-,-,-,-
Depreciation / Amortization,66,73,64,-
Interest Expense (Income) - Net Operating,-,-,-,-
Unusual Expense (Income),-,7.57,-1.19,-
"Other Operating Expenses, Total",-66,-140.38,-64,-
Operating Income,184,186,165,247.24
"Interest Income (Expense), Net Non-Operating",-,-0.47,-0.39,-0.62
Gain (Loss) on Sale of Assets,16,-,-,-
"Other, Net",-15,3.85,-28,8.91
Net Income Before Taxes,183,184,193,255.53
Provision for Income Taxes,60,69,61,82.55
Net Income After Taxes,123,115,132,172.99
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,123,115,132,172.99
Total Extraordinary Items,-,-,-,-
Net Income,123,115,132,172.99
Total Adjustments to Net Income,-,-,-,-0
Income Available to Common Excluding Extraordinary Items,123,115,132,172.98
Dilution Adjustment,-0.122,-0.76,-0.154,-
Diluted Net Income,123.12,115.4,132.15,172.98
Diluted Weighted Average Shares,1.2,1.2,1.2,1.2
Diluted EPS Excluding Extraordinary Items,102.71,96.06,110.29,144.44
DPS - Common Stock Primary Issue,55,55,55,50
Diluted Normalized EPS,99.68,92.03,99.71,144.44
