Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,34656,37452,39918.98,36861.43
"Revenue 34656 37452 39918.98 36861.43  Other Revenue, Total - - - -","Revenue 34656 37452 39918.98 36861.43  Other Revenue, Total - - - -","Revenue 34656 37452 39918.98 36861.43  Other Revenue, Total - - - -","Revenue 34656 37452 39918.98 36861.43  Other Revenue, Total - - - -","Revenue 34656 37452 39918.98 36861.43  Other Revenue, Total - - - -"
Revenue,34656,37452,39918.98,36861.43
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",31892,32894.48,35204.36,33532.61
Gross Profit,2764,4558,4714.62,3328.82
Total Operating Expenses,34036,35004.87,37399.17,35435.73
"Selling/General/Admin. Expenses, Total 2088 2010 1922.37 1800.83  Research & Development - 58 39.7 42.35  Depreciation / Amortization 568 560 57.74 52.03  Interest Expense (Income) - Net Operating -6 -10 - -  Unusual Expense (Income) - 42.27 175 7.91  Other Operating Expenses, Total -506 -551 - -","Selling/General/Admin. Expenses, Total 2088 2010 1922.37 1800.83  Research & Development - 58 39.7 42.35  Depreciation / Amortization 568 560 57.74 52.03  Interest Expense (Income) - Net Operating -6 -10 - -  Unusual Expense (Income) - 42.27 175 7.91  Other Operating Expenses, Total -506 -551 - -","Selling/General/Admin. Expenses, Total 2088 2010 1922.37 1800.83  Research & Development - 58 39.7 42.35  Depreciation / Amortization 568 560 57.74 52.03  Interest Expense (Income) - Net Operating -6 -10 - -  Unusual Expense (Income) - 42.27 175 7.91  Other Operating Expenses, Total -506 -551 - -","Selling/General/Admin. Expenses, Total 2088 2010 1922.37 1800.83  Research & Development - 58 39.7 42.35  Depreciation / Amortization 568 560 57.74 52.03  Interest Expense (Income) - Net Operating -6 -10 - -  Unusual Expense (Income) - 42.27 175 7.91  Other Operating Expenses, Total -506 -551 - -","Selling/General/Admin. Expenses, Total 2088 2010 1922.37 1800.83  Research & Development - 58 39.7 42.35  Depreciation / Amortization 568 560 57.74 52.03  Interest Expense (Income) - Net Operating -6 -10 - -  Unusual Expense (Income) - 42.27 175 7.91  Other Operating Expenses, Total -506 -551 - -"
"Selling/General/Admin. Expenses, Total",2088,2010,1922.37,1800.83
Research & Development,-,58,39.7,42.35
Depreciation / Amortization,568,560,57.74,52.03
Interest Expense (Income) - Net Operating,-6,-10,-,-
Unusual Expense (Income),-,42.27,175,7.91
"Other Operating Expenses, Total",-506,-551,-,-
Operating Income,620,2491,2519.81,1425.7
"Interest Income (Expense), Net Non-Operating",-,59.15,186.94,120.35
Gain (Loss) on Sale of Assets,27,6,-,3.66
"Other, Net",-136,-47,23.47,12.25
Net Income Before Taxes,729,2532,2730.21,1561.96
Provision for Income Taxes,281,801,879.23,506.08
Net Income After Taxes,448,1731.38,1850.98,1055.88
Minority Interest,78,76,-6.46,-11.32
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,446,1728,1844.52,1044.56
Total Extraordinary Items,-,-,-,-
Net Income,446,1728,1844.52,1044.56
Total Adjustments to Net Income,-,-,-0,-0
Income Available to Common Excluding Extraordinary Items,446,1728,1844.51,1044.56
Dilution Adjustment,-,-,-,-
Diluted Net Income,446,1728.34,1844.51,1044.56
Diluted Weighted Average Shares,3.05,2.91,3.12,3.19
Diluted EPS Excluding Extraordinary Items,146.47,594.22,590.81,327.45
DPS - Common Stock Primary Issue,100,120,100,60
Diluted Normalized EPS,144.66,550.89,628.81,328.35
