Period Ending:,202130/09,202030/09,201930/09,Unnamed: 4
Total Revenue,6118.21,4726.53,3439.37,-
"Revenue 6118.21 4726.53 3439.37 -  Other Revenue, Total - - - -","Revenue 6118.21 4726.53 3439.37 -  Other Revenue, Total - - - -","Revenue 6118.21 4726.53 3439.37 -  Other Revenue, Total - - - -","Revenue 6118.21 4726.53 3439.37 -  Other Revenue, Total - - - -","Revenue 6118.21 4726.53 3439.37 -  Other Revenue, Total - - - -"
Revenue,6118.21,4726.53,3439.37,-
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",1767.8,1341.11,987.72,-
Gross Profit,4350.41,3385.41,2451.65,-
Total Operating Expenses,-,3295.95,2465.77,-
"Selling/General/Admin. Expenses, Total 2243.43 1954.84 1360.4 -  Research & Development - 96.99 100.43 -  Depreciation / Amortization 24.65 17.7 - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - - 17.22 -  Other Operating Expenses, Total -24.65 -17.7 - -","Selling/General/Admin. Expenses, Total 2243.43 1954.84 1360.4 -  Research & Development - 96.99 100.43 -  Depreciation / Amortization 24.65 17.7 - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - - 17.22 -  Other Operating Expenses, Total -24.65 -17.7 - -","Selling/General/Admin. Expenses, Total 2243.43 1954.84 1360.4 -  Research & Development - 96.99 100.43 -  Depreciation / Amortization 24.65 17.7 - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - - 17.22 -  Other Operating Expenses, Total -24.65 -17.7 - -","Selling/General/Admin. Expenses, Total 2243.43 1954.84 1360.4 -  Research & Development - 96.99 100.43 -  Depreciation / Amortization 24.65 17.7 - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - - 17.22 -  Other Operating Expenses, Total -24.65 -17.7 - -","Selling/General/Admin. Expenses, Total 2243.43 1954.84 1360.4 -  Research & Development - 96.99 100.43 -  Depreciation / Amortization 24.65 17.7 - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - - 17.22 -  Other Operating Expenses, Total -24.65 -17.7 - -"
"Selling/General/Admin. Expenses, Total",2243.43,1954.84,1360.4,-
Research & Development,-,96.99,100.43,-
Depreciation / Amortization,24.65,17.7,-,-
Interest Expense (Income) - Net Operating,-,-,-,-
Unusual Expense (Income),-,-,17.22,-
"Other Operating Expenses, Total",-24.65,-17.7,-,-
Operating Income,2106.98,1430.57,973.6,-
"Interest Income (Expense), Net Non-Operating",3.17,8.98,-0.23,-
Gain (Loss) on Sale of Assets,-,5.87,-,-
"Other, Net",15.62,-20.53,5.21,-
Net Income Before Taxes,2091.36,1445.23,978.58,-
Provision for Income Taxes,-,418.85,340.46,-
Net Income After Taxes,1428.82,1026.39,638.12,-
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,-,1026.39,638.12,-
Total Extraordinary Items,-,-,-,-
Net Income,1428.82,1026.39,638.12,-
Total Adjustments to Net Income,-,-,-0,-
Income Available to Common Excluding Extraordinary Items,-,1026.39,638.12,-
Dilution Adjustment,-,-,-,-
Diluted Net Income,1428.82,1026.39,638.12,-
Diluted Weighted Average Shares,42.66,40,40.05,-
Diluted EPS Excluding Extraordinary Items,-,25.66,15.93,-
DPS - Common Stock Primary Issue,7.2,5.13,-,-
Diluted Normalized EPS,30.64,22.49,16.21,-
