Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,764702,739260,608331,492617
"Revenue 764702 739260 608331 492617  Other Revenue, Total - - - -","Revenue 764702 739260 608331 492617  Other Revenue, Total - - - -","Revenue 764702 739260 608331 492617  Other Revenue, Total - - - -","Revenue 764702 739260 608331 492617  Other Revenue, Total - - - -","Revenue 764702 739260 608331 492617  Other Revenue, Total - - - -"
Revenue,764702,739260,608331,492617
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",575954,510942,405282,323776
Gross Profit,188748,228318,203049,168841
Total Operating Expenses,736456,647532,519481,428730
"Selling/General/Admin. Expenses, Total 160502 136590 114444 104672  Research & Development 14903 14781 - -  Depreciation / Amortization 25889 21002 - -  Interest Expense (Income) - Net Operating -7675 -679 - -  Unusual Expense (Income) - - -245 282  Other Operating Expenses, Total -33117 -35104 - -","Selling/General/Admin. Expenses, Total 160502 136590 114444 104672  Research & Development 14903 14781 - -  Depreciation / Amortization 25889 21002 - -  Interest Expense (Income) - Net Operating -7675 -679 - -  Unusual Expense (Income) - - -245 282  Other Operating Expenses, Total -33117 -35104 - -","Selling/General/Admin. Expenses, Total 160502 136590 114444 104672  Research & Development 14903 14781 - -  Depreciation / Amortization 25889 21002 - -  Interest Expense (Income) - Net Operating -7675 -679 - -  Unusual Expense (Income) - - -245 282  Other Operating Expenses, Total -33117 -35104 - -","Selling/General/Admin. Expenses, Total 160502 136590 114444 104672  Research & Development 14903 14781 - -  Depreciation / Amortization 25889 21002 - -  Interest Expense (Income) - Net Operating -7675 -679 - -  Unusual Expense (Income) - - -245 282  Other Operating Expenses, Total -33117 -35104 - -","Selling/General/Admin. Expenses, Total 160502 136590 114444 104672  Research & Development 14903 14781 - -  Depreciation / Amortization 25889 21002 - -  Interest Expense (Income) - Net Operating -7675 -679 - -  Unusual Expense (Income) - - -245 282  Other Operating Expenses, Total -33117 -35104 - -"
"Selling/General/Admin. Expenses, Total",160502,136590,114444,104672
Research & Development,14903,14781,-,-
Depreciation / Amortization,25889,21002,-,-
Interest Expense (Income) - Net Operating,-7675,-679,-,-
Unusual Expense (Income),-,-,-245,282
"Other Operating Expenses, Total",-33117,-35104,-,-
Operating Income,28246,91728,88850,63887
"Interest Income (Expense), Net Non-Operating",-,755,-1651,2121
Gain (Loss) on Sale of Assets,-,31,-,-
"Other, Net",4359,-786,-,-
Net Income Before Taxes,23887,92483,87199,66008
Provision for Income Taxes,12316,27146,24515,17957
Net Income After Taxes,11571,65337,62684,48051
Minority Interest,6452,6186,-666,-320
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,11705,64770,62018,47731
Total Extraordinary Items,-,-,-,-
Net Income,11705,64770,62018,47731
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,11705,64770,62018,47731
Dilution Adjustment,-,-,-,-
Diluted Net Income,11705,64770,62018,47731
Diluted Weighted Average Shares,271.54,271.53,271.52,271.5
Diluted EPS Excluding Extraordinary Items,43.11,238.54,228.41,175.8
DPS - Common Stock Primary Issue,21,72,69,53
Diluted Normalized EPS,55.47,210.71,227.76,176.56
