Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Revenue,4007,3862,3509.28,4307.09
"Revenue 4007 3862 3509.28 4307.09  Other Revenue, Total - - - -","Revenue 4007 3862 3509.28 4307.09  Other Revenue, Total - - - -","Revenue 4007 3862 3509.28 4307.09  Other Revenue, Total - - - -","Revenue 4007 3862 3509.28 4307.09  Other Revenue, Total - - - -","Revenue 4007 3862 3509.28 4307.09  Other Revenue, Total - - - -"
Revenue,4007,3862,3509.28,4307.09
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",3198,3196,2957.46,3604.2
Gross Profit,809,666,551.82,702.89
Total Operating Expenses,3938,3837,4073.36,4946.46
"Selling/General/Admin. Expenses, Total 723 622 667.04 773.99  Research & Development 40 31 - -  Depreciation / Amortization 158 143 15.39 18.41  Interest Expense (Income) - Net Operating -4 -5 - -  Unusual Expense (Income) - 33.49 433.47 549.85  Other Operating Expenses, Total -177 -150 -0 -","Selling/General/Admin. Expenses, Total 723 622 667.04 773.99  Research & Development 40 31 - -  Depreciation / Amortization 158 143 15.39 18.41  Interest Expense (Income) - Net Operating -4 -5 - -  Unusual Expense (Income) - 33.49 433.47 549.85  Other Operating Expenses, Total -177 -150 -0 -","Selling/General/Admin. Expenses, Total 723 622 667.04 773.99  Research & Development 40 31 - -  Depreciation / Amortization 158 143 15.39 18.41  Interest Expense (Income) - Net Operating -4 -5 - -  Unusual Expense (Income) - 33.49 433.47 549.85  Other Operating Expenses, Total -177 -150 -0 -","Selling/General/Admin. Expenses, Total 723 622 667.04 773.99  Research & Development 40 31 - -  Depreciation / Amortization 158 143 15.39 18.41  Interest Expense (Income) - Net Operating -4 -5 - -  Unusual Expense (Income) - 33.49 433.47 549.85  Other Operating Expenses, Total -177 -150 -0 -","Selling/General/Admin. Expenses, Total 723 622 667.04 773.99  Research & Development 40 31 - -  Depreciation / Amortization 158 143 15.39 18.41  Interest Expense (Income) - Net Operating -4 -5 - -  Unusual Expense (Income) - 33.49 433.47 549.85  Other Operating Expenses, Total -177 -150 -0 -"
"Selling/General/Admin. Expenses, Total",723,622,667.04,773.99
Research & Development,40,31,-,-
Depreciation / Amortization,158,143,15.39,18.41
Interest Expense (Income) - Net Operating,-4,-5,-,-
Unusual Expense (Income),-,33.49,433.47,549.85
"Other Operating Expenses, Total",-177,-150,-0,-
Operating Income,69,25,-564.09,-639.37
"Interest Income (Expense), Net Non-Operating",-,285.34,193.45,144.8
Gain (Loss) on Sale of Assets,920,13,241.13,-1.57
"Other, Net",-1721,-298,33.32,12.11
Net Income Before Taxes,870,310,-96.2,-484.03
Provision for Income Taxes,149,-1,10.28,85.26
Net Income After Taxes,721,311,-106.48,-569.29
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,721,311,-106.48,-569.29
Total Extraordinary Items,-,-,-,-
Net Income,721,311,-106.48,-569.29
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,721,311,-106.48,-569.29
Dilution Adjustment,-,-,-,-
Diluted Net Income,721,311,-106.48,-569.29
Diluted Weighted Average Shares,0.922,0.922,0.92,0.92
Diluted EPS Excluding Extraordinary Items,782.01,337.29,-115.48,-617.35
DPS - Common Stock Primary Issue,-,60,60,60
Diluted Normalized EPS,31.18,206.74,20.11,-228.67
