Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,164020,149082,119159,117502
"Revenue 164020 149082 119159 117502  Other Revenue, Total - - - -","Revenue 164020 149082 119159 117502  Other Revenue, Total - - - -","Revenue 164020 149082 119159 117502  Other Revenue, Total - - - -","Revenue 164020 149082 119159 117502  Other Revenue, Total - - - -","Revenue 164020 149082 119159 117502  Other Revenue, Total - - - -"
Revenue,164020,149082,119159,117502
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",129038,114217,92104,89491
Gross Profit,34982,34865,27055,28011
Total Operating Expenses,150459,133458,113317,110391
"Selling/General/Admin. Expenses, Total 21349 19149 17655 19738  Research & Development - 750 672 696  Depreciation / Amortization 5485 5426 136 123  Interest Expense (Income) - Net Operating -490 -261 - -  Unusual Expense (Income) - 273 2748 342  Other Operating Expenses, Total -4923 -5823 2 1","Selling/General/Admin. Expenses, Total 21349 19149 17655 19738  Research & Development - 750 672 696  Depreciation / Amortization 5485 5426 136 123  Interest Expense (Income) - Net Operating -490 -261 - -  Unusual Expense (Income) - 273 2748 342  Other Operating Expenses, Total -4923 -5823 2 1","Selling/General/Admin. Expenses, Total 21349 19149 17655 19738  Research & Development - 750 672 696  Depreciation / Amortization 5485 5426 136 123  Interest Expense (Income) - Net Operating -490 -261 - -  Unusual Expense (Income) - 273 2748 342  Other Operating Expenses, Total -4923 -5823 2 1","Selling/General/Admin. Expenses, Total 21349 19149 17655 19738  Research & Development - 750 672 696  Depreciation / Amortization 5485 5426 136 123  Interest Expense (Income) - Net Operating -490 -261 - -  Unusual Expense (Income) - 273 2748 342  Other Operating Expenses, Total -4923 -5823 2 1","Selling/General/Admin. Expenses, Total 21349 19149 17655 19738  Research & Development - 750 672 696  Depreciation / Amortization 5485 5426 136 123  Interest Expense (Income) - Net Operating -490 -261 - -  Unusual Expense (Income) - 273 2748 342  Other Operating Expenses, Total -4923 -5823 2 1"
"Selling/General/Admin. Expenses, Total",21349,19149,17655,19738
Research & Development,-,750,672,696
Depreciation / Amortization,5485,5426,136,123
Interest Expense (Income) - Net Operating,-490,-261,-,-
Unusual Expense (Income),-,273,2748,342
"Other Operating Expenses, Total",-4923,-5823,2,1
Operating Income,13561,15624,5842,7111
"Interest Income (Expense), Net Non-Operating",-,1219,890,975
Gain (Loss) on Sale of Assets,1370,-29,-278,-125
"Other, Net",-1987,-650,149,-306
Net Income Before Taxes,14178,16303,6603,7655
Provision for Income Taxes,3164,5110,2019,2600
Net Income After Taxes,11014,11193,4584,5055
Minority Interest,7065,6297,-837,-535
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,9780,9279,3747,4520
Total Extraordinary Items,-,-,-,-
Net Income,9780,9279,3747,4520
Total Adjustments to Net Income,-,-,-1,-2
Income Available to Common Excluding Extraordinary Items,9780,9279,3746,4518
Dilution Adjustment,-,-,-,-
Diluted Net Income,9780,9279,3746,4518
Diluted Weighted Average Shares,16.64,16.64,16.64,16.64
Diluted EPS Excluding Extraordinary Items,587.85,557.77,225.15,271.55
DPS - Common Stock Primary Issue,177.5,167.5,50,45
Diluted Normalized EPS,421.83,508.78,311.37,268.74
