Period Ending:,202231/12,202131/12,202031/12,202031/03
Total Revenue,35269,28397,23363,-
"Revenue 35269 28397 23363 -  Other Revenue, Total - - - -","Revenue 35269 28397 23363 -  Other Revenue, Total - - - -","Revenue 35269 28397 23363 -  Other Revenue, Total - - - -","Revenue 35269 28397 23363 -  Other Revenue, Total - - - -","Revenue 35269 28397 23363 -  Other Revenue, Total - - - -"
Revenue,35269,28397,23363,-
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",16965,13251,12155,-
Gross Profit,18304,15146,11208,-
Total Operating Expenses,32033,26031,21848,-
"Selling/General/Admin. Expenses, Total 15068 12560 9516 -  Research & Development - 159 94 -  Depreciation / Amortization 239 - - -  Interest Expense (Income) - Net Operating -7 - - -  Unusual Expense (Income) - -31 -3 -  Other Operating Expenses, Total -408 92 86 -","Selling/General/Admin. Expenses, Total 15068 12560 9516 -  Research & Development - 159 94 -  Depreciation / Amortization 239 - - -  Interest Expense (Income) - Net Operating -7 - - -  Unusual Expense (Income) - -31 -3 -  Other Operating Expenses, Total -408 92 86 -","Selling/General/Admin. Expenses, Total 15068 12560 9516 -  Research & Development - 159 94 -  Depreciation / Amortization 239 - - -  Interest Expense (Income) - Net Operating -7 - - -  Unusual Expense (Income) - -31 -3 -  Other Operating Expenses, Total -408 92 86 -","Selling/General/Admin. Expenses, Total 15068 12560 9516 -  Research & Development - 159 94 -  Depreciation / Amortization 239 - - -  Interest Expense (Income) - Net Operating -7 - - -  Unusual Expense (Income) - -31 -3 -  Other Operating Expenses, Total -408 92 86 -","Selling/General/Admin. Expenses, Total 15068 12560 9516 -  Research & Development - 159 94 -  Depreciation / Amortization 239 - - -  Interest Expense (Income) - Net Operating -7 - - -  Unusual Expense (Income) - -31 -3 -  Other Operating Expenses, Total -408 92 86 -"
"Selling/General/Admin. Expenses, Total",15068,12560,9516,-
Research & Development,-,159,94,-
Depreciation / Amortization,239,-,-,-
Interest Expense (Income) - Net Operating,-7,-,-,-
Unusual Expense (Income),-,-31,-3,-
"Other Operating Expenses, Total",-408,92,86,-
Operating Income,3236,2366,1515,-
"Interest Income (Expense), Net Non-Operating",-,-5,-64,-
Gain (Loss) on Sale of Assets,156,-,1,-
"Other, Net",-372,-,-58,-
Net Income Before Taxes,3452,2361,1394,-
Provision for Income Taxes,1525,1124,533,-
Net Income After Taxes,1927,1237,861,-0
Minority Interest,-,7,44,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,1927,1244,905,-0
Total Extraordinary Items,-,-,-,-
Net Income,1927,1244,905,-0
Total Adjustments to Net Income,-,-,-28,-
Income Available to Common Excluding Extraordinary Items,1927,1244,877,-0
Dilution Adjustment,-0.065,-,-,-
Diluted Net Income,1927.07,1244,877,-0
Diluted Weighted Average Shares,18.09,18.05,14.93,-
Diluted EPS Excluding Extraordinary Items,106.54,68.93,58.76,-
DPS - Common Stock Primary Issue,-,-,-,-
Diluted Normalized EPS,114.44,81.08,61.76,-
