Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,19038,19136,20193,22538
"Revenue 19038 19136 20193 22538  Other Revenue, Total - - - -","Revenue 19038 19136 20193 22538  Other Revenue, Total - - - -","Revenue 19038 19136 20193 22538  Other Revenue, Total - - - -","Revenue 19038 19136 20193 22538  Other Revenue, Total - - - -","Revenue 19038 19136 20193 22538  Other Revenue, Total - - - -"
Revenue,19038,19136,20193,22538
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",16733,15778,16393,18042
Gross Profit,2305,3358,3800,4496
Total Operating Expenses,20241,19478,20140,21949
"Selling/General/Admin. Expenses, Total 3208 3337 3379 3524  Research & Development 163 206 219 247  Depreciation / Amortization 635 655 655 129  Interest Expense (Income) - Net Operating -18 -7 -8 -  Unusual Expense (Income) - 757 319 5  Other Operating Expenses, Total -480 -491 -498 2","Selling/General/Admin. Expenses, Total 3208 3337 3379 3524  Research & Development 163 206 219 247  Depreciation / Amortization 635 655 655 129  Interest Expense (Income) - Net Operating -18 -7 -8 -  Unusual Expense (Income) - 757 319 5  Other Operating Expenses, Total -480 -491 -498 2","Selling/General/Admin. Expenses, Total 3208 3337 3379 3524  Research & Development 163 206 219 247  Depreciation / Amortization 635 655 655 129  Interest Expense (Income) - Net Operating -18 -7 -8 -  Unusual Expense (Income) - 757 319 5  Other Operating Expenses, Total -480 -491 -498 2","Selling/General/Admin. Expenses, Total 3208 3337 3379 3524  Research & Development 163 206 219 247  Depreciation / Amortization 635 655 655 129  Interest Expense (Income) - Net Operating -18 -7 -8 -  Unusual Expense (Income) - 757 319 5  Other Operating Expenses, Total -480 -491 -498 2","Selling/General/Admin. Expenses, Total 3208 3337 3379 3524  Research & Development 163 206 219 247  Depreciation / Amortization 635 655 655 129  Interest Expense (Income) - Net Operating -18 -7 -8 -  Unusual Expense (Income) - 757 319 5  Other Operating Expenses, Total -480 -491 -498 2"
"Selling/General/Admin. Expenses, Total",3208,3337,3379,3524
Research & Development,163,206,219,247
Depreciation / Amortization,635,655,655,129
Interest Expense (Income) - Net Operating,-18,-7,-8,-
Unusual Expense (Income),-,757,319,5
"Other Operating Expenses, Total",-480,-491,-498,2
Operating Income,-1203,-342,53,589
"Interest Income (Expense), Net Non-Operating",-,115,91,236
Gain (Loss) on Sale of Assets,-47,1,1042,-
"Other, Net",510,656,-1878,-6
Net Income Before Taxes,-1666,-999,889,819
Provision for Income Taxes,88,764,153,220
Net Income After Taxes,-1754,-1763,736,599
Minority Interest,887,863,829,-70
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,-1806,-1825,679,529
Total Extraordinary Items,-,-,-,-
Net Income,-1806,-1825,679,529
Total Adjustments to Net Income,-,-,-,-1
Income Available to Common Excluding Extraordinary Items,-1806,-1825,679,528
Dilution Adjustment,-,-,-,-
Diluted Net Income,-1806,-1825,679,528
Diluted Weighted Average Shares,30.98,30.98,30.98,30.98
Diluted EPS Excluding Extraordinary Items,-58.3,-58.91,21.92,17.04
DPS - Common Stock Primary Issue,-,2.5,5,5
Diluted Normalized EPS,-24.8,-6.9,1.51,17.16
