Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,20781,23599,18521,15669
"Revenue 20781 23599 18521 15669  Other Revenue, Total - - - -","Revenue 20781 23599 18521 15669  Other Revenue, Total - - - -","Revenue 20781 23599 18521 15669  Other Revenue, Total - - - -","Revenue 20781 23599 18521 15669  Other Revenue, Total - - - -","Revenue 20781 23599 18521 15669  Other Revenue, Total - - - -"
Revenue,20781,23599,18521,15669
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",13393,14627,12052,11041
Gross Profit,7388,8972,6469,4628
Total Operating Expenses,17576,18649,15861,14675
"Selling/General/Admin. Expenses, Total 2634 2559 2296 2418  Research & Development 1498 1414 1447 1113  Depreciation / Amortization 1108 45 62 85  Interest Expense (Income) - Net Operating -25 - - -  Unusual Expense (Income) - 3 3 18  Other Operating Expenses, Total -1032 1 1 -","Selling/General/Admin. Expenses, Total 2634 2559 2296 2418  Research & Development 1498 1414 1447 1113  Depreciation / Amortization 1108 45 62 85  Interest Expense (Income) - Net Operating -25 - - -  Unusual Expense (Income) - 3 3 18  Other Operating Expenses, Total -1032 1 1 -","Selling/General/Admin. Expenses, Total 2634 2559 2296 2418  Research & Development 1498 1414 1447 1113  Depreciation / Amortization 1108 45 62 85  Interest Expense (Income) - Net Operating -25 - - -  Unusual Expense (Income) - 3 3 18  Other Operating Expenses, Total -1032 1 1 -","Selling/General/Admin. Expenses, Total 2634 2559 2296 2418  Research & Development 1498 1414 1447 1113  Depreciation / Amortization 1108 45 62 85  Interest Expense (Income) - Net Operating -25 - - -  Unusual Expense (Income) - 3 3 18  Other Operating Expenses, Total -1032 1 1 -","Selling/General/Admin. Expenses, Total 2634 2559 2296 2418  Research & Development 1498 1414 1447 1113  Depreciation / Amortization 1108 45 62 85  Interest Expense (Income) - Net Operating -25 - - -  Unusual Expense (Income) - 3 3 18  Other Operating Expenses, Total -1032 1 1 -"
"Selling/General/Admin. Expenses, Total",2634,2559,2296,2418
Research & Development,1498,1414,1447,1113
Depreciation / Amortization,1108,45,62,85
Interest Expense (Income) - Net Operating,-25,-,-,-
Unusual Expense (Income),-,3,3,18
"Other Operating Expenses, Total",-1032,1,1,-
Operating Income,3205,4950,2660,994
"Interest Income (Expense), Net Non-Operating",-,111,-100,70
Gain (Loss) on Sale of Assets,17,-,-,23
"Other, Net",-277,31,14,36
Net Income Before Taxes,3465,5092,2574,1123
Provision for Income Taxes,853,1290,537,46
Net Income After Taxes,2612,3802,2037,1077
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,2612,3802,2037,1077
Total Extraordinary Items,-,-,-,-
Net Income,2612,3802,2037,1077
Total Adjustments to Net Income,-,-,-,-1
Income Available to Common Excluding Extraordinary Items,2612,3802,2037,1076
Dilution Adjustment,-,-,-,-
Diluted Net Income,2612,3802,2037,1076
Diluted Weighted Average Shares,12.6,12.22,10.76,10.59
Diluted EPS Excluding Extraordinary Items,207.25,311.08,189.4,101.61
DPS - Common Stock Primary Issue,-,40,15,10
Diluted Normalized EPS,164.74,311.26,189.62,101.16
