Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Revenue,39478,37824,34647.94,35749.13
"Revenue 39478 37824 34647.94 35749.13  Other Revenue, Total - - - -","Revenue 39478 37824 34647.94 35749.13  Other Revenue, Total - - - -","Revenue 39478 37824 34647.94 35749.13  Other Revenue, Total - - - -","Revenue 39478 37824 34647.94 35749.13  Other Revenue, Total - - - -","Revenue 39478 37824 34647.94 35749.13  Other Revenue, Total - - - -"
Revenue,39478,37824,34647.94,35749.13
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",31304,29963,27311.79,28780.25
Gross Profit,8174,7861,7336.15,6968.88
Total Operating Expenses,38650,36704,33880.03,34846.88
"Selling/General/Admin. Expenses, Total 7346 6465 5951.68 5745.98  Research & Development 59 64 76.26 -  Depreciation / Amortization 715 667 263.18 222.31  Interest Expense (Income) - Net Operating -44 -44 - -  Unusual Expense (Income) - 75.29 277.12 98.34  Other Operating Expenses, Total -389 -411 - -","Selling/General/Admin. Expenses, Total 7346 6465 5951.68 5745.98  Research & Development 59 64 76.26 -  Depreciation / Amortization 715 667 263.18 222.31  Interest Expense (Income) - Net Operating -44 -44 - -  Unusual Expense (Income) - 75.29 277.12 98.34  Other Operating Expenses, Total -389 -411 - -","Selling/General/Admin. Expenses, Total 7346 6465 5951.68 5745.98  Research & Development 59 64 76.26 -  Depreciation / Amortization 715 667 263.18 222.31  Interest Expense (Income) - Net Operating -44 -44 - -  Unusual Expense (Income) - 75.29 277.12 98.34  Other Operating Expenses, Total -389 -411 - -","Selling/General/Admin. Expenses, Total 7346 6465 5951.68 5745.98  Research & Development 59 64 76.26 -  Depreciation / Amortization 715 667 263.18 222.31  Interest Expense (Income) - Net Operating -44 -44 - -  Unusual Expense (Income) - 75.29 277.12 98.34  Other Operating Expenses, Total -389 -411 - -","Selling/General/Admin. Expenses, Total 7346 6465 5951.68 5745.98  Research & Development 59 64 76.26 -  Depreciation / Amortization 715 667 263.18 222.31  Interest Expense (Income) - Net Operating -44 -44 - -  Unusual Expense (Income) - 75.29 277.12 98.34  Other Operating Expenses, Total -389 -411 - -"
"Selling/General/Admin. Expenses, Total",7346,6465,5951.68,5745.98
Research & Development,59,64,76.26,-
Depreciation / Amortization,715,667,263.18,222.31
Interest Expense (Income) - Net Operating,-44,-44,-,-
Unusual Expense (Income),-,75.29,277.12,98.34
"Other Operating Expenses, Total",-389,-411,-,-
Operating Income,828,1120,767.91,902.25
"Interest Income (Expense), Net Non-Operating",-,-27.65,0.74,-46.31
Gain (Loss) on Sale of Assets,34,8,163.02,9.54
"Other, Net",-213,-122,171.1,197.91
Net Income Before Taxes,1007,1234,1102.77,1063.39
Provision for Income Taxes,-,624,530.24,232.74
Net Income After Taxes,574,610,572.53,830.65
Minority Interest,-,1,-95.5,-48
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,574,610,477.03,782.65
Total Extraordinary Items,-,-,-,-
Net Income,574,610,477.03,782.65
Total Adjustments to Net Income,-,-,-0,-
Income Available to Common Excluding Extraordinary Items,574,610,477.03,782.65
Dilution Adjustment,-,-,-,-
Diluted Net Income,574,610,477.03,782.65
Diluted Weighted Average Shares,13.29,13.1,12.11,12
Diluted EPS Excluding Extraordinary Items,43.2,46.56,39.41,65.2
DPS - Common Stock Primary Issue,24,24,24,24
Diluted Normalized EPS,-,62.02,53.45,78.59
