Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,9237,8965,8686.69,9055.58
"Revenue 9237 8965 8686.69 9055.58  Other Revenue, Total - - - -","Revenue 9237 8965 8686.69 9055.58  Other Revenue, Total - - - -","Revenue 9237 8965 8686.69 9055.58  Other Revenue, Total - - - -","Revenue 9237 8965 8686.69 9055.58  Other Revenue, Total - - - -","Revenue 9237 8965 8686.69 9055.58  Other Revenue, Total - - - -"
Revenue,9237,8965,8686.69,9055.58
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",7983,7800,7545.25,7963.7
Gross Profit,1254,1165,1141.44,1091.88
Total Operating Expenses,8806,8659,8369.12,8939.2
"Selling/General/Admin. Expenses, Total 823 859 836.56 969.07  Research & Development - - - -  Depreciation / Amortization 139 132 - -  Interest Expense (Income) - Net Operating -3 -2 - -  Unusual Expense (Income) - -9.77 -12.69 6.43  Other Operating Expenses, Total -136 -130 - -","Selling/General/Admin. Expenses, Total 823 859 836.56 969.07  Research & Development - - - -  Depreciation / Amortization 139 132 - -  Interest Expense (Income) - Net Operating -3 -2 - -  Unusual Expense (Income) - -9.77 -12.69 6.43  Other Operating Expenses, Total -136 -130 - -","Selling/General/Admin. Expenses, Total 823 859 836.56 969.07  Research & Development - - - -  Depreciation / Amortization 139 132 - -  Interest Expense (Income) - Net Operating -3 -2 - -  Unusual Expense (Income) - -9.77 -12.69 6.43  Other Operating Expenses, Total -136 -130 - -","Selling/General/Admin. Expenses, Total 823 859 836.56 969.07  Research & Development - - - -  Depreciation / Amortization 139 132 - -  Interest Expense (Income) - Net Operating -3 -2 - -  Unusual Expense (Income) - -9.77 -12.69 6.43  Other Operating Expenses, Total -136 -130 - -","Selling/General/Admin. Expenses, Total 823 859 836.56 969.07  Research & Development - - - -  Depreciation / Amortization 139 132 - -  Interest Expense (Income) - Net Operating -3 -2 - -  Unusual Expense (Income) - -9.77 -12.69 6.43  Other Operating Expenses, Total -136 -130 - -"
"Selling/General/Admin. Expenses, Total",823,859,836.56,969.07
Research & Development,-,-,-,-
Depreciation / Amortization,139,132,-,-
Interest Expense (Income) - Net Operating,-3,-2,-,-
Unusual Expense (Income),-,-9.77,-12.69,6.43
"Other Operating Expenses, Total",-136,-130,-,-
Operating Income,431,306,317.57,116.38
"Interest Income (Expense), Net Non-Operating",-,0.78,2.26,-3.05
Gain (Loss) on Sale of Assets,-,-,-,199.44
"Other, Net",-72,-20,12.9,11.33
Net Income Before Taxes,503,326,332.73,324.09
Provision for Income Taxes,180,134,141.95,81.89
Net Income After Taxes,323,192,190.78,242.21
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,323,192,190.78,242.21
Total Extraordinary Items,-,-,-,-
Net Income,323,192,190.78,242.21
Total Adjustments to Net Income,-,-,-0,-
Income Available to Common Excluding Extraordinary Items,323,192,190.78,242.21
Dilution Adjustment,-,-,-,-
Diluted Net Income,323,192,190.78,242.21
Diluted Weighted Average Shares,3.79,3.79,3.79,3.79
Diluted EPS Excluding Extraordinary Items,85.15,50.62,50.29,63.85
DPS - Common Stock Primary Issue,14,10,8.5,7
Diluted Normalized EPS,78.1,53.71,53.35,29.85
