Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,60279,58002,55268.38,63841.86
"Revenue 60279 58002.69 55268.38 63841.86  Other Revenue, Total - - - -","Revenue 60279 58002.69 55268.38 63841.86  Other Revenue, Total - - - -","Revenue 60279 58002.69 55268.38 63841.86  Other Revenue, Total - - - -","Revenue 60279 58002.69 55268.38 63841.86  Other Revenue, Total - - - -","Revenue 60279 58002.69 55268.38 63841.86  Other Revenue, Total - - - -"
Revenue,60279,58002.69,55268.38,63841.86
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",51225,48760.84,46436.05,55208.69
Gross Profit,9054,9241.86,8832.33,8633.17
Total Operating Expenses,55150,52202.91,49470.91,59572.18
"Selling/General/Admin. Expenses, Total 3925 3431.17 3331.08 3392.14  Research & Development - - - -  Depreciation / Amortization 1025 - - -  Interest Expense (Income) - Net Operating -5 - - -  Unusual Expense (Income) - 10.91 -296.22 971.35  Other Operating Expenses, Total -1020 - - -","Selling/General/Admin. Expenses, Total 3925 3431.17 3331.08 3392.14  Research & Development - - - -  Depreciation / Amortization 1025 - - -  Interest Expense (Income) - Net Operating -5 - - -  Unusual Expense (Income) - 10.91 -296.22 971.35  Other Operating Expenses, Total -1020 - - -","Selling/General/Admin. Expenses, Total 3925 3431.17 3331.08 3392.14  Research & Development - - - -  Depreciation / Amortization 1025 - - -  Interest Expense (Income) - Net Operating -5 - - -  Unusual Expense (Income) - 10.91 -296.22 971.35  Other Operating Expenses, Total -1020 - - -","Selling/General/Admin. Expenses, Total 3925 3431.17 3331.08 3392.14  Research & Development - - - -  Depreciation / Amortization 1025 - - -  Interest Expense (Income) - Net Operating -5 - - -  Unusual Expense (Income) - 10.91 -296.22 971.35  Other Operating Expenses, Total -1020 - - -","Selling/General/Admin. Expenses, Total 3925 3431.17 3331.08 3392.14  Research & Development - - - -  Depreciation / Amortization 1025 - - -  Interest Expense (Income) - Net Operating -5 - - -  Unusual Expense (Income) - 10.91 -296.22 971.35  Other Operating Expenses, Total -1020 - - -"
"Selling/General/Admin. Expenses, Total",3925,3431.17,3331.08,3392.14
Research & Development,-,-,-,-
Depreciation / Amortization,1025,-,-,-
Interest Expense (Income) - Net Operating,-5,-,-,-
Unusual Expense (Income),-,10.91,-296.22,971.35
"Other Operating Expenses, Total",-1020,-,-,-
Operating Income,5129,5799.78,5797.47,4269.68
"Interest Income (Expense), Net Non-Operating",-,146.25,153.51,114.8
Gain (Loss) on Sale of Assets,-42,-21.89,0.53,4.42
"Other, Net",-149,40.11,-56.36,30.36
Net Income Before Taxes,5320,5964.26,5895.15,4419.25
Provision for Income Taxes,1505,1556.35,1248.14,1216.2
Net Income After Taxes,3815,4407.9,4647.02,3203.05
Minority Interest,6059,5710,-838.36,-586.27
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,3077,3406.26,3808.66,2616.78
Total Extraordinary Items,-,-,-,-
Net Income,3077,3406.26,3808.66,2616.78
Total Adjustments to Net Income,-,-0,-0,-0
Income Available to Common Excluding Extraordinary Items,3077,3406.26,3808.66,2616.78
Dilution Adjustment,-,-,-,-
Diluted Net Income,3077,3406.26,3808.66,2616.78
Diluted Weighted Average Shares,6.81,6.81,6.8,6.8
Diluted EPS Excluding Extraordinary Items,452.15,500.51,559.68,384.54
DPS - Common Stock Primary Issue,140,140,80,60
Diluted Normalized EPS,384.93,504.07,525.31,487.52
