Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Revenue,183640,154704,143571,136319
"Revenue 183640 154704 143571 136319  Other Revenue, Total - - - -","Revenue 183640 154704 143571 136319  Other Revenue, Total - - - -","Revenue 183640 154704 143571 136319  Other Revenue, Total - - - -","Revenue 183640 154704 143571 136319  Other Revenue, Total - - - -","Revenue 183640 154704 143571 136319  Other Revenue, Total - - - -"
Revenue,183640,154704,143571,136319
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",151953,128073,118553,110009
Gross Profit,31687,26631,25018,26310
Total Operating Expenses,174711,147472,137532,131682
"Selling/General/Admin. Expenses, Total 21805 18646 18162 20426  Research & Development - - - -  Depreciation / Amortization 909 503 604 1154  Interest Expense (Income) - Net Operating -225 - - -  Unusual Expense (Income) - 249 212 93  Other Operating Expenses, Total 269 1 1 -","Selling/General/Admin. Expenses, Total 21805 18646 18162 20426  Research & Development - - - -  Depreciation / Amortization 909 503 604 1154  Interest Expense (Income) - Net Operating -225 - - -  Unusual Expense (Income) - 249 212 93  Other Operating Expenses, Total 269 1 1 -","Selling/General/Admin. Expenses, Total 21805 18646 18162 20426  Research & Development - - - -  Depreciation / Amortization 909 503 604 1154  Interest Expense (Income) - Net Operating -225 - - -  Unusual Expense (Income) - 249 212 93  Other Operating Expenses, Total 269 1 1 -","Selling/General/Admin. Expenses, Total 21805 18646 18162 20426  Research & Development - - - -  Depreciation / Amortization 909 503 604 1154  Interest Expense (Income) - Net Operating -225 - - -  Unusual Expense (Income) - 249 212 93  Other Operating Expenses, Total 269 1 1 -","Selling/General/Admin. Expenses, Total 21805 18646 18162 20426  Research & Development - - - -  Depreciation / Amortization 909 503 604 1154  Interest Expense (Income) - Net Operating -225 - - -  Unusual Expense (Income) - 249 212 93  Other Operating Expenses, Total 269 1 1 -"
"Selling/General/Admin. Expenses, Total",21805,18646,18162,20426
Research & Development,-,-,-,-
Depreciation / Amortization,909,503,604,1154
Interest Expense (Income) - Net Operating,-225,-,-,-
Unusual Expense (Income),-,249,212,93
"Other Operating Expenses, Total",269,1,1,-
Operating Income,8929,7232,6039,4637
"Interest Income (Expense), Net Non-Operating",-,-163,-146,-172
Gain (Loss) on Sale of Assets,-375,-,175,-
"Other, Net",850,442,700,299
Net Income Before Taxes,8454,7511,6768,4764
Provision for Income Taxes,2951,2732,746,1777
Net Income After Taxes,5503,4779,6022,2987
Minority Interest,1710,-153,-108,-30
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,5341,4626,5914,2957
Total Extraordinary Items,-,-,-,-
Net Income,5341,4626,5914,2957
Total Adjustments to Net Income,-,-,-1,-1
Income Available to Common Excluding Extraordinary Items,5341,4626,5913,2956
Dilution Adjustment,-,-,-,-
Diluted Net Income,5341,4626,5913,2956
Diluted Weighted Average Shares,17.58,17.58,17.4,16.96
Diluted EPS Excluding Extraordinary Items,303.82,263.17,339.85,174.25
DPS - Common Stock Primary Issue,-,79.5,101.7,52.7
Diluted Normalized EPS,310.19,278.56,350.02,213.88
