Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,8378942,7388791,6698794,7490601
"Revenue 8378942 7388791 6698794 7490601  Other Revenue, Total - - - -","Revenue 8378942 7388791 6698794 7490601  Other Revenue, Total - - - -","Revenue 8378942 7388791 6698794 7490601  Other Revenue, Total - - - -","Revenue 8378942 7388791 6698794 7490601  Other Revenue, Total - - - -","Revenue 8378942 7388791 6698794 7490601  Other Revenue, Total - - - -"
Revenue,8378942,7388791,6698794,7490601
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",6117494,5306580,4723943,5339557
Gross Profit,2261448,2082211,1974851,2151044
Total Operating Expenses,8091804,7018628,6419441,7196850
"Selling/General/Admin. Expenses, Total 1947371 1593617 1546425 1732139  Research & Development - 419800 419800 -  Depreciation / Amortization 382289 339148 317572 132242  Interest Expense (Income) - Net Operating -21133 -19259 -17248 -5298  Unusual Expense (Income) - - -27676 -110323  Other Operating Expenses, Total -334217 -621258 -571051 108533","Selling/General/Admin. Expenses, Total 1947371 1593617 1546425 1732139  Research & Development - 419800 419800 -  Depreciation / Amortization 382289 339148 317572 132242  Interest Expense (Income) - Net Operating -21133 -19259 -17248 -5298  Unusual Expense (Income) - - -27676 -110323  Other Operating Expenses, Total -334217 -621258 -571051 108533","Selling/General/Admin. Expenses, Total 1947371 1593617 1546425 1732139  Research & Development - 419800 419800 -  Depreciation / Amortization 382289 339148 317572 132242  Interest Expense (Income) - Net Operating -21133 -19259 -17248 -5298  Unusual Expense (Income) - - -27676 -110323  Other Operating Expenses, Total -334217 -621258 -571051 108533","Selling/General/Admin. Expenses, Total 1947371 1593617 1546425 1732139  Research & Development - 419800 419800 -  Depreciation / Amortization 382289 339148 317572 132242  Interest Expense (Income) - Net Operating -21133 -19259 -17248 -5298  Unusual Expense (Income) - - -27676 -110323  Other Operating Expenses, Total -334217 -621258 -571051 108533","Selling/General/Admin. Expenses, Total 1947371 1593617 1546425 1732139  Research & Development - 419800 419800 -  Depreciation / Amortization 382289 339148 317572 132242  Interest Expense (Income) - Net Operating -21133 -19259 -17248 -5298  Unusual Expense (Income) - - -27676 -110323  Other Operating Expenses, Total -334217 -621258 -571051 108533"
"Selling/General/Admin. Expenses, Total",1947371,1593617,1546425,1732139
Research & Development,-,419800,419800,-
Depreciation / Amortization,382289,339148,317572,132242
Interest Expense (Income) - Net Operating,-21133,-19259,-17248,-5298
Unusual Expense (Income),-,-,-27676,-110323
"Other Operating Expenses, Total",-334217,-621258,-571051,108533
Operating Income,287138,370163,279353,293751
"Interest Income (Expense), Net Non-Operating",-,2869,-4759,-3880
Gain (Loss) on Sale of Assets,-,4204,5845,-
"Other, Net",-29271,5564,12688,1179
Net Income Before Taxes,316409,360395,260820,291050
Provision for Income Taxes,35853,94957,76926,51012
Net Income After Taxes,280556,265438,183894,240038
Minority Interest,171556,182209,174468,-14331
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,265502,255334,165077,225707
Total Extraordinary Items,-,-,-,-
Net Income,265502,255334,165077,225707
Total Adjustments to Net Income,-,-11,-5,-7
Income Available to Common Excluding Extraordinary Items,265502,255323,165072,225700
Dilution Adjustment,-,-,-,7
Diluted Net Income,265502,255334,165077,225707
Diluted Weighted Average Shares,2334.7,2334.58,2334.34,2334.1
Diluted EPS Excluding Extraordinary Items,113.72,109.37,70.72,96.7
DPS - Common Stock Primary Issue,30,30,20,30
Diluted Normalized EPS,78.25,91.03,60.21,57.72
