Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Revenue,160825,156313,133392,144955
"Revenue 160825 156313 133392 144955  Other Revenue, Total - - - -","Revenue 160825 156313 133392 144955  Other Revenue, Total - - - -","Revenue 160825 156313 133392 144955  Other Revenue, Total - - - -","Revenue 160825 156313 133392 144955  Other Revenue, Total - - - -","Revenue 160825 156313 133392 144955  Other Revenue, Total - - - -"
Revenue,160825,156313,133392,144955
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",117891,110974,95328,104240
Gross Profit,42934,45339,38064,40715
Total Operating Expenses,146442,138637,121673,131573
"Selling/General/Admin. Expenses, Total 26969 26370 24504 25886  Research & Development 4748 4391 - -  Depreciation / Amortization 10457 10623 1224 1045  Interest Expense (Income) - Net Operating -100 -94 - -  Unusual Expense (Income) - 1166 617 400  Other Operating Expenses, Total -13523 -13627 - 2","Selling/General/Admin. Expenses, Total 26969 26370 24504 25886  Research & Development 4748 4391 - -  Depreciation / Amortization 10457 10623 1224 1045  Interest Expense (Income) - Net Operating -100 -94 - -  Unusual Expense (Income) - 1166 617 400  Other Operating Expenses, Total -13523 -13627 - 2","Selling/General/Admin. Expenses, Total 26969 26370 24504 25886  Research & Development 4748 4391 - -  Depreciation / Amortization 10457 10623 1224 1045  Interest Expense (Income) - Net Operating -100 -94 - -  Unusual Expense (Income) - 1166 617 400  Other Operating Expenses, Total -13523 -13627 - 2","Selling/General/Admin. Expenses, Total 26969 26370 24504 25886  Research & Development 4748 4391 - -  Depreciation / Amortization 10457 10623 1224 1045  Interest Expense (Income) - Net Operating -100 -94 - -  Unusual Expense (Income) - 1166 617 400  Other Operating Expenses, Total -13523 -13627 - 2","Selling/General/Admin. Expenses, Total 26969 26370 24504 25886  Research & Development 4748 4391 - -  Depreciation / Amortization 10457 10623 1224 1045  Interest Expense (Income) - Net Operating -100 -94 - -  Unusual Expense (Income) - 1166 617 400  Other Operating Expenses, Total -13523 -13627 - 2"
"Selling/General/Admin. Expenses, Total",26969,26370,24504,25886
Research & Development,4748,4391,-,-
Depreciation / Amortization,10457,10623,1224,1045
Interest Expense (Income) - Net Operating,-100,-94,-,-
Unusual Expense (Income),-,1166,617,400
"Other Operating Expenses, Total",-13523,-13627,-,2
Operating Income,14383,17676,11719,13382
"Interest Income (Expense), Net Non-Operating",-,2801,790,1909
Gain (Loss) on Sale of Assets,2160,981,-434,-93
"Other, Net",-5091,-2105,181,92
Net Income Before Taxes,17314,18800,12256,15290
Provision for Income Taxes,4560,4821,3890,4634
Net Income After Taxes,12754,13979,8366,10656
Minority Interest,4837,4848,-223,-268
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,12494,13771,8143,10388
Total Extraordinary Items,-,-,-,-
Net Income,12494,13771,8143,10388
Total Adjustments to Net Income,-,-,-1,-1
Income Available to Common Excluding Extraordinary Items,12494,13771,8142,10387
Dilution Adjustment,-,-,-,-
Diluted Net Income,12494,13771,8142,10387
Diluted Weighted Average Shares,123.33,127.35,130.41,131.63
Diluted EPS Excluding Extraordinary Items,101.31,108.14,62.43,78.91
DPS - Common Stock Primary Issue,-,36,30,28
Diluted Normalized EPS,79.93,91.53,67.93,81.52
