Period Ending:,202231/12,202131/12,202031/12,Unnamed: 4
Total Revenue,9288,9266.14,4986.79,-
"Revenue 9288 9266.14 4986.79 -  Other Revenue, Total - - - -","Revenue 9288 9266.14 4986.79 -  Other Revenue, Total - - - -","Revenue 9288 9266.14 4986.79 -  Other Revenue, Total - - - -","Revenue 9288 9266.14 4986.79 -  Other Revenue, Total - - - -","Revenue 9288 9266.14 4986.79 -  Other Revenue, Total - - - -"
Revenue,9288,9266.14,4986.79,-
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",7162,7283.54,3835.37,-
Gross Profit,2126,1982.6,1151.42,-
Total Operating Expenses,8733,8657.33,4723.74,-
"Selling/General/Admin. Expenses, Total 1571 1286.2 888.37 -  Research & Development - - - -  Depreciation / Amortization 115 87.58 - -  Interest Expense (Income) - Net Operating -21 - - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -94 - - -","Selling/General/Admin. Expenses, Total 1571 1286.2 888.37 -  Research & Development - - - -  Depreciation / Amortization 115 87.58 - -  Interest Expense (Income) - Net Operating -21 - - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -94 - - -","Selling/General/Admin. Expenses, Total 1571 1286.2 888.37 -  Research & Development - - - -  Depreciation / Amortization 115 87.58 - -  Interest Expense (Income) - Net Operating -21 - - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -94 - - -","Selling/General/Admin. Expenses, Total 1571 1286.2 888.37 -  Research & Development - - - -  Depreciation / Amortization 115 87.58 - -  Interest Expense (Income) - Net Operating -21 - - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -94 - - -","Selling/General/Admin. Expenses, Total 1571 1286.2 888.37 -  Research & Development - - - -  Depreciation / Amortization 115 87.58 - -  Interest Expense (Income) - Net Operating -21 - - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -94 - - -"
"Selling/General/Admin. Expenses, Total",1571,1286.2,888.37,-
Research & Development,-,-,-,-
Depreciation / Amortization,115,87.58,-,-
Interest Expense (Income) - Net Operating,-21,-,-,-
Unusual Expense (Income),-,-,-,-
"Other Operating Expenses, Total",-94,-,-,-
Operating Income,555,608.82,263.05,-
"Interest Income (Expense), Net Non-Operating",-,-54.58,-65.77,-
Gain (Loss) on Sale of Assets,-,-,-,-
"Other, Net",28,33.58,7.56,-
Net Income Before Taxes,527,587.82,204.84,-
Provision for Income Taxes,176,198.58,63.83,-
Net Income After Taxes,351,389.24,141.01,-
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,351,389.24,141.01,-
Total Extraordinary Items,-,-,-,-
Net Income,351,389.24,141.01,-
Total Adjustments to Net Income,-,-0,-0,-
Income Available to Common Excluding Extraordinary Items,351,389.24,141.01,-
Dilution Adjustment,-,-,-,-
Diluted Net Income,351,389.24,141.01,-
Diluted Weighted Average Shares,2.02,2.02,2.02,-
Diluted EPS Excluding Extraordinary Items,173.76,192.69,69.8,-
DPS - Common Stock Primary Issue,-,-,-,-
Diluted Normalized EPS,163.06,192.69,69.8,-
