Period Ending:,202231/10,202131/10,202031/10,201931/10
Total Revenue,406813,362064,340870,299616
"Revenue 406813 362064 340870 299616  Other Revenue, Total - - - -","Revenue 406813 362064 340870 299616  Other Revenue, Total - - - -","Revenue 406813 362064 340870 299616  Other Revenue, Total - - - -","Revenue 406813 362064 340870 299616  Other Revenue, Total - - - -","Revenue 406813 362064 340870 299616  Other Revenue, Total - - - -"
Revenue,406813,362064,340870,299616
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",360217,318940,295671,252486
Gross Profit,46596,43124,45199,47130
Total Operating Expenses,378993,334760,318806,281759
"Selling/General/Admin. Expenses, Total 18105 15313 20562 26848  Research & Development - - - -  Depreciation / Amortization 4896 499 785 1043  Interest Expense (Income) - Net Operating -86 - - -  Unusual Expense (Income) - 7 1787 1382  Other Operating Expenses, Total -4139 1 1 -","Selling/General/Admin. Expenses, Total 18105 15313 20562 26848  Research & Development - - - -  Depreciation / Amortization 4896 499 785 1043  Interest Expense (Income) - Net Operating -86 - - -  Unusual Expense (Income) - 7 1787 1382  Other Operating Expenses, Total -4139 1 1 -","Selling/General/Admin. Expenses, Total 18105 15313 20562 26848  Research & Development - - - -  Depreciation / Amortization 4896 499 785 1043  Interest Expense (Income) - Net Operating -86 - - -  Unusual Expense (Income) - 7 1787 1382  Other Operating Expenses, Total -4139 1 1 -","Selling/General/Admin. Expenses, Total 18105 15313 20562 26848  Research & Development - - - -  Depreciation / Amortization 4896 499 785 1043  Interest Expense (Income) - Net Operating -86 - - -  Unusual Expense (Income) - 7 1787 1382  Other Operating Expenses, Total -4139 1 1 -","Selling/General/Admin. Expenses, Total 18105 15313 20562 26848  Research & Development - - - -  Depreciation / Amortization 4896 499 785 1043  Interest Expense (Income) - Net Operating -86 - - -  Unusual Expense (Income) - 7 1787 1382  Other Operating Expenses, Total -4139 1 1 -"
"Selling/General/Admin. Expenses, Total",18105,15313,20562,26848
Research & Development,-,-,-,-
Depreciation / Amortization,4896,499,785,1043
Interest Expense (Income) - Net Operating,-86,-,-,-
Unusual Expense (Income),-,7,1787,1382
"Other Operating Expenses, Total",-4139,1,1,-
Operating Income,27820,27304,22064,17857
"Interest Income (Expense), Net Non-Operating",-,746,-72,-81
Gain (Loss) on Sale of Assets,-48,-55,368,125
"Other, Net",-3156,743,-129,194
Net Income Before Taxes,31024,28738,22231,18095
Provision for Income Taxes,10192,9145,8032,6255
Net Income After Taxes,20832,19593,14199,11840
Minority Interest,-,-,849,216
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,20832,19593,15048,12056
Total Extraordinary Items,-,-,-,-
Net Income,20832,19593,15048,12056
Total Adjustments to Net Income,-,-1,-1,-
Income Available to Common Excluding Extraordinary Items,20832,19592,15047,12056
Dilution Adjustment,-1.02,-,-,-
Diluted Net Income,20833.02,19592,15047,12056
Diluted Weighted Average Shares,221.93,221.34,220.5,217.46
Diluted EPS Excluding Extraordinary Items,93.87,88.52,68.24,55.44
DPS - Common Stock Primary Issue,21,20,12.5,8.75
Diluted Normalized EPS,89.12,88.73,72.71,59.79
