Period Ending:,202230/09,202130/09,202030/09,201930/09
Total Revenue,6310,5501,5764.63,6966.72
"Revenue 6310 5501.51 5764.63 6966.72  Other Revenue, Total - - - -","Revenue 6310 5501.51 5764.63 6966.72  Other Revenue, Total - - - -","Revenue 6310 5501.51 5764.63 6966.72  Other Revenue, Total - - - -","Revenue 6310 5501.51 5764.63 6966.72  Other Revenue, Total - - - -","Revenue 6310 5501.51 5764.63 6966.72  Other Revenue, Total - - - -"
Revenue,6310,5501.51,5764.63,6966.72
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",3284,3216.94,3297.24,4458.14
Gross Profit,3026,2284.57,2467.39,2508.57
Total Operating Expenses,4686,4545.8,4666.41,5650.45
"Selling/General/Admin. Expenses, Total 1314 1133.96 1110.82 1031.83  Research & Development 88 178.93 172.28 160.48  Depreciation / Amortization 147 - - -  Interest Expense (Income) - Net Operating -6 - - -  Unusual Expense (Income) - 15.96 86.07 -  Other Operating Expenses, Total -141 - - -","Selling/General/Admin. Expenses, Total 1314 1133.96 1110.82 1031.83  Research & Development 88 178.93 172.28 160.48  Depreciation / Amortization 147 - - -  Interest Expense (Income) - Net Operating -6 - - -  Unusual Expense (Income) - 15.96 86.07 -  Other Operating Expenses, Total -141 - - -","Selling/General/Admin. Expenses, Total 1314 1133.96 1110.82 1031.83  Research & Development 88 178.93 172.28 160.48  Depreciation / Amortization 147 - - -  Interest Expense (Income) - Net Operating -6 - - -  Unusual Expense (Income) - 15.96 86.07 -  Other Operating Expenses, Total -141 - - -","Selling/General/Admin. Expenses, Total 1314 1133.96 1110.82 1031.83  Research & Development 88 178.93 172.28 160.48  Depreciation / Amortization 147 - - -  Interest Expense (Income) - Net Operating -6 - - -  Unusual Expense (Income) - 15.96 86.07 -  Other Operating Expenses, Total -141 - - -","Selling/General/Admin. Expenses, Total 1314 1133.96 1110.82 1031.83  Research & Development 88 178.93 172.28 160.48  Depreciation / Amortization 147 - - -  Interest Expense (Income) - Net Operating -6 - - -  Unusual Expense (Income) - 15.96 86.07 -  Other Operating Expenses, Total -141 - - -"
"Selling/General/Admin. Expenses, Total",1314,1133.96,1110.82,1031.83
Research & Development,88,178.93,172.28,160.48
Depreciation / Amortization,147,-,-,-
Interest Expense (Income) - Net Operating,-6,-,-,-
Unusual Expense (Income),-,15.96,86.07,-
"Other Operating Expenses, Total",-141,-,-,-
Operating Income,1624,955.71,1098.22,1316.27
"Interest Income (Expense), Net Non-Operating",-,-10.95,33.69,-5.39
Gain (Loss) on Sale of Assets,-9,-,-,-
"Other, Net",-46,-0.64,-1.51,0.2
Net Income Before Taxes,1679,944.12,1130.41,1311.08
Provision for Income Taxes,583,398.73,454.11,397.7
Net Income After Taxes,1096,545.38,676.3,913.38
Minority Interest,169,-2.21,-8.21,-43.12
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,1082,543.17,668.09,870.26
Total Extraordinary Items,-,-,-,-
Net Income,1082,543.17,668.09,870.26
Total Adjustments to Net Income,-,-0,-0,-0
Income Available to Common Excluding Extraordinary Items,1082,543.17,668.09,870.26
Dilution Adjustment,-,-,-,-
Diluted Net Income,1082,543.17,668.09,870.26
Diluted Weighted Average Shares,32.29,32.66,33.06,33.08
Diluted EPS Excluding Extraordinary Items,33.51,16.63,20.21,26.31
DPS - Common Stock Primary Issue,10,5,6,7.5
Diluted Normalized EPS,32.24,16.91,22.22,26.31
