Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,2655,2633,2317.14,3666.01
"Revenue 2655 2633.77 2317.14 3666.01  Other Revenue, Total - - - -","Revenue 2655 2633.77 2317.14 3666.01  Other Revenue, Total - - - -","Revenue 2655 2633.77 2317.14 3666.01  Other Revenue, Total - - - -","Revenue 2655 2633.77 2317.14 3666.01  Other Revenue, Total - - - -","Revenue 2655 2633.77 2317.14 3666.01  Other Revenue, Total - - - -"
Revenue,2655,2633.77,2317.14,3666.01
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",2248,2223,1947.14,2855.85
Gross Profit,407,410.8,370,810.16
Total Operating Expenses,2883,2873,2690.37,3563.72
"Selling/General/Admin. Expenses, Total 635 650 631.97 666.78  Research & Development - 9 113.59 13.89  Depreciation / Amortization 144 127 - -  Interest Expense (Income) - Net Operating -13 - - -  Unusual Expense (Income) - -8.55 -2.33 27.19  Other Operating Expenses, Total -131 -123 - -","Selling/General/Admin. Expenses, Total 635 650 631.97 666.78  Research & Development - 9 113.59 13.89  Depreciation / Amortization 144 127 - -  Interest Expense (Income) - Net Operating -13 - - -  Unusual Expense (Income) - -8.55 -2.33 27.19  Other Operating Expenses, Total -131 -123 - -","Selling/General/Admin. Expenses, Total 635 650 631.97 666.78  Research & Development - 9 113.59 13.89  Depreciation / Amortization 144 127 - -  Interest Expense (Income) - Net Operating -13 - - -  Unusual Expense (Income) - -8.55 -2.33 27.19  Other Operating Expenses, Total -131 -123 - -","Selling/General/Admin. Expenses, Total 635 650 631.97 666.78  Research & Development - 9 113.59 13.89  Depreciation / Amortization 144 127 - -  Interest Expense (Income) - Net Operating -13 - - -  Unusual Expense (Income) - -8.55 -2.33 27.19  Other Operating Expenses, Total -131 -123 - -","Selling/General/Admin. Expenses, Total 635 650 631.97 666.78  Research & Development - 9 113.59 13.89  Depreciation / Amortization 144 127 - -  Interest Expense (Income) - Net Operating -13 - - -  Unusual Expense (Income) - -8.55 -2.33 27.19  Other Operating Expenses, Total -131 -123 - -"
"Selling/General/Admin. Expenses, Total",635,650,631.97,666.78
Research & Development,-,9,113.59,13.89
Depreciation / Amortization,144,127,-,-
Interest Expense (Income) - Net Operating,-13,-,-,-
Unusual Expense (Income),-,-8.55,-2.33,27.19
"Other Operating Expenses, Total",-131,-123,-,-
Operating Income,-228,-231.28,-373.23,102.3
"Interest Income (Expense), Net Non-Operating",-,89.72,1.45,4.91
Gain (Loss) on Sale of Assets,126,83,0.13,0.34
"Other, Net",-267,-184,1.64,2.59
Net Income Before Taxes,-87,-138.74,-370.01,110.13
Provision for Income Taxes,24,5.91,8.6,24.51
Net Income After Taxes,-111,-144,-378.61,85.62
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,-111,-144.64,-378.61,85.62
Total Extraordinary Items,-,-,-,-
Net Income,-111,-144,-378.61,85.62
Total Adjustments to Net Income,-,-,-,-0
Income Available to Common Excluding Extraordinary Items,-111,-144,-378.61,85.61
Dilution Adjustment,-,-,-,-
Diluted Net Income,-111,-144,-378.61,85.61
Diluted Weighted Average Shares,4.44,4.44,4.44,4.44
Diluted EPS Excluding Extraordinary Items,-25.02,-32.6,-85.33,19.29
DPS - Common Stock Primary Issue,10,10,10,10
Diluted Normalized EPS,-30,-31.27,-85.69,23.99
