Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,6584,6467,8417,9802.72
"Revenue 6191 6123 4415 9802.72  Other Revenue, Total 393 344 4002 -","Revenue 6191 6123 4415 9802.72  Other Revenue, Total 393 344 4002 -","Revenue 6191 6123 4415 9802.72  Other Revenue, Total 393 344 4002 -","Revenue 6191 6123 4415 9802.72  Other Revenue, Total 393 344 4002 -","Revenue 6191 6123 4415 9802.72  Other Revenue, Total 393 344 4002 -"
Revenue,6191,6123,4415,9802.72
"Other Revenue, Total",393,344,4002,-
"Cost of Revenue, Total",5281,5168,6943,8227.28
Gross Profit,1303,1299,1474,1575.45
Total Operating Expenses,6238,6101,7909,9244.86
"Selling/General/Admin. Expenses, Total 957 928 957 997.35  Research & Development - 2 5 4.68  Depreciation / Amortization 236 208 214 5.25  Interest Expense (Income) - Net Operating -3 -12 -12 -  Unusual Expense (Income) - 11.04 16.78 10.31  Other Operating Expenses, Total -233 -193 -198 -","Selling/General/Admin. Expenses, Total 957 928 957 997.35  Research & Development - 2 5 4.68  Depreciation / Amortization 236 208 214 5.25  Interest Expense (Income) - Net Operating -3 -12 -12 -  Unusual Expense (Income) - 11.04 16.78 10.31  Other Operating Expenses, Total -233 -193 -198 -","Selling/General/Admin. Expenses, Total 957 928 957 997.35  Research & Development - 2 5 4.68  Depreciation / Amortization 236 208 214 5.25  Interest Expense (Income) - Net Operating -3 -12 -12 -  Unusual Expense (Income) - 11.04 16.78 10.31  Other Operating Expenses, Total -233 -193 -198 -","Selling/General/Admin. Expenses, Total 957 928 957 997.35  Research & Development - 2 5 4.68  Depreciation / Amortization 236 208 214 5.25  Interest Expense (Income) - Net Operating -3 -12 -12 -  Unusual Expense (Income) - 11.04 16.78 10.31  Other Operating Expenses, Total -233 -193 -198 -","Selling/General/Admin. Expenses, Total 957 928 957 997.35  Research & Development - 2 5 4.68  Depreciation / Amortization 236 208 214 5.25  Interest Expense (Income) - Net Operating -3 -12 -12 -  Unusual Expense (Income) - 11.04 16.78 10.31  Other Operating Expenses, Total -233 -193 -198 -"
"Selling/General/Admin. Expenses, Total",957,928,957,997.35
Research & Development,-,2,5,4.68
Depreciation / Amortization,236,208,214,5.25
Interest Expense (Income) - Net Operating,-3,-12,-12,-
Unusual Expense (Income),-,11.04,16.78,10.31
"Other Operating Expenses, Total",-233,-193,-198,-
Operating Income,346,366,508,557.86
"Interest Income (Expense), Net Non-Operating",-,63.88,112.59,38.6
Gain (Loss) on Sale of Assets,31,7,58,-
"Other, Net",-140,-109,-165,-17.2
Net Income Before Taxes,455,468,615,579.26
Provision for Income Taxes,-,159,205,197.43
Net Income After Taxes,311,309,410,381.84
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,311,309,410,381.84
Total Extraordinary Items,-,-,-,-
Net Income,311,309,410,381.84
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,311,309,410,381.84
Dilution Adjustment,-,-,-,-
Diluted Net Income,311,309,410,381.84
Diluted Weighted Average Shares,13.15,13.15,13.15,13.15
Diluted EPS Excluding Extraordinary Items,23.65,23.5,31.18,29.04
DPS - Common Stock Primary Issue,-,13,13,13
Diluted Normalized EPS,20.44,22.44,27.24,29.56
