Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,2458141,2038909,1455476,2270276
"Revenue 2458141 2038909 1455476 2270276  Other Revenue, Total - - - -","Revenue 2458141 2038909 1455476 2270276  Other Revenue, Total - - - -","Revenue 2458141 2038909 1455476 2270276  Other Revenue, Total - - - -","Revenue 2458141 2038909 1455476 2270276  Other Revenue, Total - - - -","Revenue 2458141 2038909 1455476 2270276  Other Revenue, Total - - - -"
Revenue,2458141,2038909,1455476,2270276
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",1935341,1676459,1299021,1932762
Gross Profit,522800,362450,156455,337514
Total Operating Expenses,2267645,1965169,1749492,2258162
"Selling/General/Admin. Expenses, Total 256763 204896 180888 232395  Research & Development 61025 57507 55990 73826  Depreciation / Amortization 60132 12715 14898 18505  Interest Expense (Income) - Net Operating -3559 - - -  Unusual Expense (Income) - 13591 198695 674  Other Operating Expenses, Total -42057 -35830 - -","Selling/General/Admin. Expenses, Total 256763 204896 180888 232395  Research & Development 61025 57507 55990 73826  Depreciation / Amortization 60132 12715 14898 18505  Interest Expense (Income) - Net Operating -3559 - - -  Unusual Expense (Income) - 13591 198695 674  Other Operating Expenses, Total -42057 -35830 - -","Selling/General/Admin. Expenses, Total 256763 204896 180888 232395  Research & Development 61025 57507 55990 73826  Depreciation / Amortization 60132 12715 14898 18505  Interest Expense (Income) - Net Operating -3559 - - -  Unusual Expense (Income) - 13591 198695 674  Other Operating Expenses, Total -42057 -35830 - -","Selling/General/Admin. Expenses, Total 256763 204896 180888 232395  Research & Development 61025 57507 55990 73826  Depreciation / Amortization 60132 12715 14898 18505  Interest Expense (Income) - Net Operating -3559 - - -  Unusual Expense (Income) - 13591 198695 674  Other Operating Expenses, Total -42057 -35830 - -","Selling/General/Admin. Expenses, Total 256763 204896 180888 232395  Research & Development 61025 57507 55990 73826  Depreciation / Amortization 60132 12715 14898 18505  Interest Expense (Income) - Net Operating -3559 - - -  Unusual Expense (Income) - 13591 198695 674  Other Operating Expenses, Total -42057 -35830 - -"
"Selling/General/Admin. Expenses, Total",256763,204896,180888,232395
Research & Development,61025,57507,55990,73826
Depreciation / Amortization,60132,12715,14898,18505
Interest Expense (Income) - Net Operating,-3559,-,-,-
Unusual Expense (Income),-,13591,198695,674
"Other Operating Expenses, Total",-42057,-35830,-,-
Operating Income,190496,73740,-294016,12114
"Interest Income (Expense), Net Non-Operating",-,15291,-8230,-13343
Gain (Loss) on Sale of Assets,25582,5725,2987,6489
"Other, Net",-3214,-13081,970,-1459
Net Income Before Taxes,168128,94689,-298289,3801
Provision for Income Taxes,-8232,15539,11139,25857
Net Income After Taxes,176360,79150,-309428,-22056
Minority Interest,29208,-5112,-2888,-3723
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,168730,74037,-312316,-25779
Total Extraordinary Items,-,-,-,-
Net Income,168730,74038,-312316,-25779
Total Adjustments to Net Income,-,-1,-1,-
Income Available to Common Excluding Extraordinary Items,168730,74037,-312317,-25779
Dilution Adjustment,-,-,-,-
Diluted Net Income,168730,74037,-312317,-25779
Diluted Weighted Average Shares,1488.44,1488.48,1488.07,1488.31
Diluted EPS Excluding Extraordinary Items,113.36,49.74,-209.88,-17.32
DPS - Common Stock Primary Issue,-,-,-,10
Diluted Normalized EPS,71.3,54.21,-124.39,-19.86
