Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,11860,10659,9113.37,7275.97
"Revenue 11860 10659 9113.37 7275.97  Other Revenue, Total - - - -","Revenue 11860 10659 9113.37 7275.97  Other Revenue, Total - - - -","Revenue 11860 10659 9113.37 7275.97  Other Revenue, Total - - - -","Revenue 11860 10659 9113.37 7275.97  Other Revenue, Total - - - -","Revenue 11860 10659 9113.37 7275.97  Other Revenue, Total - - - -"
Revenue,11860,10659,9113.37,7275.97
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",10597,9629,8254.55,6404.54
Gross Profit,1263,1030,858.82,871.43
Total Operating Expenses,11892,10873,9631.32,7675.25
"Selling/General/Admin. Expenses, Total 1295 1231 1226.23 1179.31  Research & Development - - - -  Depreciation / Amortization 861 841 14.77 15.38  Interest Expense (Income) - Net Operating -23 -45 - -  Unusual Expense (Income) - 82.25 135.78 76.02  Other Operating Expenses, Total -829 -783 - -","Selling/General/Admin. Expenses, Total 1295 1231 1226.23 1179.31  Research & Development - - - -  Depreciation / Amortization 861 841 14.77 15.38  Interest Expense (Income) - Net Operating -23 -45 - -  Unusual Expense (Income) - 82.25 135.78 76.02  Other Operating Expenses, Total -829 -783 - -","Selling/General/Admin. Expenses, Total 1295 1231 1226.23 1179.31  Research & Development - - - -  Depreciation / Amortization 861 841 14.77 15.38  Interest Expense (Income) - Net Operating -23 -45 - -  Unusual Expense (Income) - 82.25 135.78 76.02  Other Operating Expenses, Total -829 -783 - -","Selling/General/Admin. Expenses, Total 1295 1231 1226.23 1179.31  Research & Development - - - -  Depreciation / Amortization 861 841 14.77 15.38  Interest Expense (Income) - Net Operating -23 -45 - -  Unusual Expense (Income) - 82.25 135.78 76.02  Other Operating Expenses, Total -829 -783 - -","Selling/General/Admin. Expenses, Total 1295 1231 1226.23 1179.31  Research & Development - - - -  Depreciation / Amortization 861 841 14.77 15.38  Interest Expense (Income) - Net Operating -23 -45 - -  Unusual Expense (Income) - 82.25 135.78 76.02  Other Operating Expenses, Total -829 -783 - -"
"Selling/General/Admin. Expenses, Total",1295,1231,1226.23,1179.31
Research & Development,-,-,-,-
Depreciation / Amortization,861,841,14.77,15.38
Interest Expense (Income) - Net Operating,-23,-45,-,-
Unusual Expense (Income),-,82.25,135.78,76.02
"Other Operating Expenses, Total",-829,-783,-,-
Operating Income,-32,-214,-517.95,-399.28
"Interest Income (Expense), Net Non-Operating",-,-27.95,-26.83,-29.02
Gain (Loss) on Sale of Assets,-,-,-,-
"Other, Net",-361,-1279,1392.74,2237.3
Net Income Before Taxes,329,1065,847.96,1808.99
Provision for Income Taxes,141,379,299.98,633.38
Net Income After Taxes,188,686,547.98,1175.61
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,188,686,547.98,1175.61
Total Extraordinary Items,-,-,-,-
Net Income,188,686,547.98,1175.61
Total Adjustments to Net Income,-,-,-,-0
Income Available to Common Excluding Extraordinary Items,188,686,547.98,1175.61
Dilution Adjustment,-0.092,-0.322,-,-
Diluted Net Income,188.09,686.32,547.98,1175.61
Diluted Weighted Average Shares,3.26,3.23,3.25,2.75
Diluted EPS Excluding Extraordinary Items,57.74,212.39,168.76,427.84
DPS - Common Stock Primary Issue,-,-,-,-
Diluted Normalized EPS,72.33,221.84,195.79,445.82
