Period Ending:,202231/03,202131/03,202031/03,201931/03
Total Revenue,9743.87,9553.32,10596.12,9373.31
"Revenue 9743.87 9553.32 10596.12 9373.31  Other Revenue, Total - - - -","Revenue 9743.87 9553.32 10596.12 9373.31  Other Revenue, Total - - - -","Revenue 9743.87 9553.32 10596.12 9373.31  Other Revenue, Total - - - -","Revenue 9743.87 9553.32 10596.12 9373.31  Other Revenue, Total - - - -","Revenue 9743.87 9553.32 10596.12 9373.31  Other Revenue, Total - - - -"
Revenue,9743.87,9553.32,10596.12,9373.31
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",8091.81,8130.44,9132.81,7960.29
Gross Profit,1652.06,1422.88,1463.31,1413.02
Total Operating Expenses,9191.3,9170.29,10236.06,9028.1
"Selling/General/Admin. Expenses, Total 896.5 822.5 840.36 850.62  Research & Development 189.52 233.38 221.89 222.04  Depreciation / Amortization 13.46 17.86 14.11 14.26  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - -33.9 26.89 -19.1  Other Operating Expenses, Total - - - -","Selling/General/Admin. Expenses, Total 896.5 822.5 840.36 850.62  Research & Development 189.52 233.38 221.89 222.04  Depreciation / Amortization 13.46 17.86 14.11 14.26  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - -33.9 26.89 -19.1  Other Operating Expenses, Total - - - -","Selling/General/Admin. Expenses, Total 896.5 822.5 840.36 850.62  Research & Development 189.52 233.38 221.89 222.04  Depreciation / Amortization 13.46 17.86 14.11 14.26  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - -33.9 26.89 -19.1  Other Operating Expenses, Total - - - -","Selling/General/Admin. Expenses, Total 896.5 822.5 840.36 850.62  Research & Development 189.52 233.38 221.89 222.04  Depreciation / Amortization 13.46 17.86 14.11 14.26  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - -33.9 26.89 -19.1  Other Operating Expenses, Total - - - -","Selling/General/Admin. Expenses, Total 896.5 822.5 840.36 850.62  Research & Development 189.52 233.38 221.89 222.04  Depreciation / Amortization 13.46 17.86 14.11 14.26  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - -33.9 26.89 -19.1  Other Operating Expenses, Total - - - -"
"Selling/General/Admin. Expenses, Total",896.5,822.5,840.36,850.62
Research & Development,189.52,233.38,221.89,222.04
Depreciation / Amortization,13.46,17.86,14.11,14.26
Interest Expense (Income) - Net Operating,-,-,-,-
Unusual Expense (Income),-,-33.9,26.89,-19.1
"Other Operating Expenses, Total",-,-,-,-
Operating Income,552.58,383.04,360.06,345.21
"Interest Income (Expense), Net Non-Operating",-65.6,-68.41,-62.3,-70.85
Gain (Loss) on Sale of Assets,-,6.25,-,-
"Other, Net",-222.28,-169.91,-162.7,-175.76
Net Income Before Taxes,264.69,150.97,135.06,98.6
Provision for Income Taxes,85.53,-29.18,44.3,35.59
Net Income After Taxes,179.17,180.16,90.77,63.01
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,179.17,180.16,90.77,63.01
Total Extraordinary Items,-,-,-,-
Net Income,179.17,180.16,90.77,63.01
Total Adjustments to Net Income,-,-,-0,-0
Income Available to Common Excluding Extraordinary Items,179.17,180.16,90.77,63.01
Dilution Adjustment,-,-,-,-
Diluted Net Income,179.17,180.16,90.77,63.01
Diluted Weighted Average Shares,16.33,16.41,16.38,16.38
Diluted EPS Excluding Extraordinary Items,10.97,10.98,5.54,3.85
DPS - Common Stock Primary Issue,4,3.5,3.5,3
Diluted Normalized EPS,10.97,9.39,6.64,3.1
