Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,6437,4938,3538.44,6724.66
"Revenue 6437 4938 3538.44 6724.66  Other Revenue, Total - - - -","Revenue 6437 4938 3538.44 6724.66  Other Revenue, Total - - - -","Revenue 6437 4938 3538.44 6724.66  Other Revenue, Total - - - -","Revenue 6437 4938 3538.44 6724.66  Other Revenue, Total - - - -","Revenue 6437 4938 3538.44 6724.66  Other Revenue, Total - - - -"
Revenue,6437,4938,3538.44,6724.66
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",4847,4046,2901.78,5122.89
Gross Profit,1590,892,636.66,1601.77
Total Operating Expenses,5694,4752,3623.82,6065.55
"Selling/General/Admin. Expenses, Total 847 706 717.95 940.12  Research & Development - 299 - -  Depreciation / Amortization 94 99 - -  Interest Expense (Income) - Net Operating -3 -3 - -  Unusual Expense (Income) - 5.46 4.09 2.55  Other Operating Expenses, Total -273 -395 - -","Selling/General/Admin. Expenses, Total 847 706 717.95 940.12  Research & Development - 299 - -  Depreciation / Amortization 94 99 - -  Interest Expense (Income) - Net Operating -3 -3 - -  Unusual Expense (Income) - 5.46 4.09 2.55  Other Operating Expenses, Total -273 -395 - -","Selling/General/Admin. Expenses, Total 847 706 717.95 940.12  Research & Development - 299 - -  Depreciation / Amortization 94 99 - -  Interest Expense (Income) - Net Operating -3 -3 - -  Unusual Expense (Income) - 5.46 4.09 2.55  Other Operating Expenses, Total -273 -395 - -","Selling/General/Admin. Expenses, Total 847 706 717.95 940.12  Research & Development - 299 - -  Depreciation / Amortization 94 99 - -  Interest Expense (Income) - Net Operating -3 -3 - -  Unusual Expense (Income) - 5.46 4.09 2.55  Other Operating Expenses, Total -273 -395 - -","Selling/General/Admin. Expenses, Total 847 706 717.95 940.12  Research & Development - 299 - -  Depreciation / Amortization 94 99 - -  Interest Expense (Income) - Net Operating -3 -3 - -  Unusual Expense (Income) - 5.46 4.09 2.55  Other Operating Expenses, Total -273 -395 - -"
"Selling/General/Admin. Expenses, Total",847,706,717.95,940.12
Research & Development,-,299,-,-
Depreciation / Amortization,94,99,-,-
Interest Expense (Income) - Net Operating,-3,-3,-,-
Unusual Expense (Income),-,5.46,4.09,2.55
"Other Operating Expenses, Total",-273,-395,-,-
Operating Income,743,186,-85.38,659.11
"Interest Income (Expense), Net Non-Operating",-,-0.38,21.65,0.75
Gain (Loss) on Sale of Assets,4,-1,0.24,0.39
"Other, Net",-29,-90,168.07,15.97
Net Income Before Taxes,768,277,104.58,676.22
Provision for Income Taxes,85,54,100.79,452.9
Net Income After Taxes,683,223,3.79,223.31
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,683,223,3.79,223.31
Total Extraordinary Items,-,-,-,-
Net Income,683,223,3.79,223.31
Total Adjustments to Net Income,-,-,-,-0
Income Available to Common Excluding Extraordinary Items,-,223,3.79,223.31
Dilution Adjustment,-,-,-,-
Diluted Net Income,683,223,3.79,223.31
Diluted Weighted Average Shares,1.39,1.39,1.37,1.35
Diluted EPS Excluding Extraordinary Items,489.9,160.78,2.76,165.05
DPS - Common Stock Primary Issue,80,60,50,80
Diluted Normalized EPS,342.5,125.27,4.59,166.09
