Period Ending:,202231/08,202131/08,202031/08,Unnamed: 4
Total Revenue,2424,2122,1792,-
"Revenue 2424 2122.31 1792 -  Other Revenue, Total - - - -","Revenue 2424 2122.31 1792 -  Other Revenue, Total - - - -","Revenue 2424 2122.31 1792 -  Other Revenue, Total - - - -","Revenue 2424 2122.31 1792 -  Other Revenue, Total - - - -","Revenue 2424 2122.31 1792 -  Other Revenue, Total - - - -"
Revenue,2424,2122.31,1792,-
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",1731,1580.33,1458.85,-
Gross Profit,693,541.97,333.15,-
Total Operating Expenses,2291,2083.85,2059.15,-
"Selling/General/Admin. Expenses, Total 557 477.57 503.57 -  Research & Development 5 - - -  Depreciation / Amortization 28 3.89 3.74 -  Interest Expense (Income) - Net Operating -1 - - -  Unusual Expense (Income) - 22.05 92.99 -  Other Operating Expenses, Total -29 - - -","Selling/General/Admin. Expenses, Total 557 477.57 503.57 -  Research & Development 5 - - -  Depreciation / Amortization 28 3.89 3.74 -  Interest Expense (Income) - Net Operating -1 - - -  Unusual Expense (Income) - 22.05 92.99 -  Other Operating Expenses, Total -29 - - -","Selling/General/Admin. Expenses, Total 557 477.57 503.57 -  Research & Development 5 - - -  Depreciation / Amortization 28 3.89 3.74 -  Interest Expense (Income) - Net Operating -1 - - -  Unusual Expense (Income) - 22.05 92.99 -  Other Operating Expenses, Total -29 - - -","Selling/General/Admin. Expenses, Total 557 477.57 503.57 -  Research & Development 5 - - -  Depreciation / Amortization 28 3.89 3.74 -  Interest Expense (Income) - Net Operating -1 - - -  Unusual Expense (Income) - 22.05 92.99 -  Other Operating Expenses, Total -29 - - -","Selling/General/Admin. Expenses, Total 557 477.57 503.57 -  Research & Development 5 - - -  Depreciation / Amortization 28 3.89 3.74 -  Interest Expense (Income) - Net Operating -1 - - -  Unusual Expense (Income) - 22.05 92.99 -  Other Operating Expenses, Total -29 - - -"
"Selling/General/Admin. Expenses, Total",557,477.57,503.57,-
Research & Development,5,-,-,-
Depreciation / Amortization,28,3.89,3.74,-
Interest Expense (Income) - Net Operating,-1,-,-,-
Unusual Expense (Income),-,22.05,92.99,-
"Other Operating Expenses, Total",-29,-,-,-
Operating Income,133,38.46,-267.15,-
"Interest Income (Expense), Net Non-Operating",-,-1.65,-1.17,-
Gain (Loss) on Sale of Assets,-,-,-,-
"Other, Net",27,25.07,8.74,-
Net Income Before Taxes,106,61.88,-259.58,-
Provision for Income Taxes,-6,23.86,1.16,-
Net Income After Taxes,112,38.02,-260.75,-
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,112,38.02,-260.75,-
Total Extraordinary Items,-,-,-,-
Net Income,112,38.02,-260.75,-
Total Adjustments to Net Income,-,-,-0,-
Income Available to Common Excluding Extraordinary Items,112,38.02,-260.75,-
Dilution Adjustment,-0.336,-,-,-
Diluted Net Income,112.34,38.02,-260.75,-
Diluted Weighted Average Shares,6.72,6.8,6.8,-
Diluted EPS Excluding Extraordinary Items,16.72,5.59,-38.33,-
DPS - Common Stock Primary Issue,-,-,-,-
Diluted Normalized EPS,10.7,8.15,-28.9,-
