Period Ending:,202230/06,202130/06,202030/06,Unnamed: 4
Total Revenue,16524,16233.78,16062.54,-
"Revenue 16523 16233.78 16062.54 -  Other Revenue, Total 1 - - -","Revenue 16523 16233.78 16062.54 -  Other Revenue, Total 1 - - -","Revenue 16523 16233.78 16062.54 -  Other Revenue, Total 1 - - -","Revenue 16523 16233.78 16062.54 -  Other Revenue, Total 1 - - -","Revenue 16523 16233.78 16062.54 -  Other Revenue, Total 1 - - -"
Revenue,16523,16233.78,16062.54,-
"Other Revenue, Total",1,-,-,-
"Cost of Revenue, Total",12952,12593.56,12715.84,-
Gross Profit,3572,3640.23,3346.7,-
Total Operating Expenses,14816,14217.12,14221.32,-
"Selling/General/Admin. Expenses, Total 1864 1605.3 1491.79 -  Research & Development - - - -  Depreciation / Amortization 15 18.26 13.69 -  Interest Expense (Income) - Net Operating -236 - - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total 221 - - -","Selling/General/Admin. Expenses, Total 1864 1605.3 1491.79 -  Research & Development - - - -  Depreciation / Amortization 15 18.26 13.69 -  Interest Expense (Income) - Net Operating -236 - - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total 221 - - -","Selling/General/Admin. Expenses, Total 1864 1605.3 1491.79 -  Research & Development - - - -  Depreciation / Amortization 15 18.26 13.69 -  Interest Expense (Income) - Net Operating -236 - - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total 221 - - -","Selling/General/Admin. Expenses, Total 1864 1605.3 1491.79 -  Research & Development - - - -  Depreciation / Amortization 15 18.26 13.69 -  Interest Expense (Income) - Net Operating -236 - - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total 221 - - -","Selling/General/Admin. Expenses, Total 1864 1605.3 1491.79 -  Research & Development - - - -  Depreciation / Amortization 15 18.26 13.69 -  Interest Expense (Income) - Net Operating -236 - - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total 221 - - -"
"Selling/General/Admin. Expenses, Total",1864,1605.3,1491.79,-
Research & Development,-,-,-,-
Depreciation / Amortization,15,18.26,13.69,-
Interest Expense (Income) - Net Operating,-236,-,-,-
Unusual Expense (Income),-,-,-,-
"Other Operating Expenses, Total",221,-,-,-
Operating Income,1708,2016.67,1841.22,-
"Interest Income (Expense), Net Non-Operating",-,-215.43,-202.45,-
Gain (Loss) on Sale of Assets,-,2.38,0.94,-
"Other, Net",-167,-39.54,-69.62,-
Net Income Before Taxes,1875,1764.08,1570.09,-
Provision for Income Taxes,727,653.55,481.75,-
Net Income After Taxes,1148,1110.53,1088.33,-
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,1148,1110.53,1088.33,-
Total Extraordinary Items,-,-,-,-
Net Income,1148,1110.53,1088.33,-
Total Adjustments to Net Income,-,-,-0,-
Income Available to Common Excluding Extraordinary Items,1148,1110.53,1088.33,-
Dilution Adjustment,-,-,-,-
Diluted Net Income,1148,1110.53,1088.33,-
Diluted Weighted Average Shares,3.21,3.21,3.21,-
Diluted EPS Excluding Extraordinary Items,357.3,345.64,338.73,-
DPS - Common Stock Primary Issue,-,-,-,-
Diluted Normalized EPS,364.73,345.17,338.53,-
