Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Revenue,65.08,64.71,34.34,32.03
"Revenue 65.08 64.71 34.34 32.03  Other Revenue, Total - - - -","Revenue 65.08 64.71 34.34 32.03  Other Revenue, Total - - - -","Revenue 65.08 64.71 34.34 32.03  Other Revenue, Total - - - -","Revenue 65.08 64.71 34.34 32.03  Other Revenue, Total - - - -","Revenue 65.08 64.71 34.34 32.03  Other Revenue, Total - - - -"
Revenue,65.08,64.71,34.34,32.03
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",29.18,29.66,16.13,16.39
Gross Profit,35.9,35.05,18.21,15.64
Total Operating Expenses,45.74,44.82,30.64,29.63
"Selling/General/Admin. Expenses, Total 8.75 8.79 7.26 6.78  Research & Development 7.8 6.37 7.24 6.47  Depreciation / Amortization 0.018 - - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -0.018 - - -","Selling/General/Admin. Expenses, Total 8.75 8.79 7.26 6.78  Research & Development 7.8 6.37 7.24 6.47  Depreciation / Amortization 0.018 - - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -0.018 - - -","Selling/General/Admin. Expenses, Total 8.75 8.79 7.26 6.78  Research & Development 7.8 6.37 7.24 6.47  Depreciation / Amortization 0.018 - - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -0.018 - - -","Selling/General/Admin. Expenses, Total 8.75 8.79 7.26 6.78  Research & Development 7.8 6.37 7.24 6.47  Depreciation / Amortization 0.018 - - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -0.018 - - -","Selling/General/Admin. Expenses, Total 8.75 8.79 7.26 6.78  Research & Development 7.8 6.37 7.24 6.47  Depreciation / Amortization 0.018 - - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -0.018 - - -"
"Selling/General/Admin. Expenses, Total",8.75,8.79,7.26,6.78
Research & Development,7.8,6.37,7.24,6.47
Depreciation / Amortization,0.018,-,-,-
Interest Expense (Income) - Net Operating,-,-,-,-
Unusual Expense (Income),-,-,-,-
"Other Operating Expenses, Total",-0.018,-,-,-
Operating Income,19.35,19.88,3.7,2.4
"Interest Income (Expense), Net Non-Operating",-,-,-,-
Gain (Loss) on Sale of Assets,-,-,-,-
"Other, Net",-0.246,-0.029,0.22,0.05
Net Income Before Taxes,19.59,19.91,3.92,2.45
Provision for Income Taxes,1.93,2.63,0.57,0.26
Net Income After Taxes,17.66,17.29,3.34,2.19
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,17.66,17.29,3.34,2.19
Total Extraordinary Items,-,-,-,-
Net Income,17.66,17.29,3.34,2.19
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,17.66,17.29,3.34,2.19
Dilution Adjustment,0.053,0.021,-,-
Diluted Net Income,17.61,17.27,3.34,2.19
Diluted Weighted Average Shares,18.54,18.57,17.93,17.88
Diluted EPS Excluding Extraordinary Items,0.95,0.93,0.19,0.12
DPS - Common Stock Primary Issue,-,-,-,-
Diluted Normalized EPS,0.661,0.67,0.19,0.12
