Period Ending:,202330/04,202230/04,202130/04,202030/04
Total Revenue,5320.98,4789,4364.72,3477.67
"Revenue 5320.98 4789.98 4364.72 3477.67  Other Revenue, Total - - - -","Revenue 5320.98 4789.98 4364.72 3477.67  Other Revenue, Total - - - -","Revenue 5320.98 4789.98 4364.72 3477.67  Other Revenue, Total - - - -","Revenue 5320.98 4789.98 4364.72 3477.67  Other Revenue, Total - - - -","Revenue 5320.98 4789.98 4364.72 3477.67  Other Revenue, Total - - - -"
Revenue,5320.98,4789.98,4364.72,3477.67
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",1036.83,838.35,650.08,733.77
Gross Profit,4284.16,3951,3714.65,2743.9
Total Operating Expenses,4128,3663,3179.41,2771.58
"Selling/General/Admin. Expenses, Total 3090.93 2807 2518.48 2037.81  Research & Development - - - -  Depreciation / Amortization 108.28 110 - -  Interest Expense (Income) - Net Operating -4.65 - - -  Unusual Expense (Income) - 473.31 10.86 -  Other Operating Expenses, Total -103.38 -87 - -","Selling/General/Admin. Expenses, Total 3090.93 2807 2518.48 2037.81  Research & Development - - - -  Depreciation / Amortization 108.28 110 - -  Interest Expense (Income) - Net Operating -4.65 - - -  Unusual Expense (Income) - 473.31 10.86 -  Other Operating Expenses, Total -103.38 -87 - -","Selling/General/Admin. Expenses, Total 3090.93 2807 2518.48 2037.81  Research & Development - - - -  Depreciation / Amortization 108.28 110 - -  Interest Expense (Income) - Net Operating -4.65 - - -  Unusual Expense (Income) - 473.31 10.86 -  Other Operating Expenses, Total -103.38 -87 - -","Selling/General/Admin. Expenses, Total 3090.93 2807 2518.48 2037.81  Research & Development - - - -  Depreciation / Amortization 108.28 110 - -  Interest Expense (Income) - Net Operating -4.65 - - -  Unusual Expense (Income) - 473.31 10.86 -  Other Operating Expenses, Total -103.38 -87 - -","Selling/General/Admin. Expenses, Total 3090.93 2807 2518.48 2037.81  Research & Development - - - -  Depreciation / Amortization 108.28 110 - -  Interest Expense (Income) - Net Operating -4.65 - - -  Unusual Expense (Income) - 473.31 10.86 -  Other Operating Expenses, Total -103.38 -87 - -"
"Selling/General/Admin. Expenses, Total",3090.93,2807,2518.48,2037.81
Research & Development,-,-,-,-
Depreciation / Amortization,108.28,110,-,-
Interest Expense (Income) - Net Operating,-4.65,-,-,-
Unusual Expense (Income),-,473.31,10.86,-
"Other Operating Expenses, Total",-103.38,-87,-,-
Operating Income,1192.99,1126,1185.31,706.09
"Interest Income (Expense), Net Non-Operating",-,7.68,29.12,-
Gain (Loss) on Sale of Assets,11.9,-325,-,-
"Other, Net",103.26,790,-8.33,2.36
Net Income Before Taxes,1077.82,661,1206.11,708.45
Provision for Income Taxes,409.02,307,405.14,257.35
Net Income After Taxes,668.8,354,800.97,451.1
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,668.8,354,800.97,451.1
Total Extraordinary Items,-,-,-,-
Net Income,668.8,354,800.97,451.1
Total Adjustments to Net Income,-,-,-0,-
Income Available to Common Excluding Extraordinary Items,668.8,354.66,800.97,451.1
Dilution Adjustment,-0.056,-0.659,0.04,-
Diluted Net Income,668.86,354.66,801.01,451.1
Diluted Weighted Average Shares,22.21,22.31,22.13,19.74
Diluted EPS Excluding Extraordinary Items,30.12,15.9,36.19,22.85
DPS - Common Stock Primary Issue,18,20,17,6.5
Diluted Normalized EPS,33.64,31.77,38.25,25.01
