Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Revenue,352300,317695,288332,281763
"Revenue 352300 317695 288332 281763  Other Revenue, Total - - - -","Revenue 352300 317695 288332 281763  Other Revenue, Total - - - -","Revenue 352300 317695 288332 281763  Other Revenue, Total - - - -","Revenue 352300 317695 288332 281763  Other Revenue, Total - - - -","Revenue 352300 317695 288332 281763  Other Revenue, Total - - - -"
Revenue,352300,317695,288332,281763
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",287969,254265,230075,225666
Gross Profit,64331,63430,58257,56097
Total Operating Expenses,318493,286268,258902,255164
"Selling/General/Admin. Expenses, Total 30524 26317 24581 26182  Research & Development - 230 308 283  Depreciation / Amortization 13895 2364 2077 1613  Interest Expense (Income) - Net Operating -5 - - -  Unusual Expense (Income) - 3091 1860 1419  Other Operating Expenses, Total -13890 1 1 1","Selling/General/Admin. Expenses, Total 30524 26317 24581 26182  Research & Development - 230 308 283  Depreciation / Amortization 13895 2364 2077 1613  Interest Expense (Income) - Net Operating -5 - - -  Unusual Expense (Income) - 3091 1860 1419  Other Operating Expenses, Total -13890 1 1 1","Selling/General/Admin. Expenses, Total 30524 26317 24581 26182  Research & Development - 230 308 283  Depreciation / Amortization 13895 2364 2077 1613  Interest Expense (Income) - Net Operating -5 - - -  Unusual Expense (Income) - 3091 1860 1419  Other Operating Expenses, Total -13890 1 1 1","Selling/General/Admin. Expenses, Total 30524 26317 24581 26182  Research & Development - 230 308 283  Depreciation / Amortization 13895 2364 2077 1613  Interest Expense (Income) - Net Operating -5 - - -  Unusual Expense (Income) - 3091 1860 1419  Other Operating Expenses, Total -13890 1 1 1","Selling/General/Admin. Expenses, Total 30524 26317 24581 26182  Research & Development - 230 308 283  Depreciation / Amortization 13895 2364 2077 1613  Interest Expense (Income) - Net Operating -5 - - -  Unusual Expense (Income) - 3091 1860 1419  Other Operating Expenses, Total -13890 1 1 1"
"Selling/General/Admin. Expenses, Total",30524,26317,24581,26182
Research & Development,-,230,308,283
Depreciation / Amortization,13895,2364,2077,1613
Interest Expense (Income) - Net Operating,-5,-,-,-
Unusual Expense (Income),-,3091,1860,1419
"Other Operating Expenses, Total",-13890,1,1,1
Operating Income,33807,34554,29430,26599
"Interest Income (Expense), Net Non-Operating",-,82,108,88
Gain (Loss) on Sale of Assets,-1266,247,-,-
"Other, Net",3897,4367,1016,267
Net Income Before Taxes,31176,32711,30554,26954
Provision for Income Taxes,11239,8765,10367,10069
Net Income After Taxes,19937,23946,20187,16885
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,19937,23946,20187,16885
Total Extraordinary Items,-,-,-,-
Net Income,19937,23946,20187,16885
Total Adjustments to Net Income,-,-1,-1,-
Income Available to Common Excluding Extraordinary Items,19937,23945,20186,16885
Dilution Adjustment,-,-,-,-
Diluted Net Income,19937,23945,20186,16885
Diluted Weighted Average Shares,132.96,132.96,132.96,132.96
Diluted EPS Excluding Extraordinary Items,149.95,180.09,151.82,126.99
DPS - Common Stock Primary Issue,-,39,36,33
Diluted Normalized EPS,160.38,195.75,161.06,133.68
