Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,11082,10262,9893.71,9893.93
"Revenue 11082 10262.66 9893.71 9893.93  Other Revenue, Total - - - -","Revenue 11082 10262.66 9893.71 9893.93  Other Revenue, Total - - - -","Revenue 11082 10262.66 9893.71 9893.93  Other Revenue, Total - - - -","Revenue 11082 10262.66 9893.71 9893.93  Other Revenue, Total - - - -","Revenue 11082 10262.66 9893.71 9893.93  Other Revenue, Total - - - -"
Revenue,11082,10262.66,9893.71,9893.93
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",8166,7468.69,6920.72,7031.45
Gross Profit,2916,2793.98,2972.99,2862.47
Total Operating Expenses,10827,9416.67,9235.85,9454.13
"Selling/General/Admin. Expenses, Total 2661 2378.99 2282.91 2408.18  Research & Development - - - -  Depreciation / Amortization - - - -  Interest Expense (Income) - Net Operating -4 - - -  Unusual Expense (Income) - -431.01 32.22 14.5  Other Operating Expenses, Total -309 - - -","Selling/General/Admin. Expenses, Total 2661 2378.99 2282.91 2408.18  Research & Development - - - -  Depreciation / Amortization - - - -  Interest Expense (Income) - Net Operating -4 - - -  Unusual Expense (Income) - -431.01 32.22 14.5  Other Operating Expenses, Total -309 - - -","Selling/General/Admin. Expenses, Total 2661 2378.99 2282.91 2408.18  Research & Development - - - -  Depreciation / Amortization - - - -  Interest Expense (Income) - Net Operating -4 - - -  Unusual Expense (Income) - -431.01 32.22 14.5  Other Operating Expenses, Total -309 - - -","Selling/General/Admin. Expenses, Total 2661 2378.99 2282.91 2408.18  Research & Development - - - -  Depreciation / Amortization - - - -  Interest Expense (Income) - Net Operating -4 - - -  Unusual Expense (Income) - -431.01 32.22 14.5  Other Operating Expenses, Total -309 - - -","Selling/General/Admin. Expenses, Total 2661 2378.99 2282.91 2408.18  Research & Development - - - -  Depreciation / Amortization - - - -  Interest Expense (Income) - Net Operating -4 - - -  Unusual Expense (Income) - -431.01 32.22 14.5  Other Operating Expenses, Total -309 - - -"
"Selling/General/Admin. Expenses, Total",2661,2378.99,2282.91,2408.18
Research & Development,-,-,-,-
Depreciation / Amortization,-,-,-,-
Interest Expense (Income) - Net Operating,-4,-,-,-
Unusual Expense (Income),-,-431.01,32.22,14.5
"Other Operating Expenses, Total",-309,-,-,-
Operating Income,255,845.99,657.86,439.8
"Interest Income (Expense), Net Non-Operating",-,17.19,4.51,78.61
Gain (Loss) on Sale of Assets,595,6.46,-5.46,325.79
"Other, Net",-1283,55.17,68.91,76.14
Net Income Before Taxes,943,924.81,725.82,920.35
Provision for Income Taxes,156,169,216.72,235.21
Net Income After Taxes,787,755.82,509.1,685.13
Minority Interest,982,-0.65,2.52,-2.27
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,785,755.17,511.62,682.86
Total Extraordinary Items,-,-,-,-
Net Income,785,755.17,511.62,682.86
Total Adjustments to Net Income,-,-0,-,-0
Income Available to Common Excluding Extraordinary Items,785,755.16,511.62,682.86
Dilution Adjustment,-,-,-,-
Diluted Net Income,785,755.16,511.62,682.86
Diluted Weighted Average Shares,1.07,1.07,1.07,1.07
Diluted EPS Excluding Extraordinary Items,730.86,703.05,476.37,635.81
DPS - Common Stock Primary Issue,200,200,200,200
Diluted Normalized EPS,200.64,370.19,500.98,420.04
