Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,102090,81910,71525,35674
"Revenue 102090 81910 71525 35674  Other Revenue, Total - - - -","Revenue 102090 81910 71525 35674  Other Revenue, Total - - - -","Revenue 102090 81910 71525 35674  Other Revenue, Total - - - -","Revenue 102090 81910 71525 35674  Other Revenue, Total - - - -","Revenue 102090 81910 71525 35674  Other Revenue, Total - - - -"
Revenue,102090,81910,71525,35674
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",71528,56164,47317,23031
Gross Profit,30562,25746,24208,12643
Total Operating Expenses,93351,75267,65777,33437
"Selling/General/Admin. Expenses, Total 21823 17560 12764 6493  Research & Development - 1543 4461 2144  Depreciation / Amortization 1685 1535 - -  Interest Expense (Income) - Net Operating -1842 -515 - -  Unusual Expense (Income) - 271 1233 1768  Other Operating Expenses, Total 157 -1020 2 1","Selling/General/Admin. Expenses, Total 21823 17560 12764 6493  Research & Development - 1543 4461 2144  Depreciation / Amortization 1685 1535 - -  Interest Expense (Income) - Net Operating -1842 -515 - -  Unusual Expense (Income) - 271 1233 1768  Other Operating Expenses, Total 157 -1020 2 1","Selling/General/Admin. Expenses, Total 21823 17560 12764 6493  Research & Development - 1543 4461 2144  Depreciation / Amortization 1685 1535 - -  Interest Expense (Income) - Net Operating -1842 -515 - -  Unusual Expense (Income) - 271 1233 1768  Other Operating Expenses, Total 157 -1020 2 1","Selling/General/Admin. Expenses, Total 21823 17560 12764 6493  Research & Development - 1543 4461 2144  Depreciation / Amortization 1685 1535 - -  Interest Expense (Income) - Net Operating -1842 -515 - -  Unusual Expense (Income) - 271 1233 1768  Other Operating Expenses, Total 157 -1020 2 1","Selling/General/Admin. Expenses, Total 21823 17560 12764 6493  Research & Development - 1543 4461 2144  Depreciation / Amortization 1685 1535 - -  Interest Expense (Income) - Net Operating -1842 -515 - -  Unusual Expense (Income) - 271 1233 1768  Other Operating Expenses, Total 157 -1020 2 1"
"Selling/General/Admin. Expenses, Total",21823,17560,12764,6493
Research & Development,-,1543,4461,2144
Depreciation / Amortization,1685,1535,-,-
Interest Expense (Income) - Net Operating,-1842,-515,-,-
Unusual Expense (Income),-,271,1233,1768
"Other Operating Expenses, Total",157,-1020,2,1
Operating Income,8739,6643,5748,2237
"Interest Income (Expense), Net Non-Operating",-,-782,-1601,253
Gain (Loss) on Sale of Assets,-21,223,1636,-23
"Other, Net",1024,603,67,52
Net Income Before Taxes,7736,5817,5850,2519
Provision for Income Taxes,2590,1138,1825,1006
Net Income After Taxes,5146,4679,4025,1513
Minority Interest,2209,1363,320,-35
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,4488,4502,4345,1478
Total Extraordinary Items,-,-,-,-
Net Income,4488,4502,4345,1478
Total Adjustments to Net Income,-,-,-1,-1
Income Available to Common Excluding Extraordinary Items,4488,4502,4344,1477
Dilution Adjustment,-,-,-,-
Diluted Net Income,4488,4502,4344,1477
Diluted Weighted Average Shares,78.42,78.55,78.67,78.77
Diluted EPS Excluding Extraordinary Items,57.23,57.31,55.22,18.75
DPS - Common Stock Primary Issue,16,15,15,4
Diluted Normalized EPS,63.85,44.41,54.78,34.7
