Period Ending:,202328/02,202228/02,202128/02,202029/02
Total Revenue,126864,109363,96141,131193
"Revenue 126864 109363 96141 131193  Other Revenue, Total - - - -","Revenue 126864 109363 96141 131193  Other Revenue, Total - - - -","Revenue 126864 109363 96141 131193  Other Revenue, Total - - - -","Revenue 126864 109363 96141 131193  Other Revenue, Total - - - -","Revenue 126864 109363 96141 131193  Other Revenue, Total - - - -"
Revenue,126864,109363,96141,131193
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",52094,45048,40366,51839
Gross Profit,74770,64315,55775,79354
Total Operating Expenses,123894,111146,100461,121650
"Selling/General/Admin. Expenses, Total 71800 66098 60095 69064  Research & Development - - - -  Depreciation / Amortization 3913 4184 4513 -  Interest Expense (Income) - Net Operating -15 -13 -15 -  Unusual Expense (Income) - -4906 4757 746  Other Operating Expenses, Total -3898 -4171 -4498 1","Selling/General/Admin. Expenses, Total 71800 66098 60095 69064  Research & Development - - - -  Depreciation / Amortization 3913 4184 4513 -  Interest Expense (Income) - Net Operating -15 -13 -15 -  Unusual Expense (Income) - -4906 4757 746  Other Operating Expenses, Total -3898 -4171 -4498 1","Selling/General/Admin. Expenses, Total 71800 66098 60095 69064  Research & Development - - - -  Depreciation / Amortization 3913 4184 4513 -  Interest Expense (Income) - Net Operating -15 -13 -15 -  Unusual Expense (Income) - -4906 4757 746  Other Operating Expenses, Total -3898 -4171 -4498 1","Selling/General/Admin. Expenses, Total 71800 66098 60095 69064  Research & Development - - - -  Depreciation / Amortization 3913 4184 4513 -  Interest Expense (Income) - Net Operating -15 -13 -15 -  Unusual Expense (Income) - -4906 4757 746  Other Operating Expenses, Total -3898 -4171 -4498 1","Selling/General/Admin. Expenses, Total 71800 66098 60095 69064  Research & Development - - - -  Depreciation / Amortization 3913 4184 4513 -  Interest Expense (Income) - Net Operating -15 -13 -15 -  Unusual Expense (Income) - -4906 4757 746  Other Operating Expenses, Total -3898 -4171 -4498 1"
"Selling/General/Admin. Expenses, Total",71800,66098,60095,69064
Research & Development,-,-,-,-
Depreciation / Amortization,3913,4184,4513,-
Interest Expense (Income) - Net Operating,-15,-13,-15,-
Unusual Expense (Income),-,-4906,4757,746
"Other Operating Expenses, Total",-3898,-4171,-4498,1
Operating Income,2970,-1783,-4320,9543
"Interest Income (Expense), Net Non-Operating",-,158,39,-102
Gain (Loss) on Sale of Assets,6,1,2,51
"Other, Net",-1059,-5211,4612,101
Net Income Before Taxes,4023,3427,-8934,9593
Provision for Income Taxes,562,2168,2012,3488
Net Income After Taxes,3461,1259,-10946,6105
Minority Interest,278,252,219,-45
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,3429,1221,-10979,6060
Total Extraordinary Items,-,-,-,-
Net Income,3429,1221,-10979,6060
Total Adjustments to Net Income,-,-,-,-2
Income Available to Common Excluding Extraordinary Items,3429,1221,-10979,6058
Dilution Adjustment,-,-,-,-
Diluted Net Income,3429,1221,-10979,6058
Diluted Weighted Average Shares,44.22,44.22,44.2,44.18
Diluted EPS Excluding Extraordinary Items,77.55,27.61,-248.37,137.11
DPS - Common Stock Primary Issue,30,26,24,34
Diluted Normalized EPS,48.24,-21.78,-59.83,147.76
