Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,13835,12119,9626.04,9674.94
"Revenue 13835 12119.36 9626.04 9674.94  Other Revenue, Total - - - -","Revenue 13835 12119.36 9626.04 9674.94  Other Revenue, Total - - - -","Revenue 13835 12119.36 9626.04 9674.94  Other Revenue, Total - - - -","Revenue 13835 12119.36 9626.04 9674.94  Other Revenue, Total - - - -","Revenue 13835 12119.36 9626.04 9674.94  Other Revenue, Total - - - -"
Revenue,13835,12119.36,9626.04,9674.94
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",10633,9418.54,7620.95,7556.67
Gross Profit,3202,2700.82,2005.08,2118.27
Total Operating Expenses,12374,11011.83,9124.71,8953.89
"Selling/General/Admin. Expenses, Total 1741 1591.16 1453.13 1359.64  Research & Development - - - 3.41  Depreciation / Amortization 113 - 58.47 33.53  Interest Expense (Income) - Net Operating -1 - - -  Unusual Expense (Income) - 2.12 -7.84 0.63  Other Operating Expenses, Total -112 - - -","Selling/General/Admin. Expenses, Total 1741 1591.16 1453.13 1359.64  Research & Development - - - 3.41  Depreciation / Amortization 113 - 58.47 33.53  Interest Expense (Income) - Net Operating -1 - - -  Unusual Expense (Income) - 2.12 -7.84 0.63  Other Operating Expenses, Total -112 - - -","Selling/General/Admin. Expenses, Total 1741 1591.16 1453.13 1359.64  Research & Development - - - 3.41  Depreciation / Amortization 113 - 58.47 33.53  Interest Expense (Income) - Net Operating -1 - - -  Unusual Expense (Income) - 2.12 -7.84 0.63  Other Operating Expenses, Total -112 - - -","Selling/General/Admin. Expenses, Total 1741 1591.16 1453.13 1359.64  Research & Development - - - 3.41  Depreciation / Amortization 113 - 58.47 33.53  Interest Expense (Income) - Net Operating -1 - - -  Unusual Expense (Income) - 2.12 -7.84 0.63  Other Operating Expenses, Total -112 - - -","Selling/General/Admin. Expenses, Total 1741 1591.16 1453.13 1359.64  Research & Development - - - 3.41  Depreciation / Amortization 113 - 58.47 33.53  Interest Expense (Income) - Net Operating -1 - - -  Unusual Expense (Income) - 2.12 -7.84 0.63  Other Operating Expenses, Total -112 - - -"
"Selling/General/Admin. Expenses, Total",1741,1591.16,1453.13,1359.64
Research & Development,-,-,-,3.41
Depreciation / Amortization,113,-,58.47,33.53
Interest Expense (Income) - Net Operating,-1,-,-,-
Unusual Expense (Income),-,2.12,-7.84,0.63
"Other Operating Expenses, Total",-112,-,-,-
Operating Income,1461,1107.54,501.32,721.05
"Interest Income (Expense), Net Non-Operating",-,17.31,65.15,20.96
Gain (Loss) on Sale of Assets,-,-,-,-
"Other, Net",-46,44.09,28.13,20.41
Net Income Before Taxes,1507,1168.94,594.61,762.43
Provision for Income Taxes,488,403.64,225,267.15
Net Income After Taxes,1019,765.3,369.6,495.28
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,1019,765.3,369.6,495.28
Total Extraordinary Items,-,-,-,-
Net Income,1019,765.3,369.6,495.28
Total Adjustments to Net Income,-,-0,-,-0
Income Available to Common Excluding Extraordinary Items,1019,765.3,369.6,495.28
Dilution Adjustment,-,-,-,-
Diluted Net Income,1019,765.3,369.6,495.28
Diluted Weighted Average Shares,-,15.01,15.01,15.21
Diluted EPS Excluding Extraordinary Items,67.85,51,24.63,32.57
DPS - Common Stock Primary Issue,25,16,11,11
Diluted Normalized EPS,62.75,56.65,28.2,34.8
