Period Ending:,202231/03,202131/03,202031/03,201931/03
Total Revenue,6399.76,7986.13,9667.87,9406.39
"Revenue 6399.76 7986.13 9667.87 9406.39  Other Revenue, Total - - - -","Revenue 6399.76 7986.13 9667.87 9406.39  Other Revenue, Total - - - -","Revenue 6399.76 7986.13 9667.87 9406.39  Other Revenue, Total - - - -","Revenue 6399.76 7986.13 9667.87 9406.39  Other Revenue, Total - - - -","Revenue 6399.76 7986.13 9667.87 9406.39  Other Revenue, Total - - - -"
Revenue,6399.76,7986.13,9667.87,9406.39
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",5060.06,6795.51,8093.09,7905.38
Gross Profit,1339.7,1190.62,1574.79,1501.01
Total Operating Expenses,6408.41,8236.86,9562.38,9505.91
"Selling/General/Admin. Expenses, Total 1304.54 1159.18 1302.46 1521.93  Research & Development - 230.27 187.88 -  Depreciation / Amortization - 51.91 46.01 34.41  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) 43.81 - -67.06 44.19  Other Operating Expenses, Total - - - -0","Selling/General/Admin. Expenses, Total 1304.54 1159.18 1302.46 1521.93  Research & Development - 230.27 187.88 -  Depreciation / Amortization - 51.91 46.01 34.41  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) 43.81 - -67.06 44.19  Other Operating Expenses, Total - - - -0","Selling/General/Admin. Expenses, Total 1304.54 1159.18 1302.46 1521.93  Research & Development - 230.27 187.88 -  Depreciation / Amortization - 51.91 46.01 34.41  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) 43.81 - -67.06 44.19  Other Operating Expenses, Total - - - -0","Selling/General/Admin. Expenses, Total 1304.54 1159.18 1302.46 1521.93  Research & Development - 230.27 187.88 -  Depreciation / Amortization - 51.91 46.01 34.41  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) 43.81 - -67.06 44.19  Other Operating Expenses, Total - - - -0","Selling/General/Admin. Expenses, Total 1304.54 1159.18 1302.46 1521.93  Research & Development - 230.27 187.88 -  Depreciation / Amortization - 51.91 46.01 34.41  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) 43.81 - -67.06 44.19  Other Operating Expenses, Total - - - -0"
"Selling/General/Admin. Expenses, Total",1304.54,1159.18,1302.46,1521.93
Research & Development,-,230.27,187.88,-
Depreciation / Amortization,-,51.91,46.01,34.41
Interest Expense (Income) - Net Operating,-,-,-,-
Unusual Expense (Income),43.81,-,-67.06,44.19
"Other Operating Expenses, Total",-,-,-,-0
Operating Income,-8.65,-250.73,105.5,-99.52
"Interest Income (Expense), Net Non-Operating",75.68,17.39,26.94,22.27
Gain (Loss) on Sale of Assets,-,16.65,16.48,29.75
"Other, Net",140.16,71.01,-36.54,10.6
Net Income Before Taxes,207.19,-145.68,112.38,-36.89
Provision for Income Taxes,40.99,89.24,64.37,9.43
Net Income After Taxes,166.2,-234.92,48.01,-46.32
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,166.2,-234.92,48.01,-46.32
Total Extraordinary Items,-,-,-,-
Net Income,166.2,-234.92,48.01,-46.32
Total Adjustments to Net Income,-0,-,-,-0
Income Available to Common Excluding Extraordinary Items,166.19,-234.92,48.01,-46.32
Dilution Adjustment,-,-,-,-
Diluted Net Income,166.19,-234.92,48.01,-46.32
Diluted Weighted Average Shares,1.32,1.32,1.48,1.52
Diluted EPS Excluding Extraordinary Items,125.5,-177.36,32.36,-30.57
DPS - Common Stock Primary Issue,30,30,30,30
Diluted Normalized EPS,152.04,-185.54,8.3,-24.38
