Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,12236,10830,8730,9679
"Revenue 12236 10830 8730 9679  Other Revenue, Total - - - -","Revenue 12236 10830 8730 9679  Other Revenue, Total - - - -","Revenue 12236 10830 8730 9679  Other Revenue, Total - - - -","Revenue 12236 10830 8730 9679  Other Revenue, Total - - - -","Revenue 12236 10830 8730 9679  Other Revenue, Total - - - -"
Revenue,12236,10830,8730,9679
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",10365,9014,7720,8452
Gross Profit,1871,1816,1010,1227
Total Operating Expenses,11460,10032,8669,9460
"Selling/General/Admin. Expenses, Total 1095 1018 949 1007  Research & Development - 28 8 -  Depreciation / Amortization 263 306 325 -  Interest Expense (Income) - Net Operating -2 -6 -8 -  Unusual Expense (Income) - 3 - -  Other Operating Expenses, Total -280 -328 -325 1","Selling/General/Admin. Expenses, Total 1095 1018 949 1007  Research & Development - 28 8 -  Depreciation / Amortization 263 306 325 -  Interest Expense (Income) - Net Operating -2 -6 -8 -  Unusual Expense (Income) - 3 - -  Other Operating Expenses, Total -280 -328 -325 1","Selling/General/Admin. Expenses, Total 1095 1018 949 1007  Research & Development - 28 8 -  Depreciation / Amortization 263 306 325 -  Interest Expense (Income) - Net Operating -2 -6 -8 -  Unusual Expense (Income) - 3 - -  Other Operating Expenses, Total -280 -328 -325 1","Selling/General/Admin. Expenses, Total 1095 1018 949 1007  Research & Development - 28 8 -  Depreciation / Amortization 263 306 325 -  Interest Expense (Income) - Net Operating -2 -6 -8 -  Unusual Expense (Income) - 3 - -  Other Operating Expenses, Total -280 -328 -325 1","Selling/General/Admin. Expenses, Total 1095 1018 949 1007  Research & Development - 28 8 -  Depreciation / Amortization 263 306 325 -  Interest Expense (Income) - Net Operating -2 -6 -8 -  Unusual Expense (Income) - 3 - -  Other Operating Expenses, Total -280 -328 -325 1"
"Selling/General/Admin. Expenses, Total",1095,1018,949,1007
Research & Development,-,28,8,-
Depreciation / Amortization,263,306,325,-
Interest Expense (Income) - Net Operating,-2,-6,-8,-
Unusual Expense (Income),-,3,-,-
"Other Operating Expenses, Total",-280,-328,-325,1
Operating Income,776,798,61,219
"Interest Income (Expense), Net Non-Operating",-,-6,-8,-9
Gain (Loss) on Sale of Assets,-,-4,-3,-3
"Other, Net",7,-5,-51,3
Net Income Before Taxes,769,803,112,210
Provision for Income Taxes,246,156,-22,134
Net Income After Taxes,523,647,134,76
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,-,647,134,76
Total Extraordinary Items,-,-,-,-
Net Income,523,647,134,76
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,523,647,134,76
Dilution Adjustment,-,-,-,-
Diluted Net Income,523,647,134,76
Diluted Weighted Average Shares,3,3,3,3
Diluted EPS Excluding Extraordinary Items,174.2,215.52,44.64,25.32
DPS - Common Stock Primary Issue,-,35,10,10
Diluted Normalized EPS,161.96,167.8,23.32,25.97
