Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,120651,118046,114255,112578
"Revenue 120651 118046 114255 112578  Other Revenue, Total - - - -","Revenue 120651 118046 114255 112578  Other Revenue, Total - - - -","Revenue 120651 118046 114255 112578  Other Revenue, Total - - - -","Revenue 120651 118046 114255 112578  Other Revenue, Total - - - -","Revenue 120651 118046 114255 112578  Other Revenue, Total - - - -"
Revenue,120651,118046,114255,112578
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",91439,86138,81847,82143
Gross Profit,29212,31908,32408,30435
Total Operating Expenses,115251,109428,104806,105643
"Selling/General/Admin. Expenses, Total 23266 22611 22267 22358  Research & Development - 1264 1208 -  Depreciation / Amortization 4660 4649 4684 837  Interest Expense (Income) - Net Operating -453 -481 -480 -  Unusual Expense (Income) - 51 95 304  Other Operating Expenses, Total -3661 -4753 -4720 1","Selling/General/Admin. Expenses, Total 23266 22611 22267 22358  Research & Development - 1264 1208 -  Depreciation / Amortization 4660 4649 4684 837  Interest Expense (Income) - Net Operating -453 -481 -480 -  Unusual Expense (Income) - 51 95 304  Other Operating Expenses, Total -3661 -4753 -4720 1","Selling/General/Admin. Expenses, Total 23266 22611 22267 22358  Research & Development - 1264 1208 -  Depreciation / Amortization 4660 4649 4684 837  Interest Expense (Income) - Net Operating -453 -481 -480 -  Unusual Expense (Income) - 51 95 304  Other Operating Expenses, Total -3661 -4753 -4720 1","Selling/General/Admin. Expenses, Total 23266 22611 22267 22358  Research & Development - 1264 1208 -  Depreciation / Amortization 4660 4649 4684 837  Interest Expense (Income) - Net Operating -453 -481 -480 -  Unusual Expense (Income) - 51 95 304  Other Operating Expenses, Total -3661 -4753 -4720 1","Selling/General/Admin. Expenses, Total 23266 22611 22267 22358  Research & Development - 1264 1208 -  Depreciation / Amortization 4660 4649 4684 837  Interest Expense (Income) - Net Operating -453 -481 -480 -  Unusual Expense (Income) - 51 95 304  Other Operating Expenses, Total -3661 -4753 -4720 1"
"Selling/General/Admin. Expenses, Total",23266,22611,22267,22358
Research & Development,-,1264,1208,-
Depreciation / Amortization,4660,4649,4684,837
Interest Expense (Income) - Net Operating,-453,-481,-480,-
Unusual Expense (Income),-,51,95,304
"Other Operating Expenses, Total",-3661,-4753,-4720,1
Operating Income,5400,8618,9449,6935
"Interest Income (Expense), Net Non-Operating",-,-123,-227,-313
Gain (Loss) on Sale of Assets,106,-49,-,473
"Other, Net",-215,65,161,125
Net Income Before Taxes,5509,8602,9288,7220
Provision for Income Taxes,1429,2377,2636,1734
Net Income After Taxes,4080,6225,6652,5486
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,4080,6225,6652,5486
Total Extraordinary Items,-,-,-,-
Net Income,4080,6225,6652,5486
Total Adjustments to Net Income,-,-,-,-1
Income Available to Common Excluding Extraordinary Items,4080,6225,6652,5485
Dilution Adjustment,-,-,-,-
Diluted Net Income,4080,6225,6652,5485
Diluted Weighted Average Shares,12.28,12.65,12.7,12.7
Diluted EPS Excluding Extraordinary Items,332.22,492.13,523.78,431.89
DPS - Common Stock Primary Issue,54,50,46,44
Diluted Normalized EPS,278.08,430.27,461.76,421.78
