Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Revenue,26530,25453,26805,38393
"Revenue 26530 25453 26805 38393  Other Revenue, Total - - - -","Revenue 26530 25453 26805 38393  Other Revenue, Total - - - -","Revenue 26530 25453 26805 38393  Other Revenue, Total - - - -","Revenue 26530 25453 26805 38393  Other Revenue, Total - - - -","Revenue 26530 25453 26805 38393  Other Revenue, Total - - - -"
Revenue,26530,25453,26805,38393
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",9453,9389,9826,13606
Gross Profit,17077,16064,16979,24787
Total Operating Expenses,28416,28796,32509,37464
"Selling/General/Admin. Expenses, Total 17684 17892 18467 21810  Research & Development - - - -  Depreciation / Amortization 960 1259 1483 1518  Interest Expense (Income) - Net Operating -103 -97 - -  Unusual Expense (Income) - -4752 2733 529  Other Operating Expenses, Total 422 353 - 1","Selling/General/Admin. Expenses, Total 17684 17892 18467 21810  Research & Development - - - -  Depreciation / Amortization 960 1259 1483 1518  Interest Expense (Income) - Net Operating -103 -97 - -  Unusual Expense (Income) - -4752 2733 529  Other Operating Expenses, Total 422 353 - 1","Selling/General/Admin. Expenses, Total 17684 17892 18467 21810  Research & Development - - - -  Depreciation / Amortization 960 1259 1483 1518  Interest Expense (Income) - Net Operating -103 -97 - -  Unusual Expense (Income) - -4752 2733 529  Other Operating Expenses, Total 422 353 - 1","Selling/General/Admin. Expenses, Total 17684 17892 18467 21810  Research & Development - - - -  Depreciation / Amortization 960 1259 1483 1518  Interest Expense (Income) - Net Operating -103 -97 - -  Unusual Expense (Income) - -4752 2733 529  Other Operating Expenses, Total 422 353 - 1","Selling/General/Admin. Expenses, Total 17684 17892 18467 21810  Research & Development - - - -  Depreciation / Amortization 960 1259 1483 1518  Interest Expense (Income) - Net Operating -103 -97 - -  Unusual Expense (Income) - -4752 2733 529  Other Operating Expenses, Total 422 353 - 1"
"Selling/General/Admin. Expenses, Total",17684,17892,18467,21810
Research & Development,-,-,-,-
Depreciation / Amortization,960,1259,1483,1518
Interest Expense (Income) - Net Operating,-103,-97,-,-
Unusual Expense (Income),-,-4752,2733,529
"Other Operating Expenses, Total",422,353,-,1
Operating Income,-1886,-3343,-5704,929
"Interest Income (Expense), Net Non-Operating",-,-159,-100,-94
Gain (Loss) on Sale of Assets,4,-43,-,1
"Other, Net",396,-3541,195,106
Net Income Before Taxes,-2286,241,-5609,942
Provision for Income Taxes,1116,730,-610,480
Net Income After Taxes,-3402,-489,-4999,462
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,-3402,-489,-4999,462
Total Extraordinary Items,-,-,-,-
Net Income,-3402,-489,-4999,462
Total Adjustments to Net Income,-,-,1,-
Income Available to Common Excluding Extraordinary Items,-3402,-489,-4998,462
Dilution Adjustment,-,-1198.48,-,-
Diluted Net Income,-3402,709.48,-4998,462
Diluted Weighted Average Shares,44.07,43.71,43.16,43.27
Diluted EPS Excluding Extraordinary Items,-77.19,-11.22,-115.81,10.68
DPS - Common Stock Primary Issue,-,2.5,2.5,10
Diluted Normalized EPS,-10.25,25.54,-72.4,17.91
