Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,243436,206441,198500,282302
"Revenue 243436 206441 198500 282302  Other Revenue, Total - - - -","Revenue 243436 206441 198500 282302  Other Revenue, Total - - - -","Revenue 243436 206441 198500 282302  Other Revenue, Total - - - -","Revenue 243436 206441 198500 282302  Other Revenue, Total - - - -","Revenue 243436 206441 198500 282302  Other Revenue, Total - - - -"
Revenue,243436,206441,198500,282302
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",223267,193573,188938,261336
Gross Profit,20169,12868,9562,20966
Total Operating Expenses,242068,211971,211933,282329
"Selling/General/Admin. Expenses, Total 18096 16205 16115 19764  Research & Development - - - -  Depreciation / Amortization 5732 866 1200 1229  Interest Expense (Income) - Net Operating -637 - - -  Unusual Expense (Income) - 1327 5680 -  Other Operating Expenses, Total -8051 - - -","Selling/General/Admin. Expenses, Total 18096 16205 16115 19764  Research & Development - - - -  Depreciation / Amortization 5732 866 1200 1229  Interest Expense (Income) - Net Operating -637 - - -  Unusual Expense (Income) - 1327 5680 -  Other Operating Expenses, Total -8051 - - -","Selling/General/Admin. Expenses, Total 18096 16205 16115 19764  Research & Development - - - -  Depreciation / Amortization 5732 866 1200 1229  Interest Expense (Income) - Net Operating -637 - - -  Unusual Expense (Income) - 1327 5680 -  Other Operating Expenses, Total -8051 - - -","Selling/General/Admin. Expenses, Total 18096 16205 16115 19764  Research & Development - - - -  Depreciation / Amortization 5732 866 1200 1229  Interest Expense (Income) - Net Operating -637 - - -  Unusual Expense (Income) - 1327 5680 -  Other Operating Expenses, Total -8051 - - -","Selling/General/Admin. Expenses, Total 18096 16205 16115 19764  Research & Development - - - -  Depreciation / Amortization 5732 866 1200 1229  Interest Expense (Income) - Net Operating -637 - - -  Unusual Expense (Income) - 1327 5680 -  Other Operating Expenses, Total -8051 - - -"
"Selling/General/Admin. Expenses, Total",18096,16205,16115,19764
Research & Development,-,-,-,-
Depreciation / Amortization,5732,866,1200,1229
Interest Expense (Income) - Net Operating,-637,-,-,-
Unusual Expense (Income),-,1327,5680,-
"Other Operating Expenses, Total",-8051,-,-,-
Operating Income,1368,-5530,-13433,-27
"Interest Income (Expense), Net Non-Operating",-,1911,66,1788
Gain (Loss) on Sale of Assets,6281,2934,-268,-208
"Other, Net",-12736,-87,525,81
Net Income Before Taxes,7823,-772,-13110,1634
Provision for Income Taxes,1280,973,215,1897
Net Income After Taxes,-,-1745,-13325,-263
Minority Interest,6111,-314,-375,-1304
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,5823,-2059,-13700,-1567
Total Extraordinary Items,-,-,-,-
Net Income,5823,-2059,-13700,-1567
Total Adjustments to Net Income,-,-,-1,-
Income Available to Common Excluding Extraordinary Items,5823,-2059,-13701,-1567
Dilution Adjustment,-,-,-,-
Diluted Net Income,5823,-2059,-13701,-1567
Diluted Weighted Average Shares,34.24,34.22,34.21,34.42
Diluted EPS Excluding Extraordinary Items,170.08,-60.17,-400.53,-45.52
DPS - Common Stock Primary Issue,-,63.6,6.5,25
Diluted Normalized EPS,14.99,-90.4,-287.22,-41.3
