Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,34946,30579,27532,25508
"Revenue - 30579 27532 25508  Other Revenue, Total - - - -","Revenue - 30579 27532 25508  Other Revenue, Total - - - -","Revenue - 30579 27532 25508  Other Revenue, Total - - - -","Revenue - 30579 27532 25508  Other Revenue, Total - - - -","Revenue - 30579 27532 25508  Other Revenue, Total - - - -"
Revenue,-,30579,27532,25508
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",-,17563,16775,16598
Gross Profit,14597,13016,10757,8910
Total Operating Expenses,-,24289,23022,24286
"Selling/General/Admin. Expenses, Total - 5209 4011 4330  Research & Development - 1241 1883 2626  Depreciation / Amortization 2529 2188 446 446  Interest Expense (Income) - Net Operating - -170 18 -  Unusual Expense (Income) - - -92 4  Other Operating Expenses, Total -1924 -1742 -19 282","Selling/General/Admin. Expenses, Total - 5209 4011 4330  Research & Development - 1241 1883 2626  Depreciation / Amortization 2529 2188 446 446  Interest Expense (Income) - Net Operating - -170 18 -  Unusual Expense (Income) - - -92 4  Other Operating Expenses, Total -1924 -1742 -19 282","Selling/General/Admin. Expenses, Total - 5209 4011 4330  Research & Development - 1241 1883 2626  Depreciation / Amortization 2529 2188 446 446  Interest Expense (Income) - Net Operating - -170 18 -  Unusual Expense (Income) - - -92 4  Other Operating Expenses, Total -1924 -1742 -19 282","Selling/General/Admin. Expenses, Total - 5209 4011 4330  Research & Development - 1241 1883 2626  Depreciation / Amortization 2529 2188 446 446  Interest Expense (Income) - Net Operating - -170 18 -  Unusual Expense (Income) - - -92 4  Other Operating Expenses, Total -1924 -1742 -19 282","Selling/General/Admin. Expenses, Total - 5209 4011 4330  Research & Development - 1241 1883 2626  Depreciation / Amortization 2529 2188 446 446  Interest Expense (Income) - Net Operating - -170 18 -  Unusual Expense (Income) - - -92 4  Other Operating Expenses, Total -1924 -1742 -19 282"
"Selling/General/Admin. Expenses, Total",-,5209,4011,4330
Research & Development,-,1241,1883,2626
Depreciation / Amortization,2529,2188,446,446
Interest Expense (Income) - Net Operating,-,-170,18,-
Unusual Expense (Income),-,-,-92,4
"Other Operating Expenses, Total",-1924,-1742,-19,282
Operating Income,-,6290,4510,1222
"Interest Income (Expense), Net Non-Operating",-,-171,-185,-479
Gain (Loss) on Sale of Assets,-5,-23,-,-
"Other, Net",45,123,-1,-
Net Income Before Taxes,7298,6190,4324,743
Provision for Income Taxes,-,1986,1350,-6
Net Income After Taxes,-,4204,2974,749
Minority Interest,-,-,10,9
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,5432,4204,2984,758
Total Extraordinary Items,-,-,-,-
Net Income,-,4204,2984,758
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,5432,4204,2984,758
Dilution Adjustment,-0.457,-0.116,-,-
Diluted Net Income,5432.46,4204.12,2984,758
Diluted Weighted Average Shares,59.54,58.6,55.21,55.21
Diluted EPS Excluding Extraordinary Items,-,71.74,54.05,13.73
DPS - Common Stock Primary Issue,25,23,-,-
Diluted Normalized EPS,76.66,66.26,52.9,13.78
