Period Ending:,202331/03,202231/03,202131/03,Unnamed: 4
Total Revenue,56468,62091,57753,-
"Revenue 56468 62091 57753 -  Other Revenue, Total - - - -","Revenue 56468 62091 57753 -  Other Revenue, Total - - - -","Revenue 56468 62091 57753 -  Other Revenue, Total - - - -","Revenue 56468 62091 57753 -  Other Revenue, Total - - - -","Revenue 56468 62091 57753 -  Other Revenue, Total - - - -"
Revenue,56468,62091,57753,-
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",47137,49681,46032,-
Gross Profit,9331,12410,11721,-
Total Operating Expenses,57751,60360,55979,-
"Selling/General/Admin. Expenses, Total 10614 10679 9947 -  Research & Development - - - -  Depreciation / Amortization 521 570 654 -  Interest Expense (Income) - Net Operating -596 -485 -585 -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total 75 -85 -69 -","Selling/General/Admin. Expenses, Total 10614 10679 9947 -  Research & Development - - - -  Depreciation / Amortization 521 570 654 -  Interest Expense (Income) - Net Operating -596 -485 -585 -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total 75 -85 -69 -","Selling/General/Admin. Expenses, Total 10614 10679 9947 -  Research & Development - - - -  Depreciation / Amortization 521 570 654 -  Interest Expense (Income) - Net Operating -596 -485 -585 -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total 75 -85 -69 -","Selling/General/Admin. Expenses, Total 10614 10679 9947 -  Research & Development - - - -  Depreciation / Amortization 521 570 654 -  Interest Expense (Income) - Net Operating -596 -485 -585 -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total 75 -85 -69 -","Selling/General/Admin. Expenses, Total 10614 10679 9947 -  Research & Development - - - -  Depreciation / Amortization 521 570 654 -  Interest Expense (Income) - Net Operating -596 -485 -585 -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total 75 -85 -69 -"
"Selling/General/Admin. Expenses, Total",10614,10679,9947,-
Research & Development,-,-,-,-
Depreciation / Amortization,521,570,654,-
Interest Expense (Income) - Net Operating,-596,-485,-585,-
Unusual Expense (Income),-,-,-,-
"Other Operating Expenses, Total",75,-85,-69,-
Operating Income,-1283,1731,1774,-
"Interest Income (Expense), Net Non-Operating",-,-,-,-
Gain (Loss) on Sale of Assets,104,24,521,-
"Other, Net",211,186,-243,-
Net Income Before Taxes,-1598,1521,1496,-
Provision for Income Taxes,426,677,662,-
Net Income After Taxes,-2024,844,834,-
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,-2024,844,834,-
Total Extraordinary Items,-,-,-,-
Net Income,-2024,844,834,-
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,-2024,844,834,-
Dilution Adjustment,-,-,-,-
Diluted Net Income,-2024,844,834,-
Diluted Weighted Average Shares,36.97,37.74,37.74,-
Diluted EPS Excluding Extraordinary Items,-54.75,22.36,22.1,-
DPS - Common Stock Primary Issue,-,-,-,-
Diluted Normalized EPS,-30.16,25.12,24.61,-
