Period Ending:,202230/11,202130/11,202030/11,201930/11
Total Revenue,147423,110883,110837.54,116794.38
"Revenue 147423 110883.52 110837.54 116794.38  Other Revenue, Total - - - -","Revenue 147423 110883.52 110837.54 116794.38  Other Revenue, Total - - - -","Revenue 147423 110883.52 110837.54 116794.38  Other Revenue, Total - - - -","Revenue 147423 110883.52 110837.54 116794.38  Other Revenue, Total - - - -","Revenue 147423 110883.52 110837.54 116794.38  Other Revenue, Total - - - -"
Revenue,147423,110883.52,110837.54,116794.38
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",139962,104242.62,104211.49,109993.76
Gross Profit,7461,6640.9,6626.05,6800.62
Total Operating Expenses,144452,108096.15,107878.6,113650.03
"Selling/General/Admin. Expenses, Total 4490 3853.53 3667.11 3656.28  Research & Development - - - -  Depreciation / Amortization 324 - - -  Interest Expense (Income) - Net Operating -182 - - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -142 - - -","Selling/General/Admin. Expenses, Total 4490 3853.53 3667.11 3656.28  Research & Development - - - -  Depreciation / Amortization 324 - - -  Interest Expense (Income) - Net Operating -182 - - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -142 - - -","Selling/General/Admin. Expenses, Total 4490 3853.53 3667.11 3656.28  Research & Development - - - -  Depreciation / Amortization 324 - - -  Interest Expense (Income) - Net Operating -182 - - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -142 - - -","Selling/General/Admin. Expenses, Total 4490 3853.53 3667.11 3656.28  Research & Development - - - -  Depreciation / Amortization 324 - - -  Interest Expense (Income) - Net Operating -182 - - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -142 - - -","Selling/General/Admin. Expenses, Total 4490 3853.53 3667.11 3656.28  Research & Development - - - -  Depreciation / Amortization 324 - - -  Interest Expense (Income) - Net Operating -182 - - -  Unusual Expense (Income) - - - -  Other Operating Expenses, Total -142 - - -"
"Selling/General/Admin. Expenses, Total",4490,3853.53,3667.11,3656.28
Research & Development,-,-,-,-
Depreciation / Amortization,324,-,-,-
Interest Expense (Income) - Net Operating,-182,-,-,-
Unusual Expense (Income),-,-,-,-
"Other Operating Expenses, Total",-142,-,-,-
Operating Income,2971,2787.37,2958.94,3144.34
"Interest Income (Expense), Net Non-Operating",-,-21.26,-139.91,-321.1
Gain (Loss) on Sale of Assets,-,-,-,1.21
"Other, Net",-162,-84.29,-38.29,-76.67
Net Income Before Taxes,3133,2681.82,2780.74,2747.79
Provision for Income Taxes,847,722.69,718.56,784.75
Net Income After Taxes,2286,1959.13,2062.18,1963.04
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,2286,1959.13,2062.18,1963.04
Total Extraordinary Items,-,-,-,-
Net Income,2286,1959.13,2062.18,1963.04
Total Adjustments to Net Income,-,-0,-,-
Income Available to Common Excluding Extraordinary Items,2286,1959.13,2062.18,1963.04
Dilution Adjustment,-,-,-,-
Diluted Net Income,2286.77,1959.13,2062.18,1963.04
Diluted Weighted Average Shares,9.99,10,10.02,10.02
Diluted EPS Excluding Extraordinary Items,228.8,195.9,205.73,195.98
DPS - Common Stock Primary Issue,40,32,30,22
Diluted Normalized EPS,195.92,195.9,205.73,195.89
