Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,118086,103760,115545,127048
"Revenue 118086 103760 115545 127048  Other Revenue, Total - - - -","Revenue 118086 103760 115545 127048  Other Revenue, Total - - - -","Revenue 118086 103760 115545 127048  Other Revenue, Total - - - -","Revenue 118086 103760 115545 127048  Other Revenue, Total - - - -","Revenue 118086 103760 115545 127048  Other Revenue, Total - - - -"
Revenue,118086,103760,115545,127048
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",102459,86950,100102,110237
Gross Profit,-,16810,15443,16811
Total Operating Expenses,113059,97346,109964,120659
"Selling/General/Admin. Expenses, Total 10600 10396 8935 9144  Research & Development - 1318 941 908  Depreciation / Amortization 2874 2893 -20 -20  Interest Expense (Income) - Net Operating -315 -295 - -  Unusual Expense (Income) - 329 4 390  Other Operating Expenses, Total -2559 -3916 2 -","Selling/General/Admin. Expenses, Total 10600 10396 8935 9144  Research & Development - 1318 941 908  Depreciation / Amortization 2874 2893 -20 -20  Interest Expense (Income) - Net Operating -315 -295 - -  Unusual Expense (Income) - 329 4 390  Other Operating Expenses, Total -2559 -3916 2 -","Selling/General/Admin. Expenses, Total 10600 10396 8935 9144  Research & Development - 1318 941 908  Depreciation / Amortization 2874 2893 -20 -20  Interest Expense (Income) - Net Operating -315 -295 - -  Unusual Expense (Income) - 329 4 390  Other Operating Expenses, Total -2559 -3916 2 -","Selling/General/Admin. Expenses, Total 10600 10396 8935 9144  Research & Development - 1318 941 908  Depreciation / Amortization 2874 2893 -20 -20  Interest Expense (Income) - Net Operating -315 -295 - -  Unusual Expense (Income) - 329 4 390  Other Operating Expenses, Total -2559 -3916 2 -","Selling/General/Admin. Expenses, Total 10600 10396 8935 9144  Research & Development - 1318 941 908  Depreciation / Amortization 2874 2893 -20 -20  Interest Expense (Income) - Net Operating -315 -295 - -  Unusual Expense (Income) - 329 4 390  Other Operating Expenses, Total -2559 -3916 2 -"
"Selling/General/Admin. Expenses, Total",10600,10396,8935,9144
Research & Development,-,1318,941,908
Depreciation / Amortization,2874,2893,-20,-20
Interest Expense (Income) - Net Operating,-315,-295,-,-
Unusual Expense (Income),-,329,4,390
"Other Operating Expenses, Total",-2559,-3916,2,-
Operating Income,5027,6414,5581,6389
"Interest Income (Expense), Net Non-Operating",-,733,2376,1960
Gain (Loss) on Sale of Assets,-344,-166,-,-100
"Other, Net",-562,-778,86,-196
Net Income Before Taxes,5933,7358,8043,8053
Provision for Income Taxes,1501,1997,1615,1526
Net Income After Taxes,4432,5361,6428,6527
Minority Interest,1079,918,-87,-77
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,4231,5176,6341,6450
Total Extraordinary Items,-,-,-,-
Net Income,4231,5176,6341,6450
Total Adjustments to Net Income,-,-,-1,-1
Income Available to Common Excluding Extraordinary Items,4231,5176,6340,6449
Dilution Adjustment,-,-,-,-
Diluted Net Income,4231,5176,6340,6449
Diluted Weighted Average Shares,5.88,5.9,5.89,5.89
Diluted EPS Excluding Extraordinary Items,719.74,877.47,1077.15,1095.5
DPS - Common Stock Primary Issue,-,80,80,80
Diluted Normalized EPS,635.41,783.11,1074.47,1159.73
