Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,3744,3745,3551.13,3150.05
"Revenue 3744 3745 3551.13 3150.05  Other Revenue, Total - - - -","Revenue 3744 3745 3551.13 3150.05  Other Revenue, Total - - - -","Revenue 3744 3745 3551.13 3150.05  Other Revenue, Total - - - -","Revenue 3744 3745 3551.13 3150.05  Other Revenue, Total - - - -","Revenue 3744 3745 3551.13 3150.05  Other Revenue, Total - - - -"
Revenue,3744,3745,3551.13,3150.05
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",1773,1737,1540.6,1419.18
Gross Profit,1971,2008,2010.54,1730.87
Total Operating Expenses,3179,3075,2923.93,2707.92
"Selling/General/Admin. Expenses, Total 1406 1338 1355.67 1223.78  Research & Development - - - -  Depreciation / Amortization 535 421 - -  Interest Expense (Income) - Net Operating -2 -3 - -  Unusual Expense (Income) - 0.3 27.66 64.95  Other Operating Expenses, Total -533 -418 - -","Selling/General/Admin. Expenses, Total 1406 1338 1355.67 1223.78  Research & Development - - - -  Depreciation / Amortization 535 421 - -  Interest Expense (Income) - Net Operating -2 -3 - -  Unusual Expense (Income) - 0.3 27.66 64.95  Other Operating Expenses, Total -533 -418 - -","Selling/General/Admin. Expenses, Total 1406 1338 1355.67 1223.78  Research & Development - - - -  Depreciation / Amortization 535 421 - -  Interest Expense (Income) - Net Operating -2 -3 - -  Unusual Expense (Income) - 0.3 27.66 64.95  Other Operating Expenses, Total -533 -418 - -","Selling/General/Admin. Expenses, Total 1406 1338 1355.67 1223.78  Research & Development - - - -  Depreciation / Amortization 535 421 - -  Interest Expense (Income) - Net Operating -2 -3 - -  Unusual Expense (Income) - 0.3 27.66 64.95  Other Operating Expenses, Total -533 -418 - -","Selling/General/Admin. Expenses, Total 1406 1338 1355.67 1223.78  Research & Development - - - -  Depreciation / Amortization 535 421 - -  Interest Expense (Income) - Net Operating -2 -3 - -  Unusual Expense (Income) - 0.3 27.66 64.95  Other Operating Expenses, Total -533 -418 - -"
"Selling/General/Admin. Expenses, Total",1406,1338,1355.67,1223.78
Research & Development,-,-,-,-
Depreciation / Amortization,535,421,-,-
Interest Expense (Income) - Net Operating,-2,-3,-,-
Unusual Expense (Income),-,0.3,27.66,64.95
"Other Operating Expenses, Total",-533,-418,-,-
Operating Income,565,670,627.21,442.13
"Interest Income (Expense), Net Non-Operating",-,38.82,15.55,39.77
Gain (Loss) on Sale of Assets,-2,1,-,0.11
"Other, Net",33,-23,2.3,0.11
Net Income Before Taxes,534,692,645.05,482.12
Provision for Income Taxes,173,232,204.55,163.74
Net Income After Taxes,361,460,440.51,318.38
Minority Interest,57,57,-2.64,-12.49
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,360,459,437.87,305.89
Total Extraordinary Items,-,-,-,-
Net Income,360,459,437.87,305.89
Total Adjustments to Net Income,-,-,-0,-0
Income Available to Common Excluding Extraordinary Items,360,459,437.87,305.88
Dilution Adjustment,-,-,-,-
Diluted Net Income,360,459,437.87,305.88
Diluted Weighted Average Shares,7.57,7.49,7.44,7.57
Diluted EPS Excluding Extraordinary Items,-,61.31,58.83,40.42
DPS - Common Stock Primary Issue,14.75,14.5,13,10
Diluted Normalized EPS,45.35,57.55,61.37,46.08
