Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,563295,589028,563252,560882
"Revenue 563295 589028 563252 560882  Other Revenue, Total - - - -","Revenue 563295 589028 563252 560882  Other Revenue, Total - - - -","Revenue 563295 589028 563252 560882  Other Revenue, Total - - - -","Revenue 563295 589028 563252 560882  Other Revenue, Total - - - -","Revenue 563295 589028 563252 560882  Other Revenue, Total - - - -"
Revenue,563295,589028,563252,560882
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",493754,510601,487262,487269
Gross Profit,69541,78427,75990,73613
Total Operating Expenses,533587,546064,524035,523065
"Selling/General/Admin. Expenses, Total 39833 35463 34235 34458  Research & Development - - 182 200  Depreciation / Amortization 10376 - - -  Interest Expense (Income) - Net Operating -26 - - -  Unusual Expense (Income) - 1615 2355 1136  Other Operating Expenses, Total -10350 -10092 1 2","Selling/General/Admin. Expenses, Total 39833 35463 34235 34458  Research & Development - - 182 200  Depreciation / Amortization 10376 - - -  Interest Expense (Income) - Net Operating -26 - - -  Unusual Expense (Income) - 1615 2355 1136  Other Operating Expenses, Total -10350 -10092 1 2","Selling/General/Admin. Expenses, Total 39833 35463 34235 34458  Research & Development - - 182 200  Depreciation / Amortization 10376 - - -  Interest Expense (Income) - Net Operating -26 - - -  Unusual Expense (Income) - 1615 2355 1136  Other Operating Expenses, Total -10350 -10092 1 2","Selling/General/Admin. Expenses, Total 39833 35463 34235 34458  Research & Development - - 182 200  Depreciation / Amortization 10376 - - -  Interest Expense (Income) - Net Operating -26 - - -  Unusual Expense (Income) - 1615 2355 1136  Other Operating Expenses, Total -10350 -10092 1 2","Selling/General/Admin. Expenses, Total 39833 35463 34235 34458  Research & Development - - 182 200  Depreciation / Amortization 10376 - - -  Interest Expense (Income) - Net Operating -26 - - -  Unusual Expense (Income) - 1615 2355 1136  Other Operating Expenses, Total -10350 -10092 1 2"
"Selling/General/Admin. Expenses, Total",39833,35463,34235,34458
Research & Development,-,-,182,200
Depreciation / Amortization,10376,-,-,-
Interest Expense (Income) - Net Operating,-26,-,-,-
Unusual Expense (Income),-,1615,2355,1136
"Other Operating Expenses, Total",-10350,-10092,1,2
Operating Income,29708,41348,39217,37817
"Interest Income (Expense), Net Non-Operating",-,1063,3448,1189
Gain (Loss) on Sale of Assets,540,683,73,27
"Other, Net",-1371,390,526,445
Net Income Before Taxes,30539,43484,43264,39478
Provision for Income Taxes,10925,14058,13911,13333
Net Income After Taxes,19614,29426,29353,26145
Minority Interest,4692,-218,16,-149
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,19338,29208,29369,25996
Total Extraordinary Items,-,-,-,-
Net Income,19338,29208,29369,25996
Total Adjustments to Net Income,-,-,-,-2
Income Available to Common Excluding Extraordinary Items,19338,29208,29369,25994
Dilution Adjustment,-0.655,-,-,-
Diluted Net Income,19338.65,29208,29369,25994
Diluted Weighted Average Shares,121.85,124.19,126.47,128.4
Diluted EPS Excluding Extraordinary Items,158.71,235.18,232.21,202.45
DPS - Common Stock Primary Issue,100,95,85,75
Diluted Normalized EPS,156.39,248.29,253.41,216.72
