Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,79033,63277,54856.86,62611.3
"Revenue 79033 63277 54856.86 62611.3  Other Revenue, Total - - - -","Revenue 79033 63277 54856.86 62611.3  Other Revenue, Total - - - -","Revenue 79033 63277 54856.86 62611.3  Other Revenue, Total - - - -","Revenue 79033 63277 54856.86 62611.3  Other Revenue, Total - - - -","Revenue 79033 63277 54856.86 62611.3  Other Revenue, Total - - - -"
Revenue,79033,63277,54856.86,62611.3
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",70231,56556,48110.78,54526.02
Gross Profit,8802,6721,6746.07,8085.27
Total Operating Expenses,77495,63638,54662.54,61529.18
"Selling/General/Admin. Expenses, Total 6881 6594 5723.61 6848.32  Research & Development 1 6 - -  Depreciation / Amortization 1456 1527 333.26 316.51  Interest Expense (Income) - Net Operating -397 -220 - -  Unusual Expense (Income) - 1744.88 494.89 -161.68  Other Operating Expenses, Total -677 -825 - -","Selling/General/Admin. Expenses, Total 6881 6594 5723.61 6848.32  Research & Development 1 6 - -  Depreciation / Amortization 1456 1527 333.26 316.51  Interest Expense (Income) - Net Operating -397 -220 - -  Unusual Expense (Income) - 1744.88 494.89 -161.68  Other Operating Expenses, Total -677 -825 - -","Selling/General/Admin. Expenses, Total 6881 6594 5723.61 6848.32  Research & Development 1 6 - -  Depreciation / Amortization 1456 1527 333.26 316.51  Interest Expense (Income) - Net Operating -397 -220 - -  Unusual Expense (Income) - 1744.88 494.89 -161.68  Other Operating Expenses, Total -677 -825 - -","Selling/General/Admin. Expenses, Total 6881 6594 5723.61 6848.32  Research & Development 1 6 - -  Depreciation / Amortization 1456 1527 333.26 316.51  Interest Expense (Income) - Net Operating -397 -220 - -  Unusual Expense (Income) - 1744.88 494.89 -161.68  Other Operating Expenses, Total -677 -825 - -","Selling/General/Admin. Expenses, Total 6881 6594 5723.61 6848.32  Research & Development 1 6 - -  Depreciation / Amortization 1456 1527 333.26 316.51  Interest Expense (Income) - Net Operating -397 -220 - -  Unusual Expense (Income) - 1744.88 494.89 -161.68  Other Operating Expenses, Total -677 -825 - -"
"Selling/General/Admin. Expenses, Total",6881,6594,5723.61,6848.32
Research & Development,1,6,-,-
Depreciation / Amortization,1456,1527,333.26,316.51
Interest Expense (Income) - Net Operating,-397,-220,-,-
Unusual Expense (Income),-,1744.88,494.89,-161.68
"Other Operating Expenses, Total",-677,-825,-,-
Operating Income,1538,-361,194.32,1082.12
"Interest Income (Expense), Net Non-Operating",-,492.26,-525.06,-410.06
Gain (Loss) on Sale of Assets,6,35,25.57,-16.83
"Other, Net",367,1191,-5.21,31.45
Net Income Before Taxes,1165,-1587,-310.38,686.67
Provision for Income Taxes,660,393,425.53,405.86
Net Income After Taxes,505,-1980,-735.91,280.81
Minority Interest,9,8,0.39,-0.43
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,505,-1980,-735.51,280.39
Total Extraordinary Items,-,-,-,-
Net Income,505,-1980,-735.51,280.39
Total Adjustments to Net Income,-,-,-,-0
Income Available to Common Excluding Extraordinary Items,505,-1980,-735.51,280.38
Dilution Adjustment,-,-,-,-
Diluted Net Income,505,-1980,-735.51,280.38
Diluted Weighted Average Shares,15.54,16.34,16.67,17.16
Diluted EPS Excluding Extraordinary Items,32.49,-121.16,-44.12,16.34
DPS - Common Stock Primary Issue,6,5,4,5
Diluted Normalized EPS,57.3,4.67,-25.82,12.89
