Period Ending:,202231/12,202131/12,202031/12,202031/03
Total Revenue,16919,14436,9660,14023
"Revenue 16919 14436 9660 14023  Other Revenue, Total - - - -","Revenue 16919 14436 9660 14023  Other Revenue, Total - - - -","Revenue 16919 14436 9660 14023  Other Revenue, Total - - - -","Revenue 16919 14436 9660 14023  Other Revenue, Total - - - -","Revenue 16919 14436 9660 14023  Other Revenue, Total - - - -"
Revenue,16919,14436,9660,14023
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",8644,7345,4757,6971
Gross Profit,8275,7091,4903,7052
Total Operating Expenses,14523,12574,8612,12488
"Selling/General/Admin. Expenses, Total 5691 5035 3743 5259  Research & Development - 20 18 48  Depreciation / Amortization 873 164 104 161  Interest Expense (Income) - Net Operating -4 - - -  Unusual Expense (Income) - 8 -11 48  Other Operating Expenses, Total -681 2 1 1","Selling/General/Admin. Expenses, Total 5691 5035 3743 5259  Research & Development - 20 18 48  Depreciation / Amortization 873 164 104 161  Interest Expense (Income) - Net Operating -4 - - -  Unusual Expense (Income) - 8 -11 48  Other Operating Expenses, Total -681 2 1 1","Selling/General/Admin. Expenses, Total 5691 5035 3743 5259  Research & Development - 20 18 48  Depreciation / Amortization 873 164 104 161  Interest Expense (Income) - Net Operating -4 - - -  Unusual Expense (Income) - 8 -11 48  Other Operating Expenses, Total -681 2 1 1","Selling/General/Admin. Expenses, Total 5691 5035 3743 5259  Research & Development - 20 18 48  Depreciation / Amortization 873 164 104 161  Interest Expense (Income) - Net Operating -4 - - -  Unusual Expense (Income) - 8 -11 48  Other Operating Expenses, Total -681 2 1 1","Selling/General/Admin. Expenses, Total 5691 5035 3743 5259  Research & Development - 20 18 48  Depreciation / Amortization 873 164 104 161  Interest Expense (Income) - Net Operating -4 - - -  Unusual Expense (Income) - 8 -11 48  Other Operating Expenses, Total -681 2 1 1"
"Selling/General/Admin. Expenses, Total",5691,5035,3743,5259
Research & Development,-,20,18,48
Depreciation / Amortization,873,164,104,161
Interest Expense (Income) - Net Operating,-4,-,-,-
Unusual Expense (Income),-,8,-11,48
"Other Operating Expenses, Total",-681,2,1,1
Operating Income,2396,1862,1048,1535
"Interest Income (Expense), Net Non-Operating",-,192,1,-
Gain (Loss) on Sale of Assets,-,-,40,-
"Other, Net",-393,545,431,596
Net Income Before Taxes,2789,2599,1520,2131
Provision for Income Taxes,914,787,465,738
Net Income After Taxes,1875,1812,1055,1393
Minority Interest,23,17,6,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,1893,1829,1061,1393
Total Extraordinary Items,-,-,-,-
Net Income,1893,1829,1061,1393
Total Adjustments to Net Income,-,-,1,-
Income Available to Common Excluding Extraordinary Items,1893,1829,1062,1393
Dilution Adjustment,-0.506,-0,-,-
Diluted Net Income,1893.51,1829,1062,1393
Diluted Weighted Average Shares,71.02,71.33,71.41,71.57
Diluted EPS Excluding Extraordinary Items,26.66,25.64,14.87,19.46
DPS - Common Stock Primary Issue,12,11,10,10
Diluted Normalized EPS,24.81,27.08,15.4,21.48
