Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,107993,88328,73906,79655
"Revenue 107993 88328 73906 79655  Other Revenue, Total - - - -","Revenue 107993 88328 73906 79655  Other Revenue, Total - - - -","Revenue 107993 88328 73906 79655  Other Revenue, Total - - - -","Revenue 107993 88328 73906 79655  Other Revenue, Total - - - -","Revenue 107993 88328 73906 79655  Other Revenue, Total - - - -"
Revenue,107993,88328,73906,79655
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",80565,65996,52685,57184
Gross Profit,27428,22332,21221,22471
Total Operating Expenses,103164,87476,72143,77513
"Selling/General/Admin. Expenses, Total 22599 20767 18456 19242  Research & Development - - 795 939  Depreciation / Amortization 3915 - - -  Interest Expense (Income) - Net Operating -725 - - -  Unusual Expense (Income) - 712 206 147  Other Operating Expenses, Total -3190 1 1 1","Selling/General/Admin. Expenses, Total 22599 20767 18456 19242  Research & Development - - 795 939  Depreciation / Amortization 3915 - - -  Interest Expense (Income) - Net Operating -725 - - -  Unusual Expense (Income) - 712 206 147  Other Operating Expenses, Total -3190 1 1 1","Selling/General/Admin. Expenses, Total 22599 20767 18456 19242  Research & Development - - 795 939  Depreciation / Amortization 3915 - - -  Interest Expense (Income) - Net Operating -725 - - -  Unusual Expense (Income) - 712 206 147  Other Operating Expenses, Total -3190 1 1 1","Selling/General/Admin. Expenses, Total 22599 20767 18456 19242  Research & Development - - 795 939  Depreciation / Amortization 3915 - - -  Interest Expense (Income) - Net Operating -725 - - -  Unusual Expense (Income) - 712 206 147  Other Operating Expenses, Total -3190 1 1 1","Selling/General/Admin. Expenses, Total 22599 20767 18456 19242  Research & Development - - 795 939  Depreciation / Amortization 3915 - - -  Interest Expense (Income) - Net Operating -725 - - -  Unusual Expense (Income) - 712 206 147  Other Operating Expenses, Total -3190 1 1 1"
"Selling/General/Admin. Expenses, Total",22599,20767,18456,19242
Research & Development,-,-,795,939
Depreciation / Amortization,3915,-,-,-
Interest Expense (Income) - Net Operating,-725,-,-,-
Unusual Expense (Income),-,712,206,147
"Other Operating Expenses, Total",-3190,1,1,1
Operating Income,4829,852,1763,2142
"Interest Income (Expense), Net Non-Operating",-,-9,-21,58
Gain (Loss) on Sale of Assets,-198,-80,-126,6
"Other, Net",2230,447,652,264
Net Income Before Taxes,2797,1210,2268,2470
Provision for Income Taxes,740,1280,1715,1447
Net Income After Taxes,2057,-70,553,1023
Minority Interest,108,-14,-10,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,2047,-84,543,1023
Total Extraordinary Items,-,-,-,-
Net Income,2047,-84,543,1023
Total Adjustments to Net Income,-,-,-1,1
Income Available to Common Excluding Extraordinary Items,2047,-84,542,1024
Dilution Adjustment,-0.544,-,-,-
Diluted Net Income,2047.54,-84,542,1024
Diluted Weighted Average Shares,82.36,82.14,82.5,82.58
Diluted EPS Excluding Extraordinary Items,24.86,-1.02,6.57,12.4
DPS - Common Stock Primary Issue,10,10,8,10
Diluted Normalized EPS,32.73,5.24,9.19,13.11
