Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,11121,11010,10444.8,9783.11
"Revenue 11120 11010.68 10444.8 9783.11  Other Revenue, Total 1 - - -","Revenue 11120 11010.68 10444.8 9783.11  Other Revenue, Total 1 - - -","Revenue 11120 11010.68 10444.8 9783.11  Other Revenue, Total 1 - - -","Revenue 11120 11010.68 10444.8 9783.11  Other Revenue, Total 1 - - -","Revenue 11120 11010.68 10444.8 9783.11  Other Revenue, Total 1 - - -"
Revenue,11120,11010.68,10444.8,9783.11
"Other Revenue, Total",1,-,-,-
"Cost of Revenue, Total",8749,8450.79,8070.31,7543.92
Gross Profit,2372,2559.89,2374.49,2239.2
Total Operating Expenses,10054,10268.49,9271.65,8713.22
"Selling/General/Admin. Expenses, Total 1305 1237.92 1156.12 1128.07  Research & Development - - - -  Depreciation / Amortization 311 - - -  Interest Expense (Income) - Net Operating -32 - - -  Unusual Expense (Income) - 579.78 45.22 41.23  Other Operating Expenses, Total -279 - - -","Selling/General/Admin. Expenses, Total 1305 1237.92 1156.12 1128.07  Research & Development - - - -  Depreciation / Amortization 311 - - -  Interest Expense (Income) - Net Operating -32 - - -  Unusual Expense (Income) - 579.78 45.22 41.23  Other Operating Expenses, Total -279 - - -","Selling/General/Admin. Expenses, Total 1305 1237.92 1156.12 1128.07  Research & Development - - - -  Depreciation / Amortization 311 - - -  Interest Expense (Income) - Net Operating -32 - - -  Unusual Expense (Income) - 579.78 45.22 41.23  Other Operating Expenses, Total -279 - - -","Selling/General/Admin. Expenses, Total 1305 1237.92 1156.12 1128.07  Research & Development - - - -  Depreciation / Amortization 311 - - -  Interest Expense (Income) - Net Operating -32 - - -  Unusual Expense (Income) - 579.78 45.22 41.23  Other Operating Expenses, Total -279 - - -","Selling/General/Admin. Expenses, Total 1305 1237.92 1156.12 1128.07  Research & Development - - - -  Depreciation / Amortization 311 - - -  Interest Expense (Income) - Net Operating -32 - - -  Unusual Expense (Income) - 579.78 45.22 41.23  Other Operating Expenses, Total -279 - - -"
"Selling/General/Admin. Expenses, Total",1305,1237.92,1156.12,1128.07
Research & Development,-,-,-,-
Depreciation / Amortization,311,-,-,-
Interest Expense (Income) - Net Operating,-32,-,-,-
Unusual Expense (Income),-,579.78,45.22,41.23
"Other Operating Expenses, Total",-279,-,-,-
Operating Income,1067,742.19,1173.15,1069.89
"Interest Income (Expense), Net Non-Operating",-,141.22,120.65,-41.18
Gain (Loss) on Sale of Assets,-,-,-,-
"Other, Net",-40,6.69,-2.06,4.27
Net Income Before Taxes,1107,890.1,1291.73,1032.98
Provision for Income Taxes,390,294.17,426.31,313.35
Net Income After Taxes,717,595.93,865.42,719.63
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,717,595.93,865.42,719.63
Total Extraordinary Items,-,-,-,-
Net Income,717,595.93,865.42,719.63
Total Adjustments to Net Income,-,-0,-0,-
Income Available to Common Excluding Extraordinary Items,717,595.93,865.42,719.63
Dilution Adjustment,-,-,-,-
Diluted Net Income,717,595.93,865.42,719.63
Diluted Weighted Average Shares,3.62,3.7,3.69,3.69
Diluted EPS Excluding Extraordinary Items,197.81,161.2,234.47,195.23
DPS - Common Stock Primary Issue,70,60,60,50
Diluted Normalized EPS,190.88,266.2,242.68,203.03
