Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,22848,21798,20785.26,20997.37
"Revenue - 21798 20785.26 20997.37  Other Revenue, Total - - - -","Revenue - 21798 20785.26 20997.37  Other Revenue, Total - - - -","Revenue - 21798 20785.26 20997.37  Other Revenue, Total - - - -","Revenue - 21798 20785.26 20997.37  Other Revenue, Total - - - -","Revenue - 21798 20785.26 20997.37  Other Revenue, Total - - - -"
Revenue,-,21798,20785.26,20997.37
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",-,16231,15524.61,15781.97
Gross Profit,-,5567,5260.65,5215.4
Total Operating Expenses,20104,19430,18796.05,19311.01
"Selling/General/Admin. Expenses, Total - 2956 2891.92 3100.58  Research & Development 159 176 262.89 232.22  Depreciation / Amortization 230 257 73.76 81.87  Interest Expense (Income) - Net Operating -11 -12 - -  Unusual Expense (Income) - 85.23 42.88 114.36  Other Operating Expenses, Total -153 -178 - -","Selling/General/Admin. Expenses, Total - 2956 2891.92 3100.58  Research & Development 159 176 262.89 232.22  Depreciation / Amortization 230 257 73.76 81.87  Interest Expense (Income) - Net Operating -11 -12 - -  Unusual Expense (Income) - 85.23 42.88 114.36  Other Operating Expenses, Total -153 -178 - -","Selling/General/Admin. Expenses, Total - 2956 2891.92 3100.58  Research & Development 159 176 262.89 232.22  Depreciation / Amortization 230 257 73.76 81.87  Interest Expense (Income) - Net Operating -11 -12 - -  Unusual Expense (Income) - 85.23 42.88 114.36  Other Operating Expenses, Total -153 -178 - -","Selling/General/Admin. Expenses, Total - 2956 2891.92 3100.58  Research & Development 159 176 262.89 232.22  Depreciation / Amortization 230 257 73.76 81.87  Interest Expense (Income) - Net Operating -11 -12 - -  Unusual Expense (Income) - 85.23 42.88 114.36  Other Operating Expenses, Total -153 -178 - -","Selling/General/Admin. Expenses, Total - 2956 2891.92 3100.58  Research & Development 159 176 262.89 232.22  Depreciation / Amortization 230 257 73.76 81.87  Interest Expense (Income) - Net Operating -11 -12 - -  Unusual Expense (Income) - 85.23 42.88 114.36  Other Operating Expenses, Total -153 -178 - -"
"Selling/General/Admin. Expenses, Total",-,2956,2891.92,3100.58
Research & Development,159,176,262.89,232.22
Depreciation / Amortization,230,257,73.76,81.87
Interest Expense (Income) - Net Operating,-11,-12,-,-
Unusual Expense (Income),-,85.23,42.88,114.36
"Other Operating Expenses, Total",-153,-178,-,-
Operating Income,2744,2368,1989.21,1686.36
"Interest Income (Expense), Net Non-Operating",-,54.65,42.57,37.73
Gain (Loss) on Sale of Assets,-,-85,-,-
"Other, Net",-50,89,39.49,14.24
Net Income Before Taxes,-,2364,2071.27,1738.33
Provision for Income Taxes,-,742,631.55,556.52
Net Income After Taxes,-,1622,1439.72,1181.81
Minority Interest,47,23,-16.36,-9.07
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,1968,1622,1423.36,1172.74
Total Extraordinary Items,-,-,-,-
Net Income,-,1622,1423.36,1172.74
Total Adjustments to Net Income,-,-,-0,-0
Income Available to Common Excluding Extraordinary Items,-,1622,1423.36,1172.73
Dilution Adjustment,-,-0.506,-,-
Diluted Net Income,-,1622.51,1423.36,1172.73
Diluted Weighted Average Shares,14.28,14.24,14.19,14.17
Diluted EPS Excluding Extraordinary Items,-,113.94,100.28,82.77
DPS - Common Stock Primary Issue,-,35,30,27
Diluted Normalized EPS,-,107.49,102.38,91.35
