Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,2895283,2765321,2286978,2225804
"Revenue 2895283 2765321 2286978 2225804  Other Revenue, Total - - - -","Revenue 2895283 2765321 2286978 2225804  Other Revenue, Total - - - -","Revenue 2895283 2765321 2286978 2225804  Other Revenue, Total - - - -","Revenue 2895283 2765321 2286978 2225804  Other Revenue, Total - - - -","Revenue 2895283 2765321 2286978 2225804  Other Revenue, Total - - - -"
Revenue,2895283,2765321,2286978,2225804
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",2074357,1891458,1515782,1519047
Gross Profit,820926,873863,771196,706757
Total Operating Expenses,2875135,2583754,2149863,2088287
"Selling/General/Admin. Expenses, Total 801646 466657 422509 379219  Research & Development 195635 171923 174661 170296  Depreciation / Amortization 1750 1804 34100 25620  Interest Expense (Income) - Net Operating -22468 -16111 12459 -9233  Unusual Expense (Income) - - -13372 6053  Other Operating Expenses, Total -175785 -158710 3724 -2715","Selling/General/Admin. Expenses, Total 801646 466657 422509 379219  Research & Development 195635 171923 174661 170296  Depreciation / Amortization 1750 1804 34100 25620  Interest Expense (Income) - Net Operating -22468 -16111 12459 -9233  Unusual Expense (Income) - - -13372 6053  Other Operating Expenses, Total -175785 -158710 3724 -2715","Selling/General/Admin. Expenses, Total 801646 466657 422509 379219  Research & Development 195635 171923 174661 170296  Depreciation / Amortization 1750 1804 34100 25620  Interest Expense (Income) - Net Operating -22468 -16111 12459 -9233  Unusual Expense (Income) - - -13372 6053  Other Operating Expenses, Total -175785 -158710 3724 -2715","Selling/General/Admin. Expenses, Total 801646 466657 422509 379219  Research & Development 195635 171923 174661 170296  Depreciation / Amortization 1750 1804 34100 25620  Interest Expense (Income) - Net Operating -22468 -16111 12459 -9233  Unusual Expense (Income) - - -13372 6053  Other Operating Expenses, Total -175785 -158710 3724 -2715","Selling/General/Admin. Expenses, Total 801646 466657 422509 379219  Research & Development 195635 171923 174661 170296  Depreciation / Amortization 1750 1804 34100 25620  Interest Expense (Income) - Net Operating -22468 -16111 12459 -9233  Unusual Expense (Income) - - -13372 6053  Other Operating Expenses, Total -175785 -158710 3724 -2715"
"Selling/General/Admin. Expenses, Total",801646,466657,422509,379219
Research & Development,195635,171923,174661,170296
Depreciation / Amortization,1750,1804,34100,25620
Interest Expense (Income) - Net Operating,-22468,-16111,12459,-9233
Unusual Expense (Income),-,-,-13372,6053
"Other Operating Expenses, Total",-175785,-158710,3724,-2715
Operating Income,20148,181567,137115,137517
"Interest Income (Expense), Net Non-Operating",-,36133,1622,-7184
Gain (Loss) on Sale of Assets,54380,718,-,-
"Other, Net",-34463,-70287,-934,147
Net Income Before Taxes,231,251136,137803,130480
Provision for Income Taxes,47096,64699,69729,76081
Net Income After Taxes,-46865,186437,68074,54399
Minority Interest,317997,483876,-22031,-23473
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,6987,162130,46043,30926
Total Extraordinary Items,-,-,-,-
Net Income,6987,162130,46043,30926
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,6987,162130,46043,30926
Dilution Adjustment,4.38,-,-,-
Diluted Net Income,6982.62,162130,46043,30926
Diluted Weighted Average Shares,1635.28,1634.98,1634.99,1635.01
Diluted EPS Excluding Extraordinary Items,4.27,99.16,28.16,18.91
DPS - Common Stock Primary Issue,18,24,15,17
Diluted Normalized EPS,49.96,84.73,24.12,20.46
