Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,1159,1101,895.62,756.63
"Revenue 1159 1101 895.62 756.63  Other Revenue, Total - - - -","Revenue 1159 1101 895.62 756.63  Other Revenue, Total - - - -","Revenue 1159 1101 895.62 756.63  Other Revenue, Total - - - -","Revenue 1159 1101 895.62 756.63  Other Revenue, Total - - - -","Revenue 1159 1101 895.62 756.63  Other Revenue, Total - - - -"
Revenue,1159,1101,895.62,756.63
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",809,1160,594.74,551.79
Gross Profit,350,-59,300.88,204.85
Total Operating Expenses,1716,2032,1719.26,1975
"Selling/General/Admin. Expenses, Total 907 865 809.69 932.25  Research & Development - 241 128.84 404.71  Depreciation / Amortization 68 50 17.18 75.12  Interest Expense (Income) - Net Operating - -2 - -  Unusual Expense (Income) - -3.54 168.82 11.13  Other Operating Expenses, Total -68 -282 - -0","Selling/General/Admin. Expenses, Total 907 865 809.69 932.25  Research & Development - 241 128.84 404.71  Depreciation / Amortization 68 50 17.18 75.12  Interest Expense (Income) - Net Operating - -2 - -  Unusual Expense (Income) - -3.54 168.82 11.13  Other Operating Expenses, Total -68 -282 - -0","Selling/General/Admin. Expenses, Total 907 865 809.69 932.25  Research & Development - 241 128.84 404.71  Depreciation / Amortization 68 50 17.18 75.12  Interest Expense (Income) - Net Operating - -2 - -  Unusual Expense (Income) - -3.54 168.82 11.13  Other Operating Expenses, Total -68 -282 - -0","Selling/General/Admin. Expenses, Total 907 865 809.69 932.25  Research & Development - 241 128.84 404.71  Depreciation / Amortization 68 50 17.18 75.12  Interest Expense (Income) - Net Operating - -2 - -  Unusual Expense (Income) - -3.54 168.82 11.13  Other Operating Expenses, Total -68 -282 - -0","Selling/General/Admin. Expenses, Total 907 865 809.69 932.25  Research & Development - 241 128.84 404.71  Depreciation / Amortization 68 50 17.18 75.12  Interest Expense (Income) - Net Operating - -2 - -  Unusual Expense (Income) - -3.54 168.82 11.13  Other Operating Expenses, Total -68 -282 - -0"
"Selling/General/Admin. Expenses, Total",907,865,809.69,932.25
Research & Development,-,241,128.84,404.71
Depreciation / Amortization,68,50,17.18,75.12
Interest Expense (Income) - Net Operating,-,-2,-,-
Unusual Expense (Income),-,-3.54,168.82,11.13
"Other Operating Expenses, Total",-68,-282,-,-0
Operating Income,-557,-931,-823.64,-1218.37
"Interest Income (Expense), Net Non-Operating",-,19.09,-19.89,-11.5
Gain (Loss) on Sale of Assets,-,-,-,-
"Other, Net",-10,-54,-33.05,-7
Net Income Before Taxes,-547,-877,-876.59,-1236.87
Provision for Income Taxes,3,3,3.24,3.3
Net Income After Taxes,-550,-880,-879.83,-1240.17
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,-,-880,-879.83,-1240.17
Total Extraordinary Items,-,-,-,-
Net Income,-550,-880,-879.83,-1240.17
Total Adjustments to Net Income,-,-,-,-0
Income Available to Common Excluding Extraordinary Items,-,-880,-879.83,-1240.17
Dilution Adjustment,-,-,-,-
Diluted Net Income,-550,-880,-879.83,-1240.17
Diluted Weighted Average Shares,36.3,35.01,26.71,17.17
Diluted EPS Excluding Extraordinary Items,-15.15,-25.14,-32.94,-72.24
DPS - Common Stock Primary Issue,-,-,-,-
Diluted Normalized EPS,-9.42,-15.75,-28.83,-71.82
