Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,553124,487303,440061,500002
"Revenue 553124 487303 440061 500002  Other Revenue, Total - - - -","Revenue 553124 487303 440061 500002  Other Revenue, Total - - - -","Revenue 553124 487303 440061 500002  Other Revenue, Total - - - -","Revenue 553124 487303 440061 500002  Other Revenue, Total - - - -","Revenue 553124 487303 440061 500002  Other Revenue, Total - - - -"
Revenue,553124,487303,440061,500002
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",488478,432334,387937,435663
Gross Profit,64646,54969,52124,64339
Total Operating Expenses,536467,478092,423196,477405
"Selling/General/Admin. Expenses, Total 46217 41899 38078 41741  Research & Development 29080 30470 - -  Depreciation / Amortization 19547 18166 - -  Interest Expense (Income) - Net Operating -79 -74 - -  Unusual Expense (Income) - 196 -2820 -  Other Operating Expenses, Total -46776 -44703 1 1","Selling/General/Admin. Expenses, Total 46217 41899 38078 41741  Research & Development 29080 30470 - -  Depreciation / Amortization 19547 18166 - -  Interest Expense (Income) - Net Operating -79 -74 - -  Unusual Expense (Income) - 196 -2820 -  Other Operating Expenses, Total -46776 -44703 1 1","Selling/General/Admin. Expenses, Total 46217 41899 38078 41741  Research & Development 29080 30470 - -  Depreciation / Amortization 19547 18166 - -  Interest Expense (Income) - Net Operating -79 -74 - -  Unusual Expense (Income) - 196 -2820 -  Other Operating Expenses, Total -46776 -44703 1 1","Selling/General/Admin. Expenses, Total 46217 41899 38078 41741  Research & Development 29080 30470 - -  Depreciation / Amortization 19547 18166 - -  Interest Expense (Income) - Net Operating -79 -74 - -  Unusual Expense (Income) - 196 -2820 -  Other Operating Expenses, Total -46776 -44703 1 1","Selling/General/Admin. Expenses, Total 46217 41899 38078 41741  Research & Development 29080 30470 - -  Depreciation / Amortization 19547 18166 - -  Interest Expense (Income) - Net Operating -79 -74 - -  Unusual Expense (Income) - 196 -2820 -  Other Operating Expenses, Total -46776 -44703 1 1"
"Selling/General/Admin. Expenses, Total",46217,41899,38078,41741
Research & Development,29080,30470,-,-
Depreciation / Amortization,19547,18166,-,-
Interest Expense (Income) - Net Operating,-79,-74,-,-
Unusual Expense (Income),-,196,-2820,-
"Other Operating Expenses, Total",-46776,-44703,1,1
Operating Income,16657,9211,16865,22597
"Interest Income (Expense), Net Non-Operating",-,5356,3293,-1158
Gain (Loss) on Sale of Assets,-25,-195,-2722,-
"Other, Net",-6254,-4254,1672,1475
Net Income Before Taxes,22936,13660,19108,22914
Provision for Income Taxes,10128,8326,5568,6915
Net Income After Taxes,12808,5334,13540,15999
Minority Interest,19026,16825,-1513,-931
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,10900,3569,12027,15068
Total Extraordinary Items,-,-,-,-
Net Income,10900,3569,12027,15068
Total Adjustments to Net Income,-,-,-1,-1
Income Available to Common Excluding Extraordinary Items,10900,3569,12026,15067
Dilution Adjustment,-,-,-,-
Diluted Net Income,10900,3569,12026,15067
Diluted Weighted Average Shares,91.32,91.29,91.27,91.25
Diluted EPS Excluding Extraordinary Items,119.37,39.09,131.77,165.12
DPS - Common Stock Primary Issue,64,60,50,62
Diluted Normalized EPS,143.79,87.17,131,165.12
