Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,225387,175660,156795,160217
"Revenue 225387 175660 156795 160217  Other Revenue, Total - - - -","Revenue 225387 175660 156795 160217  Other Revenue, Total - - - -","Revenue 225387 175660 156795 160217  Other Revenue, Total - - - -","Revenue 225387 175660 156795 160217  Other Revenue, Total - - - -","Revenue 225387 175660 156795 160217  Other Revenue, Total - - - -"
Revenue,225387,175660,156795,160217
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",141706,120475,117659,121768
Gross Profit,83681,55185,39136,38449
Total Operating Expenses,199230,163613,161634,163758
"Selling/General/Admin. Expenses, Total 57524 41464 40333 34139  Research & Development - - - -  Depreciation / Amortization 15676 - - -  Interest Expense (Income) - Net Operating -990 - - -  Unusual Expense (Income) - 1673 3641 7850  Other Operating Expenses, Total -41710 1 1 1","Selling/General/Admin. Expenses, Total 57524 41464 40333 34139  Research & Development - - - -  Depreciation / Amortization 15676 - - -  Interest Expense (Income) - Net Operating -990 - - -  Unusual Expense (Income) - 1673 3641 7850  Other Operating Expenses, Total -41710 1 1 1","Selling/General/Admin. Expenses, Total 57524 41464 40333 34139  Research & Development - - - -  Depreciation / Amortization 15676 - - -  Interest Expense (Income) - Net Operating -990 - - -  Unusual Expense (Income) - 1673 3641 7850  Other Operating Expenses, Total -41710 1 1 1","Selling/General/Admin. Expenses, Total 57524 41464 40333 34139  Research & Development - - - -  Depreciation / Amortization 15676 - - -  Interest Expense (Income) - Net Operating -990 - - -  Unusual Expense (Income) - 1673 3641 7850  Other Operating Expenses, Total -41710 1 1 1","Selling/General/Admin. Expenses, Total 57524 41464 40333 34139  Research & Development - - - -  Depreciation / Amortization 15676 - - -  Interest Expense (Income) - Net Operating -990 - - -  Unusual Expense (Income) - 1673 3641 7850  Other Operating Expenses, Total -41710 1 1 1"
"Selling/General/Admin. Expenses, Total",57524,41464,40333,34139
Research & Development,-,-,-,-
Depreciation / Amortization,15676,-,-,-
Interest Expense (Income) - Net Operating,-990,-,-,-
Unusual Expense (Income),-,1673,3641,7850
"Other Operating Expenses, Total",-41710,1,1,1
Operating Income,26157,12047,-4839,-3541
"Interest Income (Expense), Net Non-Operating",-,-61,-1367,-1392
Gain (Loss) on Sale of Assets,942,1684,-8,3615
"Other, Net",-1034,-395,-983,-320
Net Income Before Taxes,26249,13275,-7197,-1638
Provision for Income Taxes,4076,3167,-1210,3586
Net Income After Taxes,22173,10108,-5987,-5224
Minority Interest,62101,-6903,-965,-334
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,9533,3205,-6952,-5558
Total Extraordinary Items,-,-,-,-
Net Income,9533,3205,-6952,-5558
Total Adjustments to Net Income,-,-1,-,-1
Income Available to Common Excluding Extraordinary Items,9533,3204,-6952,-5559
Dilution Adjustment,170,-,-,-
Diluted Net Income,9363,3204,-6952,-5559
Diluted Weighted Average Shares,24.14,24.75,24.14,24.19
Diluted EPS Excluding Extraordinary Items,387.8,129.45,-287.96,-229.82
DPS - Common Stock Primary Issue,30,30,-,30
Diluted Normalized EPS,154.7,129.11,-189.72,-116.01
