Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,34284,27617,20080.23,20140.57
"Revenue 34284 27617 20080.23 20140.57  Other Revenue, Total - - - -","Revenue 34284 27617 20080.23 20140.57  Other Revenue, Total - - - -","Revenue 34284 27617 20080.23 20140.57  Other Revenue, Total - - - -","Revenue 34284 27617 20080.23 20140.57  Other Revenue, Total - - - -","Revenue 34284 27617 20080.23 20140.57  Other Revenue, Total - - - -"
Revenue,34284,27617,20080.23,20140.57
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",26364,20871,15195.88,14617.56
Gross Profit,7920,6746,4884.35,5523.01
Total Operating Expenses,31906,25760,19552.63,18696.64
"Selling/General/Admin. Expenses, Total 5542 4889 4356.69 4075.3  Research & Development - - - -  Depreciation / Amortization 5261 4640 - -  Interest Expense (Income) - Net Operating -142 -124 - -  Unusual Expense (Income) - 2.04 0.06 3.77  Other Operating Expenses, Total -5119 -4516 - -","Selling/General/Admin. Expenses, Total 5542 4889 4356.69 4075.3  Research & Development - - - -  Depreciation / Amortization 5261 4640 - -  Interest Expense (Income) - Net Operating -142 -124 - -  Unusual Expense (Income) - 2.04 0.06 3.77  Other Operating Expenses, Total -5119 -4516 - -","Selling/General/Admin. Expenses, Total 5542 4889 4356.69 4075.3  Research & Development - - - -  Depreciation / Amortization 5261 4640 - -  Interest Expense (Income) - Net Operating -142 -124 - -  Unusual Expense (Income) - 2.04 0.06 3.77  Other Operating Expenses, Total -5119 -4516 - -","Selling/General/Admin. Expenses, Total 5542 4889 4356.69 4075.3  Research & Development - - - -  Depreciation / Amortization 5261 4640 - -  Interest Expense (Income) - Net Operating -142 -124 - -  Unusual Expense (Income) - 2.04 0.06 3.77  Other Operating Expenses, Total -5119 -4516 - -","Selling/General/Admin. Expenses, Total 5542 4889 4356.69 4075.3  Research & Development - - - -  Depreciation / Amortization 5261 4640 - -  Interest Expense (Income) - Net Operating -142 -124 - -  Unusual Expense (Income) - 2.04 0.06 3.77  Other Operating Expenses, Total -5119 -4516 - -"
"Selling/General/Admin. Expenses, Total",5542,4889,4356.69,4075.3
Research & Development,-,-,-,-
Depreciation / Amortization,5261,4640,-,-
Interest Expense (Income) - Net Operating,-142,-124,-,-
Unusual Expense (Income),-,2.04,0.06,3.77
"Other Operating Expenses, Total",-5119,-4516,-,-
Operating Income,2378,1857,527.6,1443.93
"Interest Income (Expense), Net Non-Operating",-,49.06,-26.95,-89.54
Gain (Loss) on Sale of Assets,299,-,-,10.67
"Other, Net",-699,-55,52.22,19.6
Net Income Before Taxes,2778,1912,552.87,1384.66
Provision for Income Taxes,694,605,268.6,534.26
Net Income After Taxes,2084,1307,284.27,850.39
Minority Interest,4739,3997,-234.76,-499.57
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,1246,827,49.51,350.82
Total Extraordinary Items,-,-,-,-
Net Income,1246,827,49.51,350.82
Total Adjustments to Net Income,-,-,-0,-0
Income Available to Common Excluding Extraordinary Items,1246,827,49.51,350.82
Dilution Adjustment,-,-,-,-
Diluted Net Income,1246,827,49.51,350.82
Diluted Weighted Average Shares,25.88,25.88,25.88,25.88
Diluted EPS Excluding Extraordinary Items,48.15,31.96,1.91,13.56
DPS - Common Stock Primary Issue,6,4,4,4
Diluted Normalized EPS,27.18,27.68,2.15,13.69
