Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,140424,124686,114967,116565
"Revenue 140424 124686 114967 116565  Other Revenue, Total - - - -","Revenue 140424 124686 114967 116565  Other Revenue, Total - - - -","Revenue 140424 124686 114967 116565  Other Revenue, Total - - - -","Revenue 140424 124686 114967 116565  Other Revenue, Total - - - -","Revenue 140424 124686 114967 116565  Other Revenue, Total - - - -"
Revenue,140424,124686,114967,116565
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",109109,95013,87032,88899
Gross Profit,31315,29673,27935,27666
Total Operating Expenses,133624,117630,108751,109949
"Selling/General/Admin. Expenses, Total 24515 22595 21448 21025  Research & Development - - - -  Depreciation / Amortization 1048 724 - -  Interest Expense (Income) - Net Operating -81 - - -  Unusual Expense (Income) - 21 269 23  Other Operating Expenses, Total -967 -658 2 2","Selling/General/Admin. Expenses, Total 24515 22595 21448 21025  Research & Development - - - -  Depreciation / Amortization 1048 724 - -  Interest Expense (Income) - Net Operating -81 - - -  Unusual Expense (Income) - 21 269 23  Other Operating Expenses, Total -967 -658 2 2","Selling/General/Admin. Expenses, Total 24515 22595 21448 21025  Research & Development - - - -  Depreciation / Amortization 1048 724 - -  Interest Expense (Income) - Net Operating -81 - - -  Unusual Expense (Income) - 21 269 23  Other Operating Expenses, Total -967 -658 2 2","Selling/General/Admin. Expenses, Total 24515 22595 21448 21025  Research & Development - - - -  Depreciation / Amortization 1048 724 - -  Interest Expense (Income) - Net Operating -81 - - -  Unusual Expense (Income) - 21 269 23  Other Operating Expenses, Total -967 -658 2 2","Selling/General/Admin. Expenses, Total 24515 22595 21448 21025  Research & Development - - - -  Depreciation / Amortization 1048 724 - -  Interest Expense (Income) - Net Operating -81 - - -  Unusual Expense (Income) - 21 269 23  Other Operating Expenses, Total -967 -658 2 2"
"Selling/General/Admin. Expenses, Total",24515,22595,21448,21025
Research & Development,-,-,-,-
Depreciation / Amortization,1048,724,-,-
Interest Expense (Income) - Net Operating,-81,-,-,-
Unusual Expense (Income),-,21,269,23
"Other Operating Expenses, Total",-967,-658,2,2
Operating Income,6800,7056,6216,6616
"Interest Income (Expense), Net Non-Operating",-,10,-40,-54
Gain (Loss) on Sale of Assets,536,-,-,-312
"Other, Net",-1143,98,158,57
Net Income Before Taxes,7407,7164,6334,6307
Provision for Income Taxes,2484,2284,2039,2071
Net Income After Taxes,4923,4879,4295,4236
Minority Interest,920,786,-112,-160
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,4761,4771,4183,4076
Total Extraordinary Items,-,-,-,-
Net Income,4761,4771,4183,4076
Total Adjustments to Net Income,-,-,-1,-1
Income Available to Common Excluding Extraordinary Items,4761,4771,4182,4075
Dilution Adjustment,-,-,-,-
Diluted Net Income,4761,4771,4182,4075
Diluted Weighted Average Shares,64.31,64.31,64.31,64.31
Diluted EPS Excluding Extraordinary Items,74.03,74.18,65.03,63.36
DPS - Common Stock Primary Issue,-,22,19,18
Diluted Normalized EPS,64.25,77.33,71.7,70.84
