Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,209542,181920,162325,194575
"Revenue - 181920 162325 194575  Other Revenue, Total - - - -","Revenue - 181920 162325 194575  Other Revenue, Total - - - -","Revenue - 181920 162325 194575  Other Revenue, Total - - - -","Revenue - 181920 162325 194575  Other Revenue, Total - - - -","Revenue - 181920 162325 194575  Other Revenue, Total - - - -"
Revenue,-,181920,162325,194575
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",182288,156151,139740,164492
Gross Profit,27254,25769,22585,30083
Total Operating Expenses,208573,181883,164095,193803
"Selling/General/Admin. Expenses, Total 26285 24790 23312 26935  Research & Development - 942 1043 1170  Depreciation / Amortization 8287 8489 9031 -  Interest Expense (Income) - Net Operating -574 -581 -733 -  Unusual Expense (Income) - 2295 1435 1204  Other Operating Expenses, Total -7713 -7908 -8298 2","Selling/General/Admin. Expenses, Total 26285 24790 23312 26935  Research & Development - 942 1043 1170  Depreciation / Amortization 8287 8489 9031 -  Interest Expense (Income) - Net Operating -574 -581 -733 -  Unusual Expense (Income) - 2295 1435 1204  Other Operating Expenses, Total -7713 -7908 -8298 2","Selling/General/Admin. Expenses, Total 26285 24790 23312 26935  Research & Development - 942 1043 1170  Depreciation / Amortization 8287 8489 9031 -  Interest Expense (Income) - Net Operating -574 -581 -733 -  Unusual Expense (Income) - 2295 1435 1204  Other Operating Expenses, Total -7713 -7908 -8298 2","Selling/General/Admin. Expenses, Total 26285 24790 23312 26935  Research & Development - 942 1043 1170  Depreciation / Amortization 8287 8489 9031 -  Interest Expense (Income) - Net Operating -574 -581 -733 -  Unusual Expense (Income) - 2295 1435 1204  Other Operating Expenses, Total -7713 -7908 -8298 2","Selling/General/Admin. Expenses, Total 26285 24790 23312 26935  Research & Development - 942 1043 1170  Depreciation / Amortization 8287 8489 9031 -  Interest Expense (Income) - Net Operating -574 -581 -733 -  Unusual Expense (Income) - 2295 1435 1204  Other Operating Expenses, Total -7713 -7908 -8298 2"
"Selling/General/Admin. Expenses, Total",26285,24790,23312,26935
Research & Development,-,942,1043,1170
Depreciation / Amortization,8287,8489,9031,-
Interest Expense (Income) - Net Operating,-574,-581,-733,-
Unusual Expense (Income),-,2295,1435,1204
"Other Operating Expenses, Total",-7713,-7908,-8298,2
Operating Income,969,37,-1770,772
"Interest Income (Expense), Net Non-Operating",-,3478,1834,702
Gain (Loss) on Sale of Assets,-232,-129,-129,-615
"Other, Net",2208,-1387,337,141
Net Income Before Taxes,-1007,1553,-1978,1000
Provision for Income Taxes,-,455,554,256
Net Income After Taxes,-564,1098,-2532,744
Minority Interest,13,5,4,58
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,-571,1096,-2532,802
Total Extraordinary Items,-,-,-,-
Net Income,-,1096,-2532,802
Total Adjustments to Net Income,-,-,-,-1
Income Available to Common Excluding Extraordinary Items,-571,1096,-2532,801
Dilution Adjustment,-,-,-,-
Diluted Net Income,-571,1096,-2532,801
Diluted Weighted Average Shares,44.1,44.54,44.66,44.66
Diluted EPS Excluding Extraordinary Items,-12.95,24.6,-56.7,17.94
DPS - Common Stock Primary Issue,5,5,-,5
Diluted Normalized EPS,43.62,31.5,-8.9,48.24
