Period Ending:,202231/05,202131/05,202031/05,201931/05
Total Revenue,11872,9934.08,9062.98,8872.31
"Revenue 11872 9934.08 9062.98 8872.31  Other Revenue, Total - - - -","Revenue 11872 9934.08 9062.98 8872.31  Other Revenue, Total - - - -","Revenue 11872 9934.08 9062.98 8872.31  Other Revenue, Total - - - -","Revenue 11872 9934.08 9062.98 8872.31  Other Revenue, Total - - - -","Revenue 11872 9934.08 9062.98 8872.31  Other Revenue, Total - - - -"
Revenue,11872,9934.08,9062.98,8872.31
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",9764,7891.53,7616.84,8196.37
Gross Profit,2108,2042.56,1446.15,675.94
Total Operating Expenses,11298,9281.59,8840.79,9315.67
"Selling/General/Admin. Expenses, Total 1534 1368.71 1134.76 983.11  Research & Development - - - -  Depreciation / Amortization 1731 - - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 38.4 60.76 135.83  Other Operating Expenses, Total -1731 -17.05 28.44 0.36","Selling/General/Admin. Expenses, Total 1534 1368.71 1134.76 983.11  Research & Development - - - -  Depreciation / Amortization 1731 - - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 38.4 60.76 135.83  Other Operating Expenses, Total -1731 -17.05 28.44 0.36","Selling/General/Admin. Expenses, Total 1534 1368.71 1134.76 983.11  Research & Development - - - -  Depreciation / Amortization 1731 - - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 38.4 60.76 135.83  Other Operating Expenses, Total -1731 -17.05 28.44 0.36","Selling/General/Admin. Expenses, Total 1534 1368.71 1134.76 983.11  Research & Development - - - -  Depreciation / Amortization 1731 - - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 38.4 60.76 135.83  Other Operating Expenses, Total -1731 -17.05 28.44 0.36","Selling/General/Admin. Expenses, Total 1534 1368.71 1134.76 983.11  Research & Development - - - -  Depreciation / Amortization 1731 - - -  Interest Expense (Income) - Net Operating - - - -  Unusual Expense (Income) - 38.4 60.76 135.83  Other Operating Expenses, Total -1731 -17.05 28.44 0.36"
"Selling/General/Admin. Expenses, Total",1534,1368.71,1134.76,983.11
Research & Development,-,-,-,-
Depreciation / Amortization,1731,-,-,-
Interest Expense (Income) - Net Operating,-,-,-,-
Unusual Expense (Income),-,38.4,60.76,135.83
"Other Operating Expenses, Total",-1731,-17.05,28.44,0.36
Operating Income,574,652.49,222.19,-443.36
"Interest Income (Expense), Net Non-Operating",-,19.46,-0.12,1.84
Gain (Loss) on Sale of Assets,-,-,-,264.91
"Other, Net",29,32.04,-59.97,-2.01
Net Income Before Taxes,545,703.99,162.1,-178.62
Provision for Income Taxes,567,259.03,160.53,57.88
Net Income After Taxes,-22,444.96,1.57,-236.5
Minority Interest,80,137.41,-24.39,56.84
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,5,582.37,-22.81,-179.66
Total Extraordinary Items,-,-,-,-
Net Income,5,582.37,-22.81,-179.66
Total Adjustments to Net Income,-,-0,-,-
Income Available to Common Excluding Extraordinary Items,5,582.37,-22.81,-179.66
Dilution Adjustment,-,-,-,-
Diluted Net Income,5,582.37,-22.81,-179.66
Diluted Weighted Average Shares,4.93,4.94,4.91,4.91
Diluted EPS Excluding Extraordinary Items,1.01,117.87,-4.65,-36.61
DPS - Common Stock Primary Issue,5,5,5,5
Diluted Normalized EPS,78.08,122.78,3.4,-53.71
