Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Revenue,18045,14105,17707,16647.37
"Revenue 18045 14105 17707 16647.37  Other Revenue, Total - - - -","Revenue 18045 14105 17707 16647.37  Other Revenue, Total - - - -","Revenue 18045 14105 17707 16647.37  Other Revenue, Total - - - -","Revenue 18045 14105 17707 16647.37  Other Revenue, Total - - - -","Revenue 18045 14105 17707 16647.37  Other Revenue, Total - - - -"
Revenue,18045,14105,17707,16647.37
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",11018,5445,6383,4910.7
Gross Profit,7027,8660,11324,11736.67
Total Operating Expenses,16746,10331,10698,8458.95
"Selling/General/Admin. Expenses, Total 5082 4287 4314 3548.25  Research & Development - - - -  Depreciation / Amortization 446 520 - -  Interest Expense (Income) - Net Operating -891 -550 - -  Unusual Expense (Income) - -7 - -  Other Operating Expenses, Total 1091 629 1 -","Selling/General/Admin. Expenses, Total 5082 4287 4314 3548.25  Research & Development - - - -  Depreciation / Amortization 446 520 - -  Interest Expense (Income) - Net Operating -891 -550 - -  Unusual Expense (Income) - -7 - -  Other Operating Expenses, Total 1091 629 1 -","Selling/General/Admin. Expenses, Total 5082 4287 4314 3548.25  Research & Development - - - -  Depreciation / Amortization 446 520 - -  Interest Expense (Income) - Net Operating -891 -550 - -  Unusual Expense (Income) - -7 - -  Other Operating Expenses, Total 1091 629 1 -","Selling/General/Admin. Expenses, Total 5082 4287 4314 3548.25  Research & Development - - - -  Depreciation / Amortization 446 520 - -  Interest Expense (Income) - Net Operating -891 -550 - -  Unusual Expense (Income) - -7 - -  Other Operating Expenses, Total 1091 629 1 -","Selling/General/Admin. Expenses, Total 5082 4287 4314 3548.25  Research & Development - - - -  Depreciation / Amortization 446 520 - -  Interest Expense (Income) - Net Operating -891 -550 - -  Unusual Expense (Income) - -7 - -  Other Operating Expenses, Total 1091 629 1 -"
"Selling/General/Admin. Expenses, Total",5082,4287,4314,3548.25
Research & Development,-,-,-,-
Depreciation / Amortization,446,520,-,-
Interest Expense (Income) - Net Operating,-891,-550,-,-
Unusual Expense (Income),-,-7,-,-
"Other Operating Expenses, Total",1091,629,1,-
Operating Income,1299,3774,7009,8188.42
"Interest Income (Expense), Net Non-Operating",-,1638,-245,-184.15
Gain (Loss) on Sale of Assets,531,225,-,-
"Other, Net",-5501,-1200,-700,-820.08
Net Income Before Taxes,6269,4749,6064,7184.19
Provision for Income Taxes,1860,1757,2200,2528.27
Net Income After Taxes,4409,2992,3864,4655.92
Minority Interest,1011,121,-32,-100.03
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,4412,2921,3832,4555.89
Total Extraordinary Items,-,-,-,-
Net Income,4412,2921,3832,4555.89
Total Adjustments to Net Income,-,-,-1,-
Income Available to Common Excluding Extraordinary Items,4412,2921,3831,4555.89
Dilution Adjustment,-,0.234,-,-
Diluted Net Income,4412,2920.77,3831,4555.89
Diluted Weighted Average Shares,30.19,30.18,30.15,30.33
Diluted EPS Excluding Extraordinary Items,146.14,96.77,127.05,150.19
DPS - Common Stock Primary Issue,32,32,32,22
Diluted Normalized EPS,118.89,91.18,127.15,150.47
