Period Ending:,202230/06,202130/06,202030/06,201930/06
Total Revenue,20949,19337.79,17440.08,14871.8
"Revenue 20948 19337.79 17440.08 14871.8  Other Revenue, Total 1 - - -","Revenue 20948 19337.79 17440.08 14871.8  Other Revenue, Total 1 - - -","Revenue 20948 19337.79 17440.08 14871.8  Other Revenue, Total 1 - - -","Revenue 20948 19337.79 17440.08 14871.8  Other Revenue, Total 1 - - -","Revenue 20948 19337.79 17440.08 14871.8  Other Revenue, Total 1 - - -"
Revenue,20948,19337.79,17440.08,14871.8
"Other Revenue, Total",1,-,-,-
"Cost of Revenue, Total",14284,13024.01,11600.06,10089.78
Gross Profit,6665,6313.78,5840.02,4782.02
Total Operating Expenses,18447,16782.63,15216.68,13107.64
"Selling/General/Admin. Expenses, Total 4163 3529.65 3511.87 2994.12  Research & Development 86 23.35 31.19 27.32  Depreciation / Amortization 622 - - -  Interest Expense (Income) - Net Operating -2 - - -  Unusual Expense (Income) - 205.61 73.56 -3.58  Other Operating Expenses, Total -706 - - -","Selling/General/Admin. Expenses, Total 4163 3529.65 3511.87 2994.12  Research & Development 86 23.35 31.19 27.32  Depreciation / Amortization 622 - - -  Interest Expense (Income) - Net Operating -2 - - -  Unusual Expense (Income) - 205.61 73.56 -3.58  Other Operating Expenses, Total -706 - - -","Selling/General/Admin. Expenses, Total 4163 3529.65 3511.87 2994.12  Research & Development 86 23.35 31.19 27.32  Depreciation / Amortization 622 - - -  Interest Expense (Income) - Net Operating -2 - - -  Unusual Expense (Income) - 205.61 73.56 -3.58  Other Operating Expenses, Total -706 - - -","Selling/General/Admin. Expenses, Total 4163 3529.65 3511.87 2994.12  Research & Development 86 23.35 31.19 27.32  Depreciation / Amortization 622 - - -  Interest Expense (Income) - Net Operating -2 - - -  Unusual Expense (Income) - 205.61 73.56 -3.58  Other Operating Expenses, Total -706 - - -","Selling/General/Admin. Expenses, Total 4163 3529.65 3511.87 2994.12  Research & Development 86 23.35 31.19 27.32  Depreciation / Amortization 622 - - -  Interest Expense (Income) - Net Operating -2 - - -  Unusual Expense (Income) - 205.61 73.56 -3.58  Other Operating Expenses, Total -706 - - -"
"Selling/General/Admin. Expenses, Total",4163,3529.65,3511.87,2994.12
Research & Development,86,23.35,31.19,27.32
Depreciation / Amortization,622,-,-,-
Interest Expense (Income) - Net Operating,-2,-,-,-
Unusual Expense (Income),-,205.61,73.56,-3.58
"Other Operating Expenses, Total",-706,-,-,-
Operating Income,2502,2555.17,2223.39,1764.16
"Interest Income (Expense), Net Non-Operating",-,98.28,133.79,42.67
Gain (Loss) on Sale of Assets,6,52.12,-10.35,0.53
"Other, Net",-81,77.06,52.05,40.64
Net Income Before Taxes,2577,2782.63,2398.88,1847.99
Provision for Income Taxes,848,893.41,749.31,566.84
Net Income After Taxes,1729,1889.22,1649.57,1281.15
Minority Interest,831,-145.72,-125.76,-30.1
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,1580,1743.5,1523.82,1251.05
Total Extraordinary Items,-,-,-,-
Net Income,1580,1743.5,1523.82,1251.05
Total Adjustments to Net Income,-,-,-0,-0
Income Available to Common Excluding Extraordinary Items,1580,1743.5,1523.82,1251.05
Dilution Adjustment,-,-,-,-
Diluted Net Income,1580,1743.5,1523.82,1251.05
Diluted Weighted Average Shares,11.38,11.38,11.38,11.38
Diluted EPS Excluding Extraordinary Items,138.84,153.17,133.88,109.91
DPS - Common Stock Primary Issue,28,18,12.5,10
Diluted Normalized EPS,135.36,168.47,142.64,111.28
