Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,217709,192642,172645,180917
"Revenue 217709 192642 172645 180917  Other Revenue, Total - - - -","Revenue 217709 192642 172645 180917  Other Revenue, Total - - - -","Revenue 217709 192642 172645 180917  Other Revenue, Total - - - -","Revenue 217709 192642 172645 180917  Other Revenue, Total - - - -","Revenue 217709 192642 172645 180917  Other Revenue, Total - - - -"
Revenue,217709,192642,172645,180917
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",141766,123713,115259,122313
Gross Profit,75943,68929,57386,58604
Total Operating Expenses,177084,157046,146370,154815
"Selling/General/Admin. Expenses, Total 35318 28151 25910 26549  Research & Development - 5182 4873 5181  Depreciation / Amortization 6359 5909 - -  Interest Expense (Income) - Net Operating -80 -60 - -  Unusual Expense (Income) - 975 327 772  Other Operating Expenses, Total -6279 -5849 1 -","Selling/General/Admin. Expenses, Total 35318 28151 25910 26549  Research & Development - 5182 4873 5181  Depreciation / Amortization 6359 5909 - -  Interest Expense (Income) - Net Operating -80 -60 - -  Unusual Expense (Income) - 975 327 772  Other Operating Expenses, Total -6279 -5849 1 -","Selling/General/Admin. Expenses, Total 35318 28151 25910 26549  Research & Development - 5182 4873 5181  Depreciation / Amortization 6359 5909 - -  Interest Expense (Income) - Net Operating -80 -60 - -  Unusual Expense (Income) - 975 327 772  Other Operating Expenses, Total -6279 -5849 1 -","Selling/General/Admin. Expenses, Total 35318 28151 25910 26549  Research & Development - 5182 4873 5181  Depreciation / Amortization 6359 5909 - -  Interest Expense (Income) - Net Operating -80 -60 - -  Unusual Expense (Income) - 975 327 772  Other Operating Expenses, Total -6279 -5849 1 -","Selling/General/Admin. Expenses, Total 35318 28151 25910 26549  Research & Development - 5182 4873 5181  Depreciation / Amortization 6359 5909 - -  Interest Expense (Income) - Net Operating -80 -60 - -  Unusual Expense (Income) - 975 327 772  Other Operating Expenses, Total -6279 -5849 1 -"
"Selling/General/Admin. Expenses, Total",35318,28151,25910,26549
Research & Development,-,5182,4873,5181
Depreciation / Amortization,6359,5909,-,-
Interest Expense (Income) - Net Operating,-80,-60,-,-
Unusual Expense (Income),-,975,327,772
"Other Operating Expenses, Total",-6279,-5849,1,-
Operating Income,40625,35596,26275,26102
"Interest Income (Expense), Net Non-Operating",-,1770,6743,3361
Gain (Loss) on Sale of Assets,4881,1173,7,53
"Other, Net",-12296,-3553,1084,722
Net Income Before Taxes,48040,37976,34109,30238
Provision for Income Taxes,14025,11255,10794,9065
Net Income After Taxes,34015,26721,23315,21173
Minority Interest,825,777,-13,-32
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,33973,26690,23302,21141
Total Extraordinary Items,-,-,-,-
Net Income,33973,26690,23302,21141
Total Adjustments to Net Income,-,-,-,-1
Income Available to Common Excluding Extraordinary Items,33973,26690,23302,21140
Dilution Adjustment,-,-,-,-
Diluted Net Income,33973,26690,23302,21140
Diluted Weighted Average Shares,81.47,82.44,83.08,83.98
Diluted EPS Excluding Extraordinary Items,417.01,323.76,280.49,251.72
DPS - Common Stock Primary Issue,108,90,80,78
Diluted Normalized EPS,330.78,284.86,283.12,257.72
