Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,5315,5486,4751.46,5140.92
"Revenue 5315 5486 4751.46 5140.92  Other Revenue, Total - - - -","Revenue 5315 5486 4751.46 5140.92  Other Revenue, Total - - - -","Revenue 5315 5486 4751.46 5140.92  Other Revenue, Total - - - -","Revenue 5315 5486 4751.46 5140.92  Other Revenue, Total - - - -","Revenue 5315 5486 4751.46 5140.92  Other Revenue, Total - - - -"
Revenue,5315,5486,4751.46,5140.92
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",3436,3523,3354.78,3690.67
Gross Profit,1879,1963,1396.68,1450.24
Total Operating Expenses,4692,4779,4617.61,4923.15
"Selling/General/Admin. Expenses, Total 1256 1208 962.66 1042.04  Research & Development - 122 115.35 135.47  Depreciation / Amortization 291 284 53.18 54.31  Interest Expense (Income) - Net Operating -13 - - -  Unusual Expense (Income) - 3.54 131.64 0.66  Other Operating Expenses, Total -343 -344 - -","Selling/General/Admin. Expenses, Total 1256 1208 962.66 1042.04  Research & Development - 122 115.35 135.47  Depreciation / Amortization 291 284 53.18 54.31  Interest Expense (Income) - Net Operating -13 - - -  Unusual Expense (Income) - 3.54 131.64 0.66  Other Operating Expenses, Total -343 -344 - -","Selling/General/Admin. Expenses, Total 1256 1208 962.66 1042.04  Research & Development - 122 115.35 135.47  Depreciation / Amortization 291 284 53.18 54.31  Interest Expense (Income) - Net Operating -13 - - -  Unusual Expense (Income) - 3.54 131.64 0.66  Other Operating Expenses, Total -343 -344 - -","Selling/General/Admin. Expenses, Total 1256 1208 962.66 1042.04  Research & Development - 122 115.35 135.47  Depreciation / Amortization 291 284 53.18 54.31  Interest Expense (Income) - Net Operating -13 - - -  Unusual Expense (Income) - 3.54 131.64 0.66  Other Operating Expenses, Total -343 -344 - -","Selling/General/Admin. Expenses, Total 1256 1208 962.66 1042.04  Research & Development - 122 115.35 135.47  Depreciation / Amortization 291 284 53.18 54.31  Interest Expense (Income) - Net Operating -13 - - -  Unusual Expense (Income) - 3.54 131.64 0.66  Other Operating Expenses, Total -343 -344 - -"
"Selling/General/Admin. Expenses, Total",1256,1208,962.66,1042.04
Research & Development,-,122,115.35,135.47
Depreciation / Amortization,291,284,53.18,54.31
Interest Expense (Income) - Net Operating,-13,-,-,-
Unusual Expense (Income),-,3.54,131.64,0.66
"Other Operating Expenses, Total",-343,-344,-,-
Operating Income,623,703.27,133.86,217.77
"Interest Income (Expense), Net Non-Operating",-,20.96,29.44,-30.84
Gain (Loss) on Sale of Assets,42,2,-,0.05
"Other, Net",-99,-20,60.51,15.04
Net Income Before Taxes,680,725,223.8,202.02
Provision for Income Taxes,211,189,108.84,61.37
Net Income After Taxes,469,536,114.97,140.65
Minority Interest,-,-,-,-
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,469,536.51,114.97,140.65
Total Extraordinary Items,-,-,-,-
Net Income,469,536,114.97,140.65
Total Adjustments to Net Income,-,-,-,-
Income Available to Common Excluding Extraordinary Items,469,536,114.97,140.65
Dilution Adjustment,-,-,-,-
Diluted Net Income,469,536.51,114.97,140.65
Diluted Weighted Average Shares,2.77,2.76,2.76,2.76
Diluted EPS Excluding Extraordinary Items,169.1,193.86,41.6,50.89
DPS - Common Stock Primary Issue,20,15,15,15
Diluted Normalized EPS,143.77,164.11,66.07,51.05
