Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,143041,115583,103254,99701
"Revenue 143041 115583 103254 99701  Other Revenue, Total - - - -","Revenue 143041 115583 103254 99701  Other Revenue, Total - - - -","Revenue 143041 115583 103254 99701  Other Revenue, Total - - - -","Revenue 143041 115583 103254 99701  Other Revenue, Total - - - -","Revenue 143041 115583 103254 99701  Other Revenue, Total - - - -"
Revenue,143041,115583,103254,99701
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",-,89434,78078,77316
Gross Profit,30136,26149,25176,22385
Total Operating Expenses,132585,107999,93944,92387
"Selling/General/Admin. Expenses, Total 17010 15486 12193 11432  Research & Development 2670 2590 2881 3177  Depreciation / Amortization 5097 - - -  Interest Expense (Income) - Net Operating -286 - - -  Unusual Expense (Income) - 488 791 461  Other Operating Expenses, Total -4811 1 1 1","Selling/General/Admin. Expenses, Total 17010 15486 12193 11432  Research & Development 2670 2590 2881 3177  Depreciation / Amortization 5097 - - -  Interest Expense (Income) - Net Operating -286 - - -  Unusual Expense (Income) - 488 791 461  Other Operating Expenses, Total -4811 1 1 1","Selling/General/Admin. Expenses, Total 17010 15486 12193 11432  Research & Development 2670 2590 2881 3177  Depreciation / Amortization 5097 - - -  Interest Expense (Income) - Net Operating -286 - - -  Unusual Expense (Income) - 488 791 461  Other Operating Expenses, Total -4811 1 1 1","Selling/General/Admin. Expenses, Total 17010 15486 12193 11432  Research & Development 2670 2590 2881 3177  Depreciation / Amortization 5097 - - -  Interest Expense (Income) - Net Operating -286 - - -  Unusual Expense (Income) - 488 791 461  Other Operating Expenses, Total -4811 1 1 1","Selling/General/Admin. Expenses, Total 17010 15486 12193 11432  Research & Development 2670 2590 2881 3177  Depreciation / Amortization 5097 - - -  Interest Expense (Income) - Net Operating -286 - - -  Unusual Expense (Income) - 488 791 461  Other Operating Expenses, Total -4811 1 1 1"
"Selling/General/Admin. Expenses, Total",17010,15486,12193,11432
Research & Development,2670,2590,2881,3177
Depreciation / Amortization,5097,-,-,-
Interest Expense (Income) - Net Operating,-286,-,-,-
Unusual Expense (Income),-,488,791,461
"Other Operating Expenses, Total",-4811,1,1,1
Operating Income,10456,7584,9310,7314
"Interest Income (Expense), Net Non-Operating",-,625,12,-1095
Gain (Loss) on Sale of Assets,429,-,34,32
"Other, Net",-1221,244,309,186
Net Income Before Taxes,11248,8453,9665,6437
Provision for Income Taxes,2624,2499,2331,2055
Net Income After Taxes,8624,5954,7334,4382
Minority Interest,-,-58,-214,-97
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,8592,5896,7120,4285
Total Extraordinary Items,-,-,-,-
Net Income,-,5896,7120,4285
Total Adjustments to Net Income,-,-1,-1,-
Income Available to Common Excluding Extraordinary Items,8592,5895,7119,4285
Dilution Adjustment,-,-,-,-
Diluted Net Income,8592,5895,7119,4285
Diluted Weighted Average Shares,13.49,13.74,13.79,13.79
Diluted EPS Excluding Extraordinary Items,636.82,429.03,516.17,310.69
DPS - Common Stock Primary Issue,-,120,100,100
Diluted Normalized EPS,503.85,454.04,557.82,331.86
