Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Revenue,227985,186591,116737,159401
"Revenue 227985 186591 116737 159401  Other Revenue, Total - - - -","Revenue 227985 186591 116737 159401  Other Revenue, Total - - - -","Revenue 227985 186591 116737 159401  Other Revenue, Total - - - -","Revenue 227985 186591 116737 159401  Other Revenue, Total - - - -","Revenue 227985 186591 116737 159401  Other Revenue, Total - - - -"
Revenue,227985,186591,116737,159401
"Other Revenue, Total",-,-,-,-
"Cost of Revenue, Total",161596,135973,89806,117142
Gross Profit,66389,50618,26931,42259
Total Operating Expenses,210491,175290,120348,156004
"Selling/General/Admin. Expenses, Total 48895 36588 27878 36256  Research & Development - 7533 6542 -  Depreciation / Amortization 7903 7155 6876 2488  Interest Expense (Income) - Net Operating -316 -270 -290 -  Unusual Expense (Income) - 43 1225 117  Other Operating Expenses, Total -13914 -11689 -10464 1","Selling/General/Admin. Expenses, Total 48895 36588 27878 36256  Research & Development - 7533 6542 -  Depreciation / Amortization 7903 7155 6876 2488  Interest Expense (Income) - Net Operating -316 -270 -290 -  Unusual Expense (Income) - 43 1225 117  Other Operating Expenses, Total -13914 -11689 -10464 1","Selling/General/Admin. Expenses, Total 48895 36588 27878 36256  Research & Development - 7533 6542 -  Depreciation / Amortization 7903 7155 6876 2488  Interest Expense (Income) - Net Operating -316 -270 -290 -  Unusual Expense (Income) - 43 1225 117  Other Operating Expenses, Total -13914 -11689 -10464 1","Selling/General/Admin. Expenses, Total 48895 36588 27878 36256  Research & Development - 7533 6542 -  Depreciation / Amortization 7903 7155 6876 2488  Interest Expense (Income) - Net Operating -316 -270 -290 -  Unusual Expense (Income) - 43 1225 117  Other Operating Expenses, Total -13914 -11689 -10464 1","Selling/General/Admin. Expenses, Total 48895 36588 27878 36256  Research & Development - 7533 6542 -  Depreciation / Amortization 7903 7155 6876 2488  Interest Expense (Income) - Net Operating -316 -270 -290 -  Unusual Expense (Income) - 43 1225 117  Other Operating Expenses, Total -13914 -11689 -10464 1"
"Selling/General/Admin. Expenses, Total",48895,36588,27878,36256
Research & Development,-,7533,6542,-
Depreciation / Amortization,7903,7155,6876,2488
Interest Expense (Income) - Net Operating,-316,-270,-290,-
Unusual Expense (Income),-,43,1225,117
"Other Operating Expenses, Total",-13914,-11689,-10464,1
Operating Income,17494,11301,-3611,3397
"Interest Income (Expense), Net Non-Operating",-,1564,651,-122
Gain (Loss) on Sale of Assets,44,73,200,99
"Other, Net",-1999,-3074,-1411,774
Net Income Before Taxes,19449,14302,-2400,4148
Provision for Income Taxes,3360,2179,295,3303
Net Income After Taxes,16089,12123,-2695,845
Minority Interest,499,886,807,-14
Equity In Affiliates,-,-,-,-
U.S GAAP Adjustment,-,-,-,-
Net Income Before Extraordinary Items,16073,12042,-2703,831
Total Extraordinary Items,-,-,-,-
Net Income,16073,12042,-2703,831
Total Adjustments to Net Income,-,-,-,-1
Income Available to Common Excluding Extraordinary Items,16073,12042,-2703,830
Dilution Adjustment,-,-,-,-
Diluted Net Income,16073,12042,-2703,830
Diluted Weighted Average Shares,23.92,24.12,24.4,24.44
Diluted EPS Excluding Extraordinary Items,671.86,499.2,-110.8,33.96
DPS - Common Stock Primary Issue,150,60,20,80
Diluted Normalized EPS,519.35,366.42,-35.55,34.43
